date,USDCHF,GBPUSD,NZDUSD,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2015.04.27,-43.999999999999595,-57.99999999998029,-68.00000000000139,-88.00000000000807,-48.000000000003595,-88.99999999999464,-56.0000000000005,-106.99999999999932,-128.000000000017,-99.99999999998899,-7.999999999995566,-103.9999999999992,-52.000000000007596,-12.999999999996348,,-962.999999999992
2015.04.27,-23.999999999990695,-74.99999999998064,-183.99999999999528,-47.000000000011255,-38.0000000000047,-225.99999999999287,-73.00000000000084,-103.00000000000864,-63.000000000013046,-622.9999999999958,-21.000000000000796,-221.9999999999942,-59.000000000009045,-213.99999999998087,,-1971.9999999999786
2015.04.27,-39.999999999995595,-46.999999999997044,-185.00000000000182,6.999999999990791,-41.000000000002146,-228.99999999999034,-16.0000000000049,-99.99999999999432,-86.0000000000083,-224.000000000002,-62.99999999998818,-232.99999999998988,-43.999999999999595,-135.9999999999806,,-1436.9999999999638
2015.04.27,-39.999999999995595,8.000000000008,-114.00000000000298,32.99999999998704,-56.0000000000005,-155.99999999998948,-16.0000000000049,-64.99999999999773,-135.00000000001845,-20.999999999982144,-63.99999999999295,-143.99999999999125,-37.00000000000925,33.00000000001635,,-773.9999999999737
2015.04.27,-15.999999999993797,-0.9999999999843467,-163.99999999999747,41.99999999998738,-81.00000000000884,-217.99999999999596,-11.00000000000545,-82.99999999999841,-189.00000000001694,-112.99999999998533,-104.99999999998977,-238.9999999999901,-17.000000000000348,16.000000000016,,-1178.9999999999636
2015.04.27,-17.000000000000348,-64.99999999998174,-265.99999999999955,83.99999999998897,-94.00000000000519,-253.99999999999866,2.999999999997449,-116.99999999999022,-289.0000000000059,-243.99999999999977,-170.99999999999227,-338.99999999999864,-19.00000000000235,-28.999999999990145,,-1816.9999999999784
2015.04.27,29.000000000001247,-90.99999999999665,-326.9999999999995,88.99999999999864,-96.00000000000719,-288.9999999999948,1.999999999990898,-93.99999999999409,-331.0000000000146,-274.9999999999808,-166.99999999998738,-345.9999999999894,-43.00000000000415,-90.99999999999665,,-2029.9999999999743
2015.04.27,-39.999999999995595,-107.99999999999699,-339.0000000000004,115.99999999999966,-193.00000000000983,-312.9999999999966,-9.00000000000345,-165.99999999999682,-438.00000000000506,-274.9999999999808,-280.00000000000114,-391.9999999999959,-151.00000000000114,-134.99999999999625,,-2722.99999999998
2015.04.27,-32.999999999994145,-78.99999999998464,-270.0000000000036,109.99999999999943,-185.00000000000182,-311.99999999999005,-15.00000000000945,-187.99999999998818,-402.9999999999978,-283.99999999999534,-283.00000000000125,-387.999999999991,-165.9999999999995,-118.99999999998023,,-2614.9999999999377
2015.04.27,2.000000000002,-72.99999999998974,-305.99999999999517,128.99999999999068,-217.0000000000005,-325.99999999999295,-14.000000000002899,-179.00000000000205,-534.0000000000123,-354.9999999999942,-314.9999999999977,-411.00000000000136,-181.00000000000892,-160.99999999998892,,-2940.9999999999945
