date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURCAD,CADJPY,NZDJPY,AUDCAD,AUDNZD,empty,sum
2020.11.23,-64.99999999999284,39.00000000001125,80.99999999999774,-56.000000000011596,-58.99999999998684,11.999999999989797,81.9999999999932,-131.99999999999878,176.9999999999925,-42.999999999993044,60.00000000000449,-161.00000000000136,-146.00000000000168,129.00000000000134,212.99999999999653,-82.99999999999841,115.99999999999966,25.00000000000835,41.000000000002146,,230.00000000001245
2020.11.23,-44.99999999999504,83.00000000001084,87.99999999999919,-65.00000000001194,-99.99999999998899,10.999999999994348,71.99999999999429,-130.0000000000079,221.9999999999942,-24.999999999997247,40.00000000000669,-210.00000000000796,-226.99999999999943,171.00000000001003,276.9999999999939,-64.99999999999773,108.00000000000409,108.00000000000809,26.999999999999247,,340.00000000000875
2020.11.23,-62.99999999999084,93.00000000000975,106.99999999999044,-94.0000000000083,-69.00000000000794,67.9999999999903,159.9999999999935,-151.9999999999966,259.9999999999909,-62.99999999999084,67.00000000000594,-246.99999999998568,-200.00000000000017,59.000000000009045,261.0000000000001,-113.99999999999011,222.0000000000084,155.00000000000514,60.99999999999994,,511.000000000033
2020.11.23,-15.999999999993797,160.00000000000458,158.99999999999804,-72.00000000000273,-26.999999999999247,124.99999999999733,212.00000000000108,-154.0000000000097,298.0000000000018,-52.99999999999194,66.00000000001049,-283.9999999999918,-224.000000000002,5.000000000010552,286.99999999999284,-125.99999999999056,261.0000000000099,200.00000000000017,60.000000000015596,,877.0000000000606
2020.11.23,19.00000000000235,217.0000000000005,211.99999999998997,-46.00000000000648,41.000000000002146,181.9999999999933,280.9999999999979,-161.99999999999548,313.0000000000024,-62.99999999999084,69.00000000000794,-310.0000000000023,-212.99999999999653,-55.000000000005045,273.0000000000121,-146.0000000000008,314.00000000000716,221.99999999999997,84.0000000000174,,1232.000000000036
2020.11.23,17.000000000000348,214.00000000000307,221.00000000000452,-47.000000000011255,65.00000000000395,200.00000000000017,312.9999999999966,-160.00000000000458,308.9999999999975,-76.99999999999375,78.00000000000028,-305.0000000000068,-174.99999999999181,-106.99999999999044,259.9999999999936,-161.99999999999193,347.0000000000084,230.000000000008,104.00000000001519,,1325.0000000000414
2020.11.23,51.000000000001044,371.00000000001023,265.0000000000041,12.999999999991019,134.99999999999625,240.99999999999122,383.0,-259.0000000000092,287.9999999999967,-87.99999999999919,3.0000000000085514,-389.00000000001,-292.9999999999877,9.999999999998899,231.0000000000034,-156.99999999999648,378.0000000000001,232.00000000000998,155.00000000001623,,1570.0000000000252
2020.11.23,43.00000000000415,381.99999999999346,269.00000000000813,-4.0000000000048885,130.99999999999224,224.9999999999974,343.9999999999999,-283.000000000011,295.99999999999227,-92.99999999999864,-0.999999999995449,-424.0000000000066,-308.9999999999815,63.99999999999739,242.00000000000887,-168.99999999999693,350.9999999999991,213.00000000000762,109.00000000000354,,1386.000000000009
2020.11.23,23.00000000000635,347.9999999999928,246.99999999999721,-4.0000000000048885,112.000000000001,192.99999999999872,314.0000000000032,-273.9999999999965,271.99999999999136,-96.99999999999153,7.0000000000014495,-388.00000000000523,-292.00000000000335,93.99999999999409,235.00000000000742,-155.9999999999917,319.0000000000026,188.00000000001037,117.00000000001154,,1258.000000000025
2020.11.23,40.00000000000669,340.00000000000693,248.00000000000378,6.999999999990791,117.00000000001154,175.99999999999838,315.9999999999941,-248.00000000000378,280.9999999999917,-86.99999999999264,12.000000000000899,-368.9999999999998,-275.9999999999874,129.00000000000134,231.0000000000034,-150.99999999999625,313.0000000000024,160.00000000000458,140.0000000000068,,1379.0000000000437
