date,USDCHF,GBPUSD,EURUSD,AUDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,NZDCAD,AUDNZD,empty,sum
2019.07.29,148.99999999999915,54.99999999998284,19.999999999997797,-12.999999999996348,104.00000000001519,185.99999999999727,-76.99999999999818,41.9999999999976,20.0000000000089,76.99999999999818,67.00000000001705,59.000000000009045,82.99999999999841,46.0000000000127,-29.000000000001247,32.0000000000098,,821.0000000000482
2019.07.29,58.99999999999794,42.999999999993044,21.00000000000435,-48.99999999999905,53.999999999998494,123.99999999999079,-143.00000000000068,49.99999999999449,-1.999999999990898,112.99999999999955,112.000000000001,-43.999999999999595,108.00000000000409,12.000000000012001,-78.00000000000028,58.000000000002494,,438.0000000000077
2019.07.29,82.99999999999974,53.999999999998494,55.000000000005045,-53.999999999998494,110.00000000001009,171.00000000001003,-141.00000000000534,82.99999999999974,-21.999999999999797,98.99999999998954,109.00000000000354,-31.000000000003247,121.99999999999989,95.00000000000064,-56.0000000000005,70.99999999999883,,748.0000000000083
2019.07.29,70.99999999999883,52.99999999999194,65.00000000000395,-60.99999999999994,95.00000000000064,167.00000000000603,-138.00000000000523,83.9999999999952,-29.999999999996696,85.99999999998431,131.99999999999878,-54.99999999998284,119.99999999999034,80.00000000001339,-86.0000000000083,63.99999999999739,,646.9999999999877
2019.07.29,80.00000000000229,30.999999999981043,58.000000000002494,-48.99999999999905,84.0000000000174,174.00000000000747,-109.99999999999943,78.00000000000028,-44.99999999999504,30.000000000001137,111.00000000001664,-51.99999999998539,87.99999999999386,58.000000000002494,-98.0000000000092,38.0000000000047,,476.00000000004167
2019.07.29,89.00000000000574,3.999999999981796,41.000000000002146,-7.9999999999968985,69.00000000000794,167.9999999999904,-106.99999999999932,46.999999999997044,-48.99999999999905,18.000000000000682,97.00000000001374,15.00000000000945,85.99999999999852,45.000000000006146,-102.00000000000209,-8.999999999992347,,404.000000000024
2019.07.29,30.000000000007798,34.99999999998504,99.00000000000463,-53.00000000000304,24.000000000001798,156.00000000000057,-73.99999999999807,46.999999999997044,-74.99999999999174,-76.99999999999818,82.00000000000429,-53.999999999998494,33.00000000000125,104.00000000001519,-91.00000000000774,34.000000000000696,,220.00000000002103
2019.07.29,-7.9999999999968985,41.99999999998649,110.99999999999443,-41.9999999999976,-12.999999999996348,127.00000000001043,-49.000000000006594,7.9999999999968985,-79.99999999999119,-155.00000000000114,82.00000000000429,-12.999999999996348,-31.00000000000591,165.00000000001512,-59.000000000009045,45.000000000006146,,130.00000000001273
2019.07.29,-57.99999999999139,43.999999999999595,130.99999999999224,-93.99999999999409,-73.99999999999629,93.00000000000975,-97.99999999999898,26.999999999999247,-93.99999999999409,-154.00000000002478,9.999999999998899,-142.99999999998204,-10.99999999999568,82.00000000000429,-81.00000000000884,52.000000000007596,,-367.99999999997453
2019.07.29,-44.99999999999504,40.99999999997994,106.99999999999044,-102.00000000000209,-63.99999999999739,83.9999999999952,-96.00000000000364,43.999999999999595,-78.00000000000028,-145.00000000001023,17.000000000000348,-173.99999999998528,-22.999999999996135,169.00000000001913,-23.00000000000635,141.00000000001333,,-146.9999999999985
2019.07.29,-17.999999999995797,-35.00000000000725,78.00000000000028,-51.99999999999649,-102.00000000000209,85.00000000000173,-65.00000000001194,12.000000000000899,-109.99999999999899,-225.9999999999991,-22.999999999995246,-153.00000000000313,-55.999999999997385,239.00000000001143,0.999999999995449,137.00000000000932,,-287.99999999998823
2019.07.29,4.999999999999449,-46.0000000000127,65.99999999998829,-29.999999999996696,-85.00000000000173,96.99999999999153,-84.00000000000318,5.999999999994898,-106.99999999999044,-186.00000000000705,-3.999999999981796,-113.99999999999189,-21.000000000000796,247.00000000001944,0.0,121.99999999999989,,-133.99999999999278
2019.07.29,36.0000000000027,-49.00000000001015,45.99999999999049,2.999999999997449,-49.99999999999449,113.00000000000753,-79.00000000000773,-4.000000000004,-95.99999999999609,-153.00000000002,-8.999999999992347,-34.000000000000696,-10.000000000005116,250.00000000001688,20.999999999993246,94.00000000001629,,78.99999999999396
2019.07.29,43.00000000000415,-104.99999999999955,35.00000000000725,-7.9999999999968985,-96.99999999999153,113.00000000000753,-76.00000000000762,12.000000000000899,-125.99999999999278,-210.00000000000796,-80.99999999999774,-139.9999999999846,-16.999999999995907,259.0000000000092,30.999999999992145,120.00000000000898,,-246.9999999999444
2019.07.29,75.00000000000284,-86.0000000000083,25.999999999992696,-29.999999999996696,-41.000000000002146,137.9999999999937,-57.00000000000216,53.00000000000304,-107.99999999999699,-170.00000000001592,-44.99999999998394,-173.00000000000094,-10.000000000005116,170.00000000000347,-18.0000000000069,104.00000000001519,,-172.00000000000813
2019.07.29,72.0000000000054,-86.0000000000083,14.000000000002899,-7.0000000000014495,-41.99999999998649,120.99999999999334,-73.99999999999807,31.000000000003247,-95.99999999999609,-151.00000000001046,3.0000000000196536,-114.99999999999844,-7.000000000005002,181.00000000000892,-26.999999999999247,91.00000000001884,,-91.99999999995126
2019.07.29,70.99999999999883,-83.00000000001084,22.999999999995246,-19.00000000000235,-37.99999999998249,131.99999999999878,-73.0000000000075,39.999999999995595,-100.00000000000009,-147.00000000001978,33.00000000001635,-130.99999999999224,0.999999999990564,185.00000000001293,-43.00000000000415,101.00000000001774,,-47.999999999993435
