date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.09.02,-134.99999999999625,-141.99999999999767,0.0,-1.0000000000065512,-63.00000000000195,-60.99999999999994,0.0,-157.0000000000107,-234.00000000000088,-133.00000000000534,-103.9999999999992,-101.99999999999099,-87.00000000000374,,-1219.000000000013
2019.09.02,-109.00000000000354,-143.99999999998857,-7.0000000000014495,60.99999999999994,-63.99999999999739,-65.99999999999939,100.00000000000009,-132.000000000005,-238.99999999998923,-173.00000000000094,-45.000000000001705,-129.00000000000134,-132.0000000000099,,-1078.9999999999982
2019.09.02,-70.0000000000034,-219.99999999999798,-66.00000000001049,45.99999999999049,-65.99999999999939,-108.00000000000809,68.00000000000139,-381.0000000000002,-405.9999999999952,-297.9999999999983,-218.9999999999941,-112.99999999999643,-185.00000000000182,,-2018.0000000000132
2019.09.02,-43.00000000000415,-237.99999999998266,-45.000000000006146,26.999999999999247,-68.99999999999685,-82.99999999999974,50.0000000000056,-360.99999999999,-408.9999999999927,-295.0000000000008,-189.00000000000716,-115.99999999999389,-146.00000000000168,,-1916.999999999971
2019.09.02,-7.9999999999968985,-227.99999999998377,-43.999999999999595,28.999999999990145,-107.00000000000153,-101.00000000000664,53.00000000000304,-384.9999999999909,-374.999999999992,-209.00000000001472,-216.00000000000819,-147.99999999999258,-153.00000000000313,,-1891.9999999999968
2019.09.02,-9.999999999998899,-244.9999999999841,-26.0000000000149,26.999999999999247,-97.00000000000264,-100.00000000000009,43.00000000000415,-365.0000000000091,-367.0000000000062,-270.99999999999903,-200.00000000000284,-137.9999999999937,-149.00000000001023,,-1898.0000000000184
2019.09.02,-51.99999999999649,-191.99999999999218,-14.000000000002899,31.000000000003247,-53.999999999998494,-60.00000000000449,75.00000000000284,-384.9999999999909,-337.0000000000095,-293.0000000000099,-240.99999999999966,-97.9999999999981,-116.00000000000499,,-1736.0000000000014
2019.09.02,-49.99999999999449,-168.99999999999693,-13.000000000018552,25.00000000000835,-26.999999999999247,-12.000000000000899,93.00000000000975,-379.99999999999545,-285.00000000000193,-354.0000000000099,-246.9999999999999,-40.99999999999105,-36.0000000000027,,-1495.999999999993
2019.09.02,-65.99999999999939,-140.99999999999113,-11.00000000000545,31.000000000003247,-39.00000000000014,-4.999999999999449,93.00000000000975,-306.0000000000116,-256.99999999999613,-290.9999999999968,-210.00000000000796,-58.99999999999794,-24.000000000001798,,-1284.9999999999948
2019.09.02,-73.99999999999629,-212.99999999999653,-32.0000000000098,-1.999999999990898,-112.000000000001,-128.00000000000588,73.00000000000084,-451.9999999999982,-306.00000000000625,-269.00000000000813,-301.00000000000193,-139.99999999999568,-173.00000000000094,,-2129.000000000011
