date,EURCHF,EURJPY,EURAUD,AUDNZD,empty,sum
2018.04.09,11.00000000000545,13.00000000000523,-104.99999999999955,76.99999999999375,,-3.9999999999951115
2018.04.09,-48.000000000003595,39.99999999999204,-181.00000000000892,17.999999999984695,,-171.00000000003575
2018.04.09,-116.00000000000499,-88.99999999999864,-28.000000000005798,66.99999999999484,,-166.0000000000146
2018.04.09,-72.0000000000054,97.99999999998477,-19.999999999997797,37.99999999998249,,43.99999999996406
2018.04.09,-36.999999999998145,140.99999999999113,89.00000000000574,141.99999999999767,,334.99999999999636
2018.04.09,-55.000000000005045,55.999999999983174,42.999999999993044,119.99999999998678,,163.99999999995796
2018.04.09,-80.99999999999774,94.99999999999886,154.99999999999403,122.99999999998423,,291.9999999999794
2018.04.09,-96.99999999999153,99.99999999999432,273.9999999999965,126.0000000000039,,403.0000000000032
2018.04.09,-114.99999999999844,87.99999999999386,251.00000000000122,55.99999999998939,,279.999999999986
2018.04.09,-103.00000000000864,102.99999999998022,178.99999999999582,-8.000000000008,,170.9999999999594
2018.04.09,-110.99999999999443,147.99999999999613,236.99999999999832,-35.00000000000725,,238.99999999999275
2018.04.09,-150.00000000000568,27.999999999991587,204.99999999998852,-62.000000000006494,,20.999999999967926
2018.04.09,-137.00000000000932,21.99999999999136,306.9999999999906,78.99999999998464,,270.9999999999573
2018.04.09,-140.99999999999113,-55.00000000000682,323.0000000000066,69.9999999999923,,197.00000000000094
2018.04.09,-140.99999999999113,-28.00000000002001,307.99999999999716,-6.000000000017103,,132.9999999999689
2018.04.09,-160.00000000000458,-88.99999999999864,251.00000000000122,-33.00000000001635,,-31.00000000001834
2018.04.09,-141.99999999999767,-22.999999999996135,208.00000000000819,-134.99999999999625,,-91.99999999998187
2018.04.09,-174.00000000000747,-88.99999999999864,141.99999999999767,-145.00000000001734,,-266.0000000000258
2018.04.09,-167.9999999999904,-128.00000000001432,242.00000000000887,-79.00000000000685,,-133.0000000000027
