date,EURCHF,EURJPY,EURAUD,AUDNZD,empty,sum
2018.04.09,-55.99999999998939,-68.00000000001205,-130.99999999999224,-51.000000000001044,,-305.9999999999947
2018.04.09,-89.00000000000574,-13.00000000000523,-222.00000000001108,-50.0000000000167,,-374.00000000003877
2018.04.09,-120.99999999999334,-123.00000000001887,-201.00000000000674,4.999999999988347,,-440.00000000003064
2018.04.09,-117.99999999999588,-93.00000000001774,-42.999999999993044,35.999999999991594,,-218.00000000001506
2018.04.09,-76.99999999999375,84.99999999997954,-39.00000000001125,20.999999999982144,,-10.000000000043315
2018.04.09,-62.000000000006494,18.000000000000682,39.999999999995595,104.99999999999955,,100.99999999998933
2018.04.09,-95.00000000000064,-34.99999999999659,15.00000000000945,102.99999999998644,,-12.000000000001322
2018.04.09,-106.00000000000608,26.999999999986812,96.99999999999153,0.9999999999843467,,18.999999999956607
2018.04.09,-129.00000000000134,18.000000000000682,212.99999999999653,38.99999999998904,,140.99999999998494
2018.04.09,-130.0000000000079,66.99999999997885,157.99999999999147,-16.000000000016,,78.99999999994643
2018.04.09,-121.99999999999989,72.99999999997908,164.00000000000858,-55.000000000005045,,59.999999999982734
2018.04.09,-154.0000000000097,19.000000000005457,131.99999999999878,-97.00000000001374,,-100.0000000000192
2018.04.09,-157.00000000000713,-9.000000000014552,184.99999999999073,-58.000000000002494,,-39.000000000033445
2018.04.09,-150.00000000000568,-99.00000000001796,248.99999999998812,37.99999999998249,,37.999999999946965
2018.04.09,-156.00000000000057,-75.9999999999934,273.9999999999965,-16.000000000016,,25.9999999999865
2018.04.09,-164.99999999999292,-93.99999999999409,211.99999999998997,-67.00000000001705,,-114.00000000001413
2018.04.09,-167.00000000000603,-98.00000000001319,208.00000000000819,-147.00000000000824,,-204.00000000001927
2018.04.09,-188.00000000001037,-129.0000000000191,97.9999999999981,-146.00000000000168,,-365.000000000033
2018.04.09,-191.99999999999218,-171.99999999999704,131.99999999999878,-174.00000000000747,,-405.9999999999979
2018.04.09,-187.00000000000384,-213.99999999999864,185.99999999999727,-121.99999999999989,,-337.0000000000051
2018.04.09,-191.99999999999218,-206.99999999999363,-177.00000000000495,-280.9999999999979,,-856.9999999999886
2018.04.09,-147.99999999999258,-247.0000000000141,-238.0000000000049,-307.99999999999716,,-941.0000000000088
2018.04.09,-202.9999999999976,-270.00000000001023,-258.0000000000027,-266.0000000000107,,-997.0000000000211
2018.04.09,-182.99999999999983,-272.99999999999613,-339.0000000000004,-333.0000000000055,,-1128.0000000000018
