date,USDCHF,GBPUSD,EURUSD,USDJPY,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2015.02.02,100.00000000000009,-72.0000000000054,-59.000000000009045,250.0,-304.9999999999997,-388.00000000000523,-45.000000000006146,1.0000000000065512,254.99999999999545,119.00000000000244,-212.99999999999386,136.99999999998712,-280.9999999999979,-229.99999999999687,334.0000000000032,63.00000000000195,5.999999999994898,,-328.0000000000225
2015.02.02,351.99999999999676,-48.000000000003595,-8.000000000008,184.99999999998806,-672.9999999999902,-665.0000000000063,-206.00000000000617,-34.000000000000696,223.99999999998954,216.00000000001617,-222.99999999998477,187.99999999998818,-212.99999999999653,49.00000000001015,343.0000000000035,17.000000000000348,165.9999999999995,,-330.00000000000404
2015.02.02,551.0000000000015,-141.99999999999767,-42.0000000000087,248.99999999999523,-1024.0000000000027,-1010.9999999999957,-329.999999999997,-71.99999999999429,193.00000000001205,356.00000000000074,-231.99999999999932,248.99999999998812,-405.0000000000109,-176.99999999998272,414.0000000000015,102.00000000000209,80.00000000000229,,-1240.9999999999857
2015.02.02,551.9999999999969,-104.00000000001519,-47.00000000001925,256.9999999999908,-998.00000000001,-1022.9999999999961,-377.0000000000051,-46.999999999997044,252.00000000000955,213.00000000001873,-229.99999999998977,184.00000000000637,-499.000000000005,-261.0000000000001,369.99999999999034,221.99999999999997,-34.99999999999615,,-1571.0000000000207
2015.02.02,568.0000000000018,-154.0000000000097,-34.000000000000696,357.9999999999899,-1065.0000000000048,-1186.000000000007,-438.00000000000506,-85.99999999999719,348.0000000000132,137.00000000000932,-366.9999999999902,60.99999999999994,-541.9999999999981,-310.9999999999946,384.00000000000034,334.00000000000097,-153.00000000000313,,-2145.999999999995
2015.02.02,539.0000000000006,-185.00000000001293,-37.00000000002035,456.99999999999363,-1052.9999999999927,-1242.999999999995,-424.9999999999976,-95.99999999999609,457.9999999999984,147.00000000000824,-472.99999999998477,45.000000000006146,-537.0000000000097,-261.0000000000001,447.9999999999933,351.0000000000013,-146.99999999999713,,-2012.0000000000048
2015.02.02,312.00000000000114,-165.00000000001512,-18.0000000000069,395.9999999999866,-702.0000000000026,-856.9999999999993,-306.00000000000625,-100.99999999999554,390.99999999999113,-43.999999999999595,-429.00000000000205,-100.99999999999554,-496.00000000000756,-249.99999999999466,319.9999999999932,422.00000000000017,-226.00000000000398,,-1854.0000000000568
2015.02.02,160.00000000000458,-163.00000000000205,31.999999999987594,675.9999999999877,-463.9999999999977,-938.0000000000024,-275.000000000003,-132.99999999999423,816.0000000000025,-287.9999999999994,-810.0000000000023,-347.9999999999928,-554.9999999999944,-310.9999999999946,426.9999999999925,635.0000000000077,-421.0000000000047,,-1960.0000000000052
2015.02.02,192.00000000000327,-171.00000000001003,32.999999999994145,631.9999999999908,-510.99999999999477,-908.0000000000013,-302.9999999999977,-139.99999999999568,734.0000000000089,-290.9999999999968,-754.9999999999955,-371.00000000001023,-202.00000000001327,-40.99999999997994,376.99999999999534,407.99999999999727,-277.000000000005,,-1594.0000000000105
2015.02.02,93.99999999999409,-126.0000000000039,59.99999999999339,851.9999999999897,-323.99999999999096,-1042.0000000000016,-250.00000000000577,-130.99999999999224,1126.0000000000048,-421.99999999998903,-1037.9999999999825,-453.99999999999886,-414.00000000000324,-98.99999999998244,518.9999999999912,616.0000000000055,-365.99999999999966,,-1398.9999999999714
