date,EURUSD,USDCAD,EURCHF,CADCHF,EURJPY,AUDCAD,NZDCAD,empty,sum
2020.01.20,-11.00000000000545,-17.000000000000348,-35.999999999991594,-26.999999999999247,-49.99999999999716,-63.99999999999739,-78.00000000000028,,-282.9999999999915
2020.01.20,11.00000000000545,21.00000000000435,-36.999999999998145,-31.000000000003247,-16.000000000005343,-90.0000000000012,-70.0000000000034,,-212.00000000000153
2020.01.20,4.999999999988347,15.999999999993797,-59.99999999999339,-39.999999999995595,-60.000000000002274,-149.99999999999457,-117.99999999999588,,-406.99999999999955
2020.01.20,-28.000000000005798,35.999999999991594,-102.00000000000209,-60.99999999999994,-106.00000000000875,-163.99999999999747,-180.0000000000024,,-605.0000000000249
2020.01.20,-65.00000000000395,46.999999999997044,-99.99999999998899,-51.99999999999649,-168.00000000000637,-165.9999999999995,-181.9999999999933,,-685.9999999999916
2020.01.20,-65.00000000000395,49.99999999999449,-95.00000000000064,-26.000000000003798,-148.00000000001035,-161.00000000000003,-171.99999999999437,,-617.0000000000186
2020.01.20,-58.000000000002494,51.000000000001044,-78.99999999998464,-17.000000000000348,-118.99999999999977,-173.9999999999964,-197.99999999999818,,-593.9999999999808
2020.01.20,-49.00000000001015,55.000000000005045,-79.99999999999119,-19.00000000000235,-124.00000000000944,-164.99999999999292,-182.99999999999983,,-565.0000000000009
2020.01.20,-48.000000000003595,68.00000000000139,-106.99999999999044,-34.000000000000696,-143.00000000000068,-209.9999999999991,-190.99999999999673,,-664.9999999999899
2020.01.20,-53.00000000001415,66.99999999999484,-92.00000000000318,-19.999999999997797,-146.0000000000008,-193.99999999999417,-181.9999999999933,,-620.0000000000085
2020.01.20,-68.00000000000139,62.99999999999084,-104.99999999999955,-22.999999999995246,-146.0000000000008,-198.99999999999363,-193.99999999999417,,-671.999999999994
2020.01.20,-69.00000000000794,58.000000000002494,-124.99999999999733,-53.999999999998494,-141.00000000000534,-195.9999999999962,-217.0000000000005,,-744.0000000000032
2020.01.20,-42.0000000000087,62.000000000006494,-126.99999999998823,-53.00000000000304,-118.00000000000921,-190.99999999999673,-221.99999999999997,,-690.9999999999994
2020.01.20,-45.000000000006146,36.999999999998145,-96.99999999999153,-36.999999999998145,-123.00000000000466,-196.99999999999162,-217.99999999999596,,-679.99999999999
2020.01.20,-43.999999999999595,35.999999999991594,-89.00000000000574,-36.0000000000027,-133.00000000000978,-193.99999999999417,-208.99999999999253,,-669.0000000000128
2020.01.20,-68.00000000000139,35.999999999991594,-139.00000000000023,-63.99999999999739,-147.00000000000557,-221.99999999999997,-210.99999999999451,,-815.0000000000075
2020.01.20,-86.0000000000083,7.0000000000014495,-148.99999999999915,-70.0000000000034,-159.00000000000603,-209.9999999999991,-208.99999999999253,,-876.000000000007
2020.01.20,-90.00000000001229,-15.999999999993797,-177.99999999998929,-100.99999999999554,-164.00000000000148,-185.99999999999727,-185.99999999999727,,-920.9999999999869
2020.01.20,-103.99999999999298,-39.999999999995595,-170.99999999998784,-102.99999999999754,-168.99999999999693,-192.99999999999872,-195.9999999999962,,-975.9999999999659
2020.01.20,-70.0000000000145,-21.00000000000435,-147.99999999999258,-95.99999999999609,-142.00000000001012,-157.99999999999147,-144.99999999999514,,-780.0000000000042
2020.01.20,-52.000000000007596,55.99999999998939,-120.99999999999334,-56.99999999999594,-76.99999999999818,-113.99999999999189,-144.99999999999514,,-509.9999999999927
2020.01.20,-29.999999999996696,65.00000000000395,-103.99999999999298,-63.00000000000195,-72.00000000000273,-96.99999999999153,-122.99999999999534,,-423.99999999997726
2020.01.20,25.999999999992696,83.9999999999952,-109.99999999998789,-80.99999999999774,-11.00000000000989,-82.99999999999974,-78.00000000000028,,-253.00000000000767
2020.01.20,7.999999999985796,59.99999999999339,-55.99999999998939,-66.99999999999484,-55.999999999997385,-52.99999999999194,-73.99999999999629,,-237.99999999999068
2020.01.20,15.999999999993797,62.000000000006494,-78.99999999998464,-65.00000000000395,-31.00000000000591,-27.999999999994696,-82.99999999999974,,-207.99999999998866
2020.01.20,48.000000000003595,92.00000000000318,-114.99999999999844,-88.99999999999464,-11.00000000000989,-8.999999999992347,-64.99999999999284,,-148.99999999998138
2020.01.20,38.0000000000047,73.99999999999629,-126.0000000000039,-99.00000000000463,-25.000000000005684,7.0000000000014495,-70.99999999999883,,-202.0000000000106
2020.01.20,42.999999999993044,66.00000000001049,-106.00000000000608,-97.00000000000264,-27.000000000001023,8.000000000008,-83.9999999999952,,-196.9999999999934
2020.01.20,48.99999999998794,66.99999999999484,-106.00000000000608,-104.00000000000409,-19.000000000005457,30.000000000007798,-36.0000000000027,,-119.00000000002775
2020.01.20,49.99999999999449,73.99999999999629,-112.000000000001,-100.99999999999554,-25.000000000005684,25.00000000000835,-7.9999999999968985,,-96.99999999999997
2020.01.20,68.00000000000139,83.00000000001084,-75.99999999998718,-80.00000000000229,-2.0000000000095497,47.00000000000814,26.999999999999247,,67.00000000002059
2020.01.20,65.99999999998829,22.999999999995246,-76.99999999999375,-107.99999999999699,3.0000000000001137,76.0000000000094,29.000000000001247,,12.000000000003563
2020.01.20,83.9999999999952,35.999999999991594,-102.00000000000209,-139.00000000000023,18.000000000000682,73.00000000000084,28.000000000005798,,-2.000000000008214
2020.01.20,75.99999999998718,-21.00000000000435,-106.00000000000608,-144.99999999999514,13.999999999995794,100.00000000000009,62.000000000006494,,-20.000000000016016
2020.01.20,68.99999999998573,-39.999999999995595,-75.00000000000284,-153.00000000000313,39.00000000000148,90.0000000000012,102.00000000000209,,31.99999999998893
2020.01.20,82.00000000000429,-52.99999999999194,-139.9999999999846,-216.0000000000051,48.00000000000182,73.00000000000084,146.99999999999713,,-58.99999999997752
2020.01.20,66.99999999999484,-35.00000000000725,-134.99999999999625,-190.00000000000128,30.9999999999917,50.0000000000056,102.00000000000209,,-110.00000000001056
2020.01.20,59.99999999999339,-86.99999999999264,-99.99999999998899,-182.00000000000438,24.00000000000091,50.0000000000056,104.00000000000409,,-130.999999999982
2020.01.20,58.99999999998684,-144.99999999999514,-100.99999999999554,-204.99999999999963,6.000000000000227,78.00000000000028,123.00000000000644,,-184.99999999999653
2020.01.20,53.999999999998494,-151.9999999999966,-99.99999999998899,-219.99999999999798,-3.0000000000001137,78.00000000000028,116.00000000000499,,-226.99999999997993
2020.01.20,87.99999999999919,-141.99999999999767,-89.99999999999008,-224.9999999999974,30.9999999999917,89.00000000000574,112.000000000001,,-136.99999999998758
2020.01.20,15.999999999993797,-120.00000000000898,-139.00000000000023,-214.99999999999852,-39.00000000000148,87.00000000000374,112.000000000001,,-298.0000000000107
2020.01.20,7.0000000000014495,-126.0000000000039,-106.00000000000608,-180.0000000000024,-39.00000000000148,62.000000000006494,79.00000000000685,,-302.9999999999991
2020.01.20,1.0000000000065512,-150.00000000000568,-106.99999999999044,-185.00000000000182,-39.00000000000148,62.000000000006494,57.00000000000705,,-360.99999999997937
2020.01.20,-22.999999999995246,-148.99999999999915,-129.99999999998568,-182.99999999999983,-76.99999999999818,70.0000000000034,45.000000000006146,,-446.9999999999686
2020.01.20,-56.000000000011596,-153.00000000000313,-119.99999999998678,-156.00000000000057,-109.99999999999943,54.00000000000959,11.00000000000545,,-529.9999999999865
2020.01.20,-56.000000000011596,-148.99999999999915,-114.99999999999844,-156.99999999999602,-111.0000000000042,26.999999999999247,-7.9999999999968985,,-569.0000000000072
2020.01.20,-53.999999999998494,-160.99999999998892,-116.99999999998934,-143.00000000000423,-115.99999999999966,34.000000000000696,16.0000000000049,,-540.9999999999751
