date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2016.04.11,-70.99999999999883,-89.00000000000574,-141.99999999999767,-182.99999999999272,-25.00000000000835,-85.00000000000173,-36.0000000000138,-320.99999999999795,-108.99999999999244,-109.00000000000354,-132.99999999999423,-9.00000000000345,-113.00000000000753,-120.99999999999334,-170.99999999998784,-155.00000000000114,-180.99999999999739,-75.00000000000284,-51.000000000001044,,-2179.000000000002
2016.04.11,-98.0000000000092,43.999999999999595,-92.00000000000318,-114.99999999999488,82.99999999998863,-82.99999999999974,180.99999999998673,-253.0000000000001,-73.00000000000084,-146.99999999999713,-122.99999999999534,37.99999999999359,177.99999999998929,52.000000000007596,-60.99999999999994,-94.0000000000083,-117.999999999995,-167.00000000000603,102.99999999999754,,-745.0000000000467
2016.04.11,-141.00000000000225,86.0000000000083,-113.00000000000753,-183.9999999999975,41.000000000002146,-126.99999999999933,261.9999999999845,-269.00000000000546,-148.99999999999915,-248.99999999999923,-227.99999999999488,85.99999999999719,182.99999999999983,42.999999999993044,-187.99999999998818,-189.00000000000716,-228.9999999999992,-160.00000000000458,117.99999999999588,,-1407.0000000000236
2016.04.11,-131.99999999999878,109.99999999998789,-109.00000000000354,-328.9999999999935,-5.999999999994898,-167.00000000000603,336.9999999999873,-427.0000000000067,-168.99999999999693,-307.0000000000017,-261.0000000000001,92.00000000000318,127.99999999999478,-112.99999999998533,-312.9999999999855,-325.00000000000284,-379.0000000000049,-214.00000000000307,177.00000000000495,,-2407.0000000000055
2016.04.11,-134.0000000000008,78.00000000000028,-113.00000000000753,-343.9999999999941,-39.999999999995595,-157.00000000000713,335.9999999999808,-423.0000000000018,-187.9999999999993,-385.000000000002,-257.9999999999916,82.99999999999974,74.99999999998064,-316.99999999998954,-286.99999999999284,-319.0000000000026,-376.99999999999534,-338.00000000000495,163.00000000000205,,-2945.000000000022
2016.04.11,-136.00000000000279,103.99999999999298,-134.00000000001188,-361.99999999999477,-18.0000000000069,-163.00000000000205,358.9999999999982,-456.00000000000307,-168.99999999999693,-346.9999999999973,-251.00000000000122,102.00000000000209,146.99999999998602,-212.99999999999653,-272.99999999998994,-355.000000000004,-362.99999999999955,-302.0000000000023,173.9999999999964,,-2656.0000000000337
2016.04.11,-133.00000000000534,113.99999999999189,-126.0000000000039,-353.9999999999992,-19.999999999997797,-146.00000000000168,349.99999999998363,-435.0000000000023,-175.00000000000293,-318.00000000000716,-237.99999999999378,112.000000000001,156.00000000000057,-116.99999999998934,-268.0000000000016,-355.000000000004,-362.99999999999955,-245.0000000000063,138.00000000000477,,-2423.0000000000337
2016.04.11,-142.00000000000878,9.999999999998899,-188.00000000001037,-150.99999999999625,39.999999999995595,-114.99999999999844,247.99999999998158,-225.9999999999991,-129.9999999999968,-214.99999999999852,-192.99999999999872,78.99999999999574,195.9999999999962,97.00000000001374,-219.99999999999798,-88.00000000000807,-165.00000000000625,-177.00000000000495,126.0000000000039,,-1214.0000000000389
2016.04.11,-139.00000000000023,-59.99999999999339,-182.99999999999983,-49.99999999999716,150.00000000000568,-43.00000000000415,84.99999999997954,-143.00000000000068,-81.9999999999932,-140.0000000000068,-149.99999999999457,0.0,246.99999999999721,243.99999999999977,-102.99999999998644,-7.000000000005002,-49.000000000006594,-96.00000000000719,63.00000000000195,,-456.000000000011
2016.04.11,-57.00000000000705,-62.000000000006494,-76.0000000000094,131.00000000000023,160.00000000000458,-21.999999999999797,81.9999999999821,-49.99999999999716,-0.999999999995449,-101.00000000000664,-59.99999999999339,-48.99999999999905,295.99999999998516,184.00000000000637,192.00000000001438,146.0000000000008,114.99999999999488,-158.99999999999804,87.99999999999919,,756.9999999999752
2016.04.11,-77.00000000000485,-69.9999999999923,-92.00000000000318,40.00000000000625,117.99999999999588,-73.00000000000084,118.99999999998023,-118.00000000000921,-43.999999999999595,-175.99999999999838,-126.99999999999933,-12.999999999996348,183.99999999998417,-15.999999999993797,25.00000000000835,33.999999999991815,-27.000000000001023,-207.00000000000162,101.00000000000664,,-419.0000000000271
2016.04.11,-48.99999999999905,62.000000000006494,-39.999999999995595,-3.9999999999906777,-56.000000000011596,-191.00000000000784,188.9999999999947,-180.99999999999739,-129.00000000000134,-312.00000000000114,-221.99999999999997,24.000000000001798,175.99999999999838,-168.99999999999693,-232.99999999999432,-103.00000000000864,-171.99999999999704,-263.0000000000021,124.99999999999733,,-1548.000000000005
2016.04.11,-52.000000000007596,116.00000000000499,-52.000000000007596,-36.99999999999193,-8.000000000008,-174.00000000000747,254.999999999983,-209.00000000000318,-104.99999999999955,-279.00000000000705,-212.00000000000108,80.00000000000229,192.99999999999872,-161.99999999999548,-224.000000000002,-91.00000000000819,-177.0000000000067,-275.000000000003,207.99999999999707,,-1205.0000000000628
2016.04.11,-56.0000000000005,123.99999999999079,-78.00000000000028,-63.00000000000239,2.999999999997449,-175.00000000000293,255.99999999998957,-222.99999999999898,-100.99999999999554,-270.99999999999903,-215.99999999999397,80.99999999999774,173.99999999998528,-102.99999999998644,-270.99999999999903,-109.99999999999943,-201.99999999999818,-251.00000000000122,180.99999999999784,,-1301.000000000019
