date,USDCHF,USDJPY,EURCHF,CADCHF,EURGBP,GBPJPY,AUDJPY,empty,sum
2020.11.23,-73.99999999999629,-72.00000000000273,-73.00000000001194,-79.99999999999119,-118.00000000000699,-19.000000000005457,0.0,,-436.0000000000146
2020.11.23,-83.9999999999952,-70.99999999999795,-70.0000000000145,-65.99999999999939,-77.00000000000485,132.000000000005,46.00000000000648,,-190.0000000000004
2020.11.23,-74.99999999999174,-114.00000000000432,-80.00000000001339,-70.99999999999883,-67.00000000000594,201.99999999999818,68.00000000001205,,-137.00000000000398
2020.11.23,-69.9999999999923,-96.00000000000364,-73.99999999999629,-76.99999999999375,-69.00000000000794,235.99999999999,124.00000000000944,,-25.999999999994486
2020.11.23,-34.000000000000696,-106.99999999999932,-89.00000000000574,-73.99999999999629,-83.00000000001084,251.00000000000477,172.00000000001125,,36.000000000003126
2020.11.23,7.0000000000014495,-87.0000000000033,-89.00000000000574,-80.99999999999774,-91.00000000000774,294.00000000001114,219.99999999999886,,172.99999999999693
2020.11.23,16.0000000000049,-52.00000000000671,-96.00000000000719,-95.99999999999609,-83.00000000001084,271.99999999999136,212.0000000000033,,172.99999999997874
2020.11.23,10.000000000010001,-26.00000000001046,-123.00000000000644,-108.99999999999244,-9.00000000000345,371.0000000000093,200.00000000000284,,314.0000000000094
2020.11.23,13.00000000000745,-12.000000000000455,-112.000000000001,-104.99999999999955,-14.000000000002899,377.9999999999859,204.00000000000773,,351.99999999999716
2020.11.23,7.0000000000014495,-20.000000000010232,-107.99999999999699,-104.99999999999955,-13.00000000000745,359.00000000000887,172.00000000001125,,292.0000000000074
2020.11.23,24.000000000001798,-4.0000000000048885,-97.00000000001374,-102.99999999999754,-19.00000000000235,349.9999999999943,161.00000000000136,,311.99999999997897
2020.11.23,32.0000000000098,-14.000000000010004,-80.00000000001339,-85.99999999999719,-33.000000000005244,336.9999999999891,174.0000000000066,,329.99999999997965
2020.11.23,12.000000000000899,-21.000000000000796,-96.00000000000719,-75.9999999999983,-49.00000000001015,307.9999999999927,133.00000000000978,,210.99999999998695
2020.11.23,9.00000000000345,-17.000000000010118,-103.00000000000864,-65.99999999999939,-51.000000000001044,296.99999999999704,124.00000000000944,,192.99999999999073
2020.11.23,10.000000000010001,-15.000000000000568,-106.00000000000608,-64.99999999999284,-45.000000000006146,307.9999999999927,121.99999999999989,,208.999999999997
