,name,direction
0,USDJPY,S
1,AUDUSD,B
2,EURCHF,S
3,CADCHF,B
4,AUDCHF,B
5,NZDCHF,B
6,GBPCAD,S
7,GBPAUD,S
8,EURJPY,S
9,EURAUD,S
10,CADJPY,B
11,AUDCAD,B
