date,USDJPY,AUDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDCAD,empty,sum
2017.12.04,-31.999999999996476,-9.999999999998899,-18.999999999991246,-63.99999999999739,-108.99999999999244,-41.9999999999976,-117.99999999999588,-330.0000000000081,-97.99999999998477,-204.00000000000418,-87.99999999999386,-57.99999999999139,,-1171.9999999999523
2017.12.04,-15.000000000000568,-2.999999999997449,8.000000000008,-63.00000000000195,-113.99999999999189,-37.99999999999359,-619.9999999999983,-696.0000000000077,-120.00000000000455,-268.0000000000016,-69.99999999999318,-17.999999999995797,,-2016.9999999999786
2017.12.04,-146.0000000000008,-5.999999999994898,-19.999999999997797,-115.99999999999389,-136.99999999999824,-78.00000000000028,-1055.000000000006,-1181.0000000000098,-293.00000000000637,-286.00000000000847,-45.99999999999227,25.00000000000835,,-3339.000000000001
2017.12.04,-155.9999999999917,-44.99999999999504,-130.99999999999224,-109.99999999999899,-114.99999999999844,-47.9999999999925,-1059.9999999999943,-1168.9999999999977,-221.00000000000364,-285.00000000000193,-68.9999999999884,40.00000000000669,,-3368.9999999999477
2017.12.04,-150.99999999999625,-45.99999999999049,-139.9999999999846,-10.999999999994348,-15.999999999993797,6.0000000000060005,-1011.9999999999907,-1019.0000000000143,-171.99999999999704,-252.0000000000078,-107.99999999998988,97.00000000000264,,-2823.9999999999504
2017.12.04,-58.9999999999975,-5.999999999994898,-208.99999999999253,-27.999999999994696,2.000000000002,19.999999999997797,-991.9999999999928,-900.9999999999962,-180.00000000000682,-243.99999999999977,-128.99999999999068,143.00000000000423,,-2582.9999999999623
2017.12.04,-64.99999999999773,-10.999999999994348,-317.9999999999961,11.00000000000545,69.00000000000794,95.00000000000064,-869.999999999993,-712.0000000000015,-146.99999999999136,-285.00000000000193,-138.9999999999958,151.00000000000114,,-2220.9999999999563
2017.12.04,14.000000000010004,40.00000000000669,-322.9999999999844,65.99999999999939,143.9999999999997,172.00000000000549,-797.0000000000033,-621.0000000000049,-117.999999999995,-208.99999999999253,-162.9999999999967,202.0000000000022,,-1592.9999999999532
2017.12.04,-10.99999999999568,102.00000000000209,-283.99999999999534,56.0000000000005,165.00000000000404,114.99999999999844,-778.9999999999964,-500.00000000001154,-110.99999999999,-36.999999999998145,-113.99999999999011,256.0000000000007,,-1141.9999999999716
2017.12.04,-42.999999999992156,102.00000000000209,-258.99999999998704,34.000000000000696,161.00000000000003,119.00000000000244,-783.0000000000003,-463.0000000000134,-164.99999999999204,-48.000000000003595,-114.99999999999488,257.0000000000072,,-1202.999999999971
2017.12.04,-24.999999999991473,90.0000000000012,-269.9999999999925,31.000000000003247,155.00000000000514,97.9999999999981,-731.9999999999993,-409.99999999999926,-175.99999999998772,-103.00000000000864,-114.99999999999488,273.000000000001,,-1183.9999999999654
2017.12.04,-13.999999999995794,112.000000000001,-286.99999999999284,46.999999999997044,187.9999999999993,102.00000000000209,-757.0000000000076,-398.00000000000944,-132.000000000005,-29.999999999996696,-108.99999999999466,286.00000000000847,,-991.9999999999943
2017.12.04,-21.99999999999136,91.00000000000774,-282.9999999999888,48.99999999999905,168.00000000000148,70.99999999999883,-750.0000000000063,-401.00000000000693,-120.00000000000455,-49.00000000001015,-104.99999999998977,253.0000000000032,,-1097.9999999999877
2017.12.04,-48.00000000000182,51.000000000001044,-263.99999999999756,41.9999999999976,138.00000000000477,-17.000000000000348,-697.9999999999986,-461.0000000000003,-163.99999999998727,-158.99999999999804,-107.99999999998988,204.00000000000418,,-1483.9999999999663
