date,USDCHF,EURUSD,USDJPY,AUDUSD,GBPCHF,EURCHF,GBPAUD,EURJPY,EURCAD,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2017.11.06,-59.99999999999339,-39.999999999995595,0.0,-26.999999999999247,-90.00000000001229,-148.00000000001478,-29.999999999996696,-2.0000000000095497,-70.99999999999883,-48.99999999998794,-9.000000000000341,-123.00000000000466,-102.99999999999754,-122.99999999999534,,-875.0000000000061
2017.11.06,24.000000000001798,-82.00000000000429,82.99999999999841,-61.999999999995396,64.99999999998174,8.999999999992347,-5.999999999994898,104.99999999998977,-127.99999999999478,-25.999999999992696,42.00000000000159,-161.00000000000136,-151.9999999999966,-175.00000000000293,,-464.0000000000173
2017.11.06,40.00000000000669,-80.99999999999774,149.0000000000009,-46.999999999997044,92.99999999998754,21.00000000000435,55.99999999998939,157.99999999998704,-112.99999999998533,-14.000000000002899,115.0000000000091,-201.99999999999818,-151.9999999999966,-146.00000000000168,,-122.99999999999446
2017.11.06,79.00000000000685,-73.99999999999629,188.99999999999295,-32.999999999994145,177.99999999998929,68.99999999998573,131.99999999999878,185.00000000000227,-111.99999999997878,36.0000000000138,108.00000000000409,-174.99999999999716,-105.99999999999498,-117.00000000000044,,359.00000000003195
2017.11.06,69.00000000000794,-66.99999999999484,185.00000000000227,-49.99999999999449,168.99999999999693,63.99999999999739,80.99999999999774,198.0000000000075,-82.99999999998863,-17.000000000000348,141.9999999999959,-209.00000000000318,-120.99999999999334,-136.99999999999824,,224.00000000003263
2017.11.06,96.00000000000719,-38.99999999998904,222.99999999999898,-36.999999999998145,161.99999999999548,78.00000000000028,49.99999999999449,230.99999999999454,-65.99999999998829,-4.999999999988347,161.00000000000136,-269.999999999996,-109.99999999999899,-124.00000000000189,,350.00000000003155
2017.11.06,158.99999999999804,8.000000000008,381.9999999999908,26.999999999999247,123.99999999999079,93.99999999999409,63.99999999999739,349.9999999999943,-84.99999999997954,15.999999999993797,221.00000000000364,-433.9999999999975,-97.9999999999981,-90.0000000000012,,737.9999999999939
2017.11.06,134.00000000001188,-42.999999999993044,623.9999999999952,12.000000000000899,115.99999999998278,75.00000000000284,-9.999999999998899,629.9999999999955,-105.99999999998388,19.00000000001345,417.0000000000016,-448.99999999999807,-100.99999999999554,-109.99999999999899,,1208.000000000036
2017.11.06,69.00000000000794,-104.99999999999955,453.9999999999935,-19.00000000000235,123.99999999999079,99.00000000000463,48.000000000003595,566.0000000000025,-184.99999999999073,68.00000000000139,326.9999999999982,-400.0000000000057,-117.00000000000044,-73.00000000000084,,856.0000000000033
2017.11.06,13.00000000000745,-143.99999999998857,331.00000000000307,-42.999999999993044,78.99999999998464,78.99999999998464,62.99999999999084,413.0000000000109,-209.9999999999991,41.000000000002146,253.0000000000001,-171.99999999999704,-158.99999999999804,70.0000000000034,,614.0000000000115
2017.11.06,55.000000000005045,-75.99999999998718,335.9999999999985,-82.99999999999974,123.99999999999079,66.99999999999484,1.999999999990898,405.00000000000114,-185.99999999999727,-48.99999999998794,266.9999999999959,-103.9999999999992,-226.99999999999943,58.99999999999794,,590.0000000000043
2017.11.06,69.00000000000794,-85.99999999998609,358.99999999999466,-119.00000000000244,152.99999999998093,85.00000000000173,-82.00000000000429,441.0000000000025,-174.99999999999181,-117.99999999999588,337.0000000000033,-117.00000000000443,-261.0000000000001,58.000000000002494,,544.0000000000084
2017.11.06,97.9999999999981,-62.99999999999084,243.99999999999977,-114.00000000000298,182.99999999999983,96.99999999999153,-75.00000000000284,270.9999999999866,-144.99999999999514,-139.00000000000023,263.9999999999958,-129.0000000000049,-243.99999999999977,17.999999999995797,,265.99999999997067
2017.11.06,121.00000000001555,-44.99999999998394,248.99999999999523,-87.00000000000374,188.9999999999947,99.00000000000463,-59.99999999999339,247.99999999999045,-139.00000000000023,-110.99999999999443,246.9999999999999,-85.99999999999852,-225.99999999999287,-10.999999999994348,,388.00000000003894
2017.11.06,185.99999999999727,-19.999999999997797,274.0000000000009,-76.99999999999375,247.99999999998158,146.00000000000168,-59.000000000009045,265.99999999999113,-133.99999999998968,-124.99999999999733,259.00000000000034,-112.99999999999955,-234.99999999999633,7.0000000000014495,,622.9999999999909
2017.11.06,177.00000000000495,-34.99999999998504,284.9999999999966,-65.99999999999939,242.99999999999324,171.99999999999437,-26.999999999999247,306.0000000000116,-120.99999999999334,-62.000000000006494,240.0000000000091,-125.0,-182.99999999999983,9.999999999998899,,814.0000000000257
2017.11.06,165.00000000001512,-58.99999999998684,254.99999999999545,-70.0000000000034,247.99999999998158,168.99999999999693,-28.000000000005798,289.99999999999204,-140.99999999999113,-53.999999999998494,231.99999999999932,-49.000000000006594,-178.99999999999582,62.000000000006494,,840.9999999999989
2017.11.06,205.99999999999508,-68.00000000000139,319.0000000000026,-48.000000000003595,274.9999999999808,205.99999999999508,-2.0000000000131024,378.9999999999907,-175.99999999999838,-38.99999999998904,254.0000000000049,10.99999999999568,-169.99999999999238,202.9999999999976,,1349.9999999999645
2017.11.06,263.99999999999756,-4.999999999988347,366.9999999999902,-34.99999999999615,347.9999999999928,161.99999999999548,18.0000000000069,270.00000000001023,-126.99999999998823,-148.99999999999915,266.00000000000534,-49.000000000006594,-161.00000000000003,124.99999999999733,,1294.0000000000175
2017.11.06,158.0000000000137,-66.99999999999484,289.99999999999204,-85.99999999999719,328.9999999999793,153.00000000000313,82.99999999998863,305.0000000000068,-35.999999999991594,-106.99999999999044,251.00000000000477,-28.999999999996362,-130.99999999999224,180.0000000000024,,1293.0000000000282
