date,EURUSD,USDCAD,GBPCHF,EURCHF,AUDCHF,GBPJPY,AUDCAD,NZDCAD,empty,sum
2019.10.28,-36.999999999998145,-29.999999999996696,-241.99999999998667,-66.00000000001049,-65.00000000000395,-245.00000000000455,-45.000000000006146,-68.99999999999685,,-799.0000000000035
2019.10.28,-38.0000000000047,-28.000000000005798,-237.99999999998266,-63.99999999999739,-48.000000000003595,-243.99999999999977,-32.0000000000098,-49.99999999999449,,-741.9999999999982
2019.10.28,-46.0000000000127,-5.999999999994898,-205.99999999999508,-60.99999999999994,-30.000000000007798,-201.99999999999818,-32.0000000000098,-51.000000000001044,,-634.0000000000194
2019.10.28,-52.000000000007596,12.000000000012001,-192.99999999999872,-76.0000000000094,-31.999999999998696,-215.0000000000034,-59.000000000009045,-112.99999999999643,,-728.0000000000114
2019.10.28,-55.000000000005045,43.00000000001525,-163.9999999999864,-79.99999999999119,-29.000000000001247,-203.00000000000296,-48.000000000003595,-112.000000000001,,-647.9999999999762
2019.10.28,-41.000000000002146,51.000000000001044,-149.9999999999835,-87.99999999999919,-43.999999999999595,-198.0000000000075,-80.00000000000229,-102.99999999999754,,-652.9999999999907
2019.10.28,-32.999999999994145,75.00000000000284,-150.99999999999002,-96.99999999999153,-69.00000000000794,-152.9999999999916,-95.00000000000064,-107.99999999999699,,-630.99999999997
2019.10.28,-8.000000000008,80.99999999999774,-183.99999999998417,-113.99999999999189,-53.999999999998494,-139.00000000001,-49.00000000001015,-95.00000000000064,,-562.0000000000056
2019.10.28,-4.000000000004,107.00000000001265,-249.99999999999466,-165.9999999999995,-69.00000000000794,-141.9999999999959,-47.00000000000814,-75.00000000000284,,-646.0000000000003
2019.10.28,-4.000000000004,129.00000000000134,-210.99999999998343,-165.9999999999995,-53.00000000000304,-116.99999999999022,-33.000000000005244,-76.99999999999375,,-531.9999999999778
2019.10.28,-19.999999999997797,161.00000000001114,-259.9999999999936,-188.9999999999947,-60.00000000000449,-163.0000000000109,-51.000000000001044,-80.99999999999774,,-662.9999999999891
2019.10.28,-26.999999999999247,143.00000000000423,-252.99999999999213,-181.00000000000892,-29.000000000001247,-149.0000000000009,-20.0000000000089,-49.99999999999449,,-566.0000000000017
2019.10.28,-51.000000000001044,133.00000000000534,-245.99999999999068,-201.99999999999108,-39.00000000000014,-147.99999999999613,-15.00000000000945,-31.999999999998696,,-599.9999999999819
2019.10.28,-46.0000000000127,134.99999999999625,-264.9999999999819,-225.00000000000853,-48.99999999999905,-155.00000000000114,-15.00000000000945,-36.0000000000027,,-656.0000000000192
2019.10.28,-45.000000000006146,144.99999999999514,-239.99999999999577,-222.00000000001108,-43.999999999999595,-112.99999999999955,-34.000000000000696,-51.99999999999649,,-605.0000000000142
2019.10.28,-89.00000000000574,171.00000000001003,-262.999999999991,-238.0000000000049,-46.00000000000159,-132.000000000005,-46.00000000000159,-68.99999999999685,,-711.9999999999966
2019.10.28,-96.00000000000719,156.00000000000057,-279.99999999999136,-242.00000000000887,-51.000000000001044,-197.00000000000273,-64.0000000000085,-82.00000000000429,,-856.0000000000234
2019.10.28,-124.99999999999733,120.00000000000898,-299.99999999998914,-231.0000000000034,-28.000000000005798,-247.99999999999045,-45.000000000006146,-51.000000000001044,,-907.9999999999843
2019.10.28,-124.00000000001299,107.00000000001265,-295.0000000000008,-211.00000000000563,-31.000000000003247,-248.99999999999523,-45.000000000006146,-46.00000000000159,,-894.0000000000131
2019.10.28,-130.99999999999224,130.0000000000079,-457.9999999999807,-212.99999999999653,-47.00000000000814,-449.0000000000123,-86.0000000000083,-82.99999999999974,,-1336.9999999999902
2019.10.28,-181.00000000000892,124.00000000001299,-519.9999999999872,-266.0000000000107,-97.00000000000264,-569.0000000000168,-123.00000000000644,-51.000000000001044,,-1683.0000000000207
2019.10.28,-141.00000000001333,65.00000000000395,-450.9999999999792,-231.0000000000034,-119.00000000000244,-401.00000000001046,-141.00000000000225,-107.99999999999699,,-1527.0000000000043
2019.10.28,-154.0000000000097,63.000000000013046,-384.9999999999909,-224.000000000002,-145.00000000000622,-298.0000000000018,-161.00000000000003,-127.99999999999478,,-1431.9999999999925
2019.10.28,-170.00000000000347,9.000000000014552,-560.9999999999893,-310.9999999999946,-169.00000000000804,-475.9999999999991,-145.00000000000622,-75.00000000000284,,-1897.9999999999886
2019.10.28,-167.00000000000603,-34.99999999998504,-543.999999999989,-293.0000000000099,-170.99999999999892,-419.00000000001114,-117.00000000000044,-78.00000000000028,,-1824.0000000000007
2019.10.28,-168.99999999999693,-36.999999999998145,-334.9999999999964,-266.999999999995,-142.00000000000878,-239.00000000000432,-100.00000000000009,-56.0000000000005,,-1345.0
2019.10.28,-276.9999999999939,-92.99999999998754,-371.99999999999454,-337.0000000000095,-164.00000000000858,-317.0000000000073,-99.00000000000463,-58.000000000002494,,-1717.0000000000084
2019.10.28,-208.99999999999253,-15.999999999993797,-421.99999999998903,-367.99999999999056,-170.99999999999892,-277.00000000001523,-104.99999999999955,36.999999999998145,,-1530.9999999999814
2019.10.28,-232.00000000000998,-28.999999999990145,-464.9999999999821,-323.0000000000066,-157.00000000000713,-409.9999999999966,-142.00000000000878,11.00000000000545,,-1746.999999999996
2019.10.28,-207.00000000000162,-1.999999999990898,-600.0000000000006,-415.99999999999415,-229.00000000000142,-490.0000000000091,-140.0000000000068,26.000000000003798,,-2058.000000000001
2019.10.28,-129.00000000000134,-21.00000000000435,-568.9999999999973,-354.0000000000099,-202.0000000000022,-520.0000000000102,-116.00000000000499,60.99999999999994,,-1850.0000000000302
2019.10.28,-178.99999999999582,-90.99999999999665,-764.9999999999934,-428.9999999999905,-228.00000000000597,-804.000000000002,-73.00000000000084,114.00000000000298,,-2454.9999999999823
2019.10.28,-188.9999999999947,-83.9999999999952,-804.9999999999891,-394.00000000000546,-208.00000000000819,-931.0000000000116,-104.00000000000409,151.00000000000114,,-2564.0000000000073
2019.10.28,-177.00000000000495,-62.99999999999084,-800.0000000000007,-313.00000000000773,-182.99999999999983,-949.0000000000123,-99.00000000000463,136.99999999999824,,-2447.0000000000227
2019.10.28,-130.0000000000079,-4.000000000004,-731.9999999999993,-303.0000000000088,-165.9999999999995,-854.9999999999898,-121.99999999999989,131.00000000000333,,-2181.000000000006
2019.10.28,-153.00000000000313,-14.999999999987246,-770.9999999999884,-334.9999999999964,-292.9999999999988,-919.0000000000111,-259.0000000000092,39.00000000000014,,-2705.9999999999945
2019.10.28,-182.99999999999983,-26.999999999999247,-710.999999999995,-350.00000000000585,-309.0000000000037,-969.9999999999989,-269.00000000000813,2.999999999997449,,-2816.0000000000136
2019.10.28,-198.99999999999363,-42.999999999993044,-640.9999999999804,-300.99999999999574,-248.99999999999923,-920.0000000000159,-215.00000000000963,119.99999999999788,,-2447.99999999999
2019.10.28,-239.99999999999577,-63.99999999999739,-662.9999999999914,-316.0000000000052,-295.0000000000008,-918.0000000000064,-271.0000000000101,78.00000000000028,,-2689.0000000000064
2019.10.28,-239.99999999999577,-87.99999999999919,-646.9999999999976,-320.9999999999935,-301.0000000000068,-909.9999999999966,-276.00000000000955,56.0000000000005,,-2726.999999999998
2019.10.28,-234.00000000000088,-45.99999999999049,-603.9999999999824,-296.0000000000074,-275.000000000003,-908.0000000000155,-270.0000000000036,55.000000000005045,,-2577.999999999998
2019.10.28,-204.00000000000418,-52.99999999999194,-558.9999999999984,-270.99999999999903,-242.00000000000887,-901.0000000000105,-226.99999999999943,68.00000000000139,,-2389.000000000011
2019.10.28,-222.99999999999542,-75.00000000000284,-617.9999999999852,-268.0000000000016,-240.00000000000688,-971.0000000000036,-236.00000000000287,84.0000000000063,,-2546.999999999992
2019.10.28,-243.99999999999977,-66.99999999999484,-533.99999999999,-275.000000000003,-216.0000000000051,-837.9999999999939,-223.00000000000654,90.0000000000012,,-2306.9999999999914
2019.10.28,-242.00000000000887,-42.999999999993044,-528.9999999999795,-269.00000000000813,-214.00000000000307,-877.0000000000095,-226.99999999999943,87.99999999999919,,-2313.0000000000027
2019.10.28,-218.99999999999142,-51.99999999998539,-526.9999999999886,-259.0000000000092,-212.00000000000108,-896.000000000015,-207.00000000000162,46.00000000000159,,-2325.999999999991
2019.10.28,-231.0000000000034,-68.99999999998573,-487.99999999999955,-256.99999999999613,-192.99999999999872,-837.0000000000175,-204.00000000000418,-27.999999999994696,,-2306.9999999999995
2019.10.28,-222.00000000001108,-48.000000000003595,-499.9999999999893,-273.0000000000121,-204.00000000000418,-864.0000000000043,-202.0000000000022,12.000000000000899,,-2301.000000000026
2019.10.29,-221.00000000000452,-48.99999999998794,-520.9999999999936,-276.00000000000955,-204.99999999999963,-884.0000000000146,-198.00000000000927,4.999999999999449,,-2349.0000000000196
2019.10.29,-208.00000000000819,-41.000000000002146,-500.9999999999959,-259.0000000000092,-201.00000000000674,-853.0000000000086,-190.00000000000128,23.00000000000635,,-2230.000000000026
2019.10.29,-198.99999999999363,-38.0000000000047,-509.99999999998823,-255.00000000000523,-211.00000000000563,-824.0000000000123,-203.00000000000873,17.000000000000348,,-2223.000000000018
2019.10.29,-208.99999999999253,-39.999999999995595,-508.9999999999817,-263.99999999999756,-233.00000000000543,-838.9999999999986,-223.00000000000654,-5.999999999994898,,-2322.9999999999727
2019.10.29,-208.99999999999253,-48.99999999998794,-535.9999999999809,-273.9999999999965,-262.00000000000665,-872.9999999999905,-250.00000000000577,-102.00000000000209,,-2554.9999999999627
2019.10.29,-209.9999999999991,-62.000000000006494,-532.9999999999835,-263.99999999999756,-260.00000000000466,-971.0000000000036,-254.00000000000978,-170.99999999999892,,-2725.0000000000036
2019.10.29,-191.99999999999218,-62.000000000006494,-431.99999999998795,-242.99999999999324,-269.00000000000813,-801.0000000000161,-265.99999999999955,-151.00000000000114,,-2416.0000000000045
2019.10.29,-158.99999999999804,-29.999999999996696,-419.9999999999982,-252.99999999999213,-277.000000000005,-683.9999999999975,-269.00000000000813,-165.9999999999995,,-2257.999999999995
2019.10.29,-235.00000000000742,-70.99999999999883,-427.99999999998397,-266.999999999995,-322.00000000000006,-757.000000000005,-343.00000000000443,-265.0000000000041,,-2687.9999999999986
2019.10.29,-208.99999999999253,-60.99999999999994,-426.9999999999996,-255.00000000000523,-314.99999999999864,-753.9999999999907,-332.00000000001006,-259.9999999999936,,-2612.9999999999905
2019.10.29,-187.00000000000384,-45.000000000006146,-403.99999999998215,-239.00000000001143,-294.00000000000534,-725.9999999999991,-318.00000000000716,-236.99999999999832,,-2450.0000000000136
2019.10.29,-185.99999999999727,-68.00000000000139,-428.9999999999905,-241.00000000000233,-309.0000000000037,-747.0000000000141,-342.000000000009,-212.99999999999653,,-2535.0000000000146
2019.10.29,-178.99999999999582,-45.99999999999049,-408.9999999999927,-218.00000000000708,-301.0000000000068,-741.0000000000139,-350.00000000000585,-209.00000000000364,,-2453.0000000000164
2019.10.29,-173.00000000000094,-52.99999999999194,-461.99999999998465,-218.99999999999142,-347.0000000000084,-810.0000000000023,-384.00000000000654,-187.9999999999993,,-2635.999999999985
2019.10.29,-160.00000000000458,-53.999999999998494,-463.9999999999977,-204.00000000000418,-362.00000000000676,-816.0000000000025,-411.0000000000058,-176.99999999999383,,-2648.000000000014
2019.10.29,-163.00000000000205,-68.00000000000139,-471.9999999999835,-201.00000000000674,-374.0000000000077,-835.000000000008,-423.0000000000067,-170.99999999999892,,-2707.000000000015
2019.10.29,-156.00000000000057,-69.9999999999923,-500.9999999999959,-212.00000000001216,-406.00000000000637,-843.9999999999941,-475.0000000000032,-182.00000000000438,,-2846.000000000009
2019.10.29,-119.00000000000244,-39.999999999995595,-516.9999999999897,-185.99999999999727,-394.00000000000546,-834.0000000000032,-434.000000000001,-158.0000000000026,,-2681.9999999999973
2019.10.29,-147.99999999999258,-62.99999999999084,-557.9999999999918,-212.99999999999653,-406.00000000000637,-853.0000000000086,-422.00000000000017,-168.00000000000148,,-2830.999999999988
2019.10.29,-130.99999999999224,-78.99999999998464,-545.9999999999799,-207.00000000000162,-414.00000000000324,-795.9999999999923,-440.00000000000705,-165.9999999999995,,-2778.9999999999604
2019.10.29,-73.99999999999629,-55.99999999998939,-570.9999999999882,-245.0000000000063,-400.00000000000034,-651.0000000000105,-397.0000000000029,-73.99999999999629,,-2467.99999999999
2019.10.29,-56.000000000011596,-45.99999999999049,-590.999999999986,-248.00000000000378,-413.0000000000078,-604.0000000000134,-364.00000000000875,31.000000000003247,,-2291.0000000000186
2019.10.29,-42.999999999993044,-17.999999999984695,-451.99999999998573,-239.99999999999577,-426.9999999999996,-468.9999999999941,-382.00000000000455,46.00000000000159,,-1984.999999999956
2019.10.29,-46.0000000000127,-14.000000000002899,-322.9999999999844,-190.00000000000128,-394.00000000000546,-413.0000000000109,-387.99999999999943,31.999999999998696,,-1736.0000000000186
2019.10.29,-17.000000000000348,4.000000000004,-281.99999999998226,-153.00000000000313,-368.00000000000165,-335.00000000000796,-379.0000000000071,65.99999999999939,,-1463.999999999999
2019.10.29,-121.99999999999989,11.00000000000545,-817.9999999999854,-306.9999999999906,-391.000000000008,-969.9999999999989,-355.0000000000053,67.00000000000594,,-2884.999999999977
2019.10.29,-123.00000000000644,-4.000000000004,-753.9999999999881,-302.0000000000023,-380.00000000000256,-891.9999999999959,-387.000000000004,58.99999999999794,,-2783.0000000000055
2019.10.29,-59.000000000009045,-164.99999999999292,-690.9999999999972,-178.00000000001148,-387.000000000004,-888.0000000000052,-398.00000000000944,73.00000000000084,,-2693.0000000000286
2019.10.29,-109.00000000000354,-134.99999999999625,-669.9999999999928,-201.99999999999108,-399.0000000000049,-847.0000000000084,-380.00000000000256,119.99999999999788,,-2622.0000000000023
2019.10.29,-171.99999999999437,-156.99999999998494,-612.9999999999969,-253.99999999999866,-448.9999999999994,-789.999999999992,-428.00000000000614,77.00000000000485,,-2785.9999999999677
2019.10.29,-195.9999999999962,-70.99999999999883,-581.9999999999936,-276.9999999999939,-439.0000000000005,-799.0000000000066,-460.00000000000483,31.999999999998696,,-2791.999999999996
2019.10.29,-191.99999999999218,32.999999999994145,-744.9999999999957,-256.00000000001177,-397.0000000000029,-1072.0000000000027,-545.0000000000066,-26.999999999999247,,-3201.0000000000164
2019.10.29,-287.9999999999994,15.999999999993797,-884.9999999999802,-313.99999999999204,-402.00000000000233,-1225.999999999999,-547.0000000000086,-29.999999999996696,,-3675.9999999999845
2019.10.29,-336.00000000000296,17.000000000000348,-786.9999999999822,-336.00000000000296,-447.0000000000085,-1153.9999999999964,-652.0000000000082,-129.00000000000134,,-3824.0000000000023
2019.10.29,-361.0000000000113,68.00000000000139,-711.9999999999793,-319.0000000000026,-456.00000000000085,-1085.000000000008,-715.0000000000101,-187.9999999999993,,-3768.00000000001
2019.10.29,-385.99999999999744,82.00000000000429,-851.9999999999861,-341.99999999999784,-469.0000000000083,-1253.0000000000143,-687.9999999999998,-227.99999999999488,,-4135.9999999999945
2019.10.29,-395.99999999999636,182.0000000000155,-827.9999999999843,-316.0000000000052,-407.0000000000018,-1156.000000000006,-741.0000000000027,-224.9999999999974,,-3886.999999999978
2019.10.29,-324.0000000000132,265.0000000000041,-724.9999999999978,-299.00000000000483,-417.0000000000007,-1102.0000000000039,-768.000000000002,-237.99999999999378,,-3608.000000000012
2019.10.29,-313.99999999999204,293.0000000000099,-659.999999999994,-319.0000000000026,-392.9999999999989,-1031.000000000006,-730.0000000000084,-197.99999999999818,,-3351.99999999999
2019.10.29,-310.9999999999946,259.9999999999936,-548.9999999999995,-313.99999999999204,-397.99999999999835,-881.0000000000002,-725.000000000009,-193.99999999999417,,-3111.999999999994
