date,GBPUSD,USDJPY,AUDUSD,NZDUSD,NZDCHF,GBPAUD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.11.23,39.00000000001125,-56.000000000011596,11.999999999989797,81.9999999999932,136.00000000000279,129.00000000000134,-210.99999999998343,-83.00000000001084,-82.99999999999841,25.00000000000835,170.00000000000347,41.000000000002146,,201.00000000000801
2020.11.23,83.00000000001084,-65.00000000001194,10.999999999994348,71.99999999999429,110.99999999999443,171.00000000001003,-213.99999999998087,-95.00000000000064,-64.99999999999773,108.00000000000809,178.00000000000037,26.999999999999247,,322.0000000000205
2020.11.23,93.00000000000975,-94.0000000000083,67.9999999999903,159.9999999999935,195.00000000000074,59.000000000009045,-143.99999999998857,28.999999999990145,-113.99999999999011,155.00000000000514,273.9999999999965,60.99999999999994,,742.000000000008
2020.11.23,160.00000000000458,-72.00000000000273,124.99999999999733,212.00000000000108,214.00000000000307,5.000000000010552,-89.99999999999008,85.00000000000173,-125.99999999999056,200.00000000000017,312.00000000000114,60.000000000015596,,1085.0000000000518
2020.11.23,217.0000000000005,-46.00000000000648,181.9999999999933,280.9999999999979,249.99999999999466,-55.000000000005045,-37.99999999998249,176.99999999998272,-146.0000000000008,221.99999999999997,354.9999999999942,84.0000000000174,,1482.999999999986
2020.11.23,214.00000000000307,-47.000000000011255,200.00000000000017,312.9999999999966,280.00000000000244,-106.99999999999044,-12.999999999996348,237.99999999998266,-161.99999999999193,230.000000000008,381.99999999999346,104.00000000001519,,1632.0000000000118
2020.11.23,371.00000000001023,12.999999999991019,240.99999999999122,383.0,319.99999999999807,9.999999999998899,23.00000000001745,354.9999999999942,-156.99999999999648,232.00000000000998,422.9999999999956,155.00000000001623,,2369.0000000000264
2020.11.23,381.99999999999346,-4.0000000000048885,224.9999999999974,343.9999999999999,290.00000000000136,63.99999999999739,-21.999999999988695,247.99999999998158,-168.99999999999693,213.00000000000762,373.99999999999653,109.00000000000354,,2053.9999999999886
2020.11.23,347.9999999999928,-4.0000000000048885,192.99999999999872,314.0000000000032,276.9999999999939,93.99999999999409,-57.99999999998029,210.99999999998343,-155.9999999999917,188.00000000001037,351.0000000000013,117.00000000001154,,1875.0000000000125
2020.11.23,340.00000000000693,6.999999999990791,175.99999999999838,315.9999999999941,266.999999999995,129.00000000000134,-97.9999999999981,208.99999999999253,-150.99999999999625,160.00000000000458,348.9999999999993,140.0000000000068,,1843.9999999999952
2020.11.23,354.0000000000099,-4.0000000000048885,179.99999999999127,307.0000000000017,258.0000000000027,139.00000000000023,-74.99999999998064,205.99999999999508,-152.9999999999916,174.00000000000747,346.9999999999973,124.99999999999733,,1858.0000000000257
2020.11.23,310.0000000000103,-11.00000000000989,154.99999999999403,281.99999999999335,239.99999999999577,140.0000000000068,-117.99999999999588,151.9999999999966,-140.00000000000057,163.00000000000205,331.0000000000035,120.00000000000898,,1624.000000000005
2020.11.23,280.9999999999979,-7.000000000005002,129.9999999999968,248.99999999999923,222.99999999999542,161.99999999999548,-167.9999999999904,83.9999999999952,-110.99999999999,163.00000000000205,319.99999999999807,107.00000000001265,,1433.0000000000073
2020.11.23,276.9999999999939,-1.0000000000047748,123.99999999999079,224.000000000002,200.99999999999562,171.99999999999437,-197.99999999998707,0.9999999999843467,-100.99999999999909,157.00000000000713,290.9999999999968,79.00000000000685,,1225.999999999981
2020.11.23,293.99999999999426,4.9999999999954525,133.99999999998968,234.00000000000088,197.00000000000273,171.00000000001003,-176.99999999998272,22.999999999995246,-108.99999999999466,160.00000000000458,292.00000000000335,78.00000000000028,,1302.000000000019
2020.11.23,392.9999999999989,0.0,154.99999999999403,268.0000000000016,203.99999999999307,256.00000000001177,-180.0000000000024,59.99999999999339,-140.00000000000057,151.00000000000114,304.9999999999997,103.00000000000864,,1574.9999999999993
2020.11.23,334.9999999999964,-4.0000000000048885,129.9999999999968,227.99999999999488,180.0000000000024,239.00000000001143,-213.99999999998087,-19.00000000001345,-137.99999999999102,125.00000000000844,258.9999999999981,75.00000000000284,,1196.000000000021
2020.11.23,314.00000000001427,-20.000000000010232,95.00000000000064,163.00000000000205,126.99999999999933,290.9999999999968,-285.00000000000193,-174.00000000000747,-137.99999999999102,94.00000000000519,187.00000000000384,26.0000000000149,,680.0000000000263
2020.11.23,353.0000000000033,-76.00000000000762,100.00000000000009,171.99999999999437,141.00000000000225,331.999999999999,-302.0000000000023,-181.00000000000892,-209.99999999999375,67.00000000000594,166.99999999999494,35.00000000000725,,597.9999999999945
2020.11.23,411.0000000000058,-65.00000000001194,156.99999999999602,190.00000000000128,175.00000000000293,270.99999999999903,-53.999999999998494,-12.000000000012001,-227.99999999999443,109.00000000000354,158.0000000000026,-19.999999999997797,,1091.9999999999966
2020.11.23,619.9999999999983,-31.00000000000591,249.99999999999466,275.000000000003,261.0000000000001,326.0000000000041,175.00000000001404,212.99999999999653,-289.99999999999204,124.00000000000189,165.9999999999995,-28.999999999990145,,2060.0000000000236
2020.11.23,829.0000000000131,-69.00000000000261,278.00000000000045,303.9999999999932,302.0000000000023,550.000000000006,158.0000000000137,212.99999999999653,-343.9999999999941,131.00000000000333,178.00000000000037,-21.999999999988695,,2508.000000000043
2020.11.23,731.9999999999993,-29.000000000010573,327.99999999999494,307.0000000000017,261.99999999999557,286.00000000000847,169.00000000001913,113.99999999999189,-310.99999999999284,200.00000000000017,187.00000000000384,-88.99999999998354,,2156.0000000000277
