date,GBPCHF,GBPJPY,empty,sum
2016.11.14,9.000000000014552,-28.999999999996362,,-19.99999999998181
2016.11.14,-34.99999999998504,-26.999999999986812,,-61.999999999971855
2016.11.14,-114.99999999999844,-44.00000000001114,,-159.00000000000958
2016.11.14,-212.99999999999653,-133.99999999998613,,-346.99999999998266
2016.11.14,-194.0000000000053,-27.999999999991587,,-221.99999999999687
2016.11.14,-170.00000000000347,-342.00000000001296,,-512.0000000000164
2016.11.14,-90.99999999999665,-284.9999999999966,,-375.99999999999324
2016.11.14,-68.00000000000139,-388.00000000000523,,-456.0000000000066
2016.11.14,-119.00000000000244,-556.0000000000116,,-675.0000000000141
2016.11.14,-249.99999999999466,-746.0000000000093,,-996.000000000004
2016.11.14,-279.99999999999136,-715.0000000000034,,-994.9999999999948
2016.11.14,-275.000000000003,-623.9999999999952,,-898.9999999999982
2016.11.14,-256.99999999999613,-560.0000000000023,,-816.9999999999984
2016.11.14,-302.0000000000023,-730.9999999999945,,-1032.9999999999968
2016.11.14,-346.9999999999862,-824.9999999999886,,-1171.9999999999748
2016.11.14,-266.999999999995,-842.000000000013,,-1109.000000000008
2016.11.14,-153.9999999999875,-627.0000000000095,,-780.999999999997
2016.11.14,-97.9999999999981,-567.0000000000073,,-665.0000000000053
2016.11.14,-55.99999999998939,-545.9999999999923,,-601.9999999999817
2016.11.14,241.00000000000233,-248.99999999999523,,-7.999999999992895
2016.11.14,-99.00000000000463,-435.0000000000023,,-534.0000000000069
2016.11.14,-52.99999999999194,-283.9999999999918,,-336.99999999998374
2016.11.14,-78.00000000000028,-527.9999999999916,,-605.9999999999918
2016.11.14,49.99999999999449,-313.99999999999295,,-263.99999999999847
2016.11.14,-295.99999999998516,-603.0000000000086,,-898.9999999999939
2016.11.14,-550.9999999999903,-917.0000000000016,,-1467.9999999999918
2016.11.14,-394.9999999999898,-777.9999999999916,,-1172.9999999999814
2016.11.14,-529.0000000000017,-808.9999999999975,,-1337.999999999999
2016.11.14,-600.0000000000006,-627.9999999999859,,-1227.9999999999864
2016.11.14,-722.0000000000005,-860.99999999999,,-1582.9999999999905
2016.11.14,-895.0000000000014,-1044.9999999999875,,-1939.9999999999889
2016.11.14,-527.9999999999951,-532.0000000000107,,-1060.000000000006
2016.11.14,-506.9999999999908,-655.0000000000011,,-1161.9999999999918
2016.11.14,-455.0000000000054,-935.0000000000023,,-1390.0000000000077
2016.11.14,-131.99999999999878,-634.9999999999909,,-766.9999999999897
2016.11.14,-116.00000000000499,-789.999999999992,,-905.999999999997
2016.11.14,-24.999999999986144,-604.0000000000134,,-628.9999999999995
2016.11.14,-158.99999999999804,-742.999999999995,,-901.9999999999931
2016.11.14,-285.99999999998624,-763.0000000000052,,-1048.9999999999914
2016.11.14,-375.9999999999986,-800.0000000000114,,-1176.00000000001
2016.11.14,-405.9999999999952,-875.0,,-1280.9999999999952
2016.11.14,-455.99999999998977,-1085.000000000008,,-1540.9999999999977
2016.11.14,-485.0000000000021,-1078.000000000003,,-1563.000000000005
2016.11.14,-444.9999999999843,-1169.0000000000111,,-1613.9999999999955
2016.11.14,-461.0000000000003,-1193.9999999999884,,-1654.9999999999886
2016.11.14,-469.99999999999267,-1157.999999999987,,-1627.9999999999798
2016.11.14,-387.000000000004,-1194.9999999999932,,-1581.9999999999973
2016.11.14,-375.9999999999986,-1098.9999999999895,,-1474.9999999999882
2016.11.15,-425.99999999999307,-1195.999999999998,,-1621.999999999991
2016.11.15,-390.9999999999858,-1098.0000000000132,,-1488.999999999999
2016.11.15,-543.999999999989,-1104.0000000000134,,-1648.0000000000023
2016.11.15,-560.0000000000049,-1162.0000000000061,,-1722.000000000011
2016.11.15,-324.9999999999975,-715.0000000000034,,-1040.000000000001
2016.11.15,-156.99999999998494,-661.0000000000014,,-817.9999999999864
2016.11.15,-164.99999999999292,-643.0000000000007,,-807.9999999999936
2016.11.15,-103.99999999999298,-588.9999999999986,,-692.9999999999916
2016.11.15,-209.9999999999991,-832.9999999999984,,-1042.9999999999975
2016.11.15,-353.99999999998766,-950.9999999999934,,-1304.9999999999811
2016.11.15,-327.99999999999494,-800.0000000000114,,-1128.0000000000064
2016.11.15,-238.99999999998923,-640.9999999999911,,-879.9999999999803
2016.11.15,-302.9999999999866,-741.0000000000139,,-1044.0000000000005
2016.11.15,-272.00000000000557,-729.0000000000134,,-1001.000000000019
2016.11.15,-208.99999999999253,-683.9999999999975,,-892.99999999999
2016.11.15,-150.99999999999002,-724.9999999999943,,-875.9999999999843
2016.11.15,-170.00000000000347,-650.0000000000057,,-820.0000000000091
2016.11.15,-190.99999999998562,-729.9999999999898,,-920.9999999999754
2016.11.15,-137.9999999999937,-522.9999999999961,,-660.9999999999898
2016.11.15,-19.999999999997797,-621.9999999999857,,-641.9999999999835
2016.11.15,35.00000000000725,-568.9999999999884,,-533.9999999999811
2016.11.15,554.00000000001,-139.00000000001,,415.0
2016.11.15,473.99999999999665,-294.00000000001114,,179.9999999999855
2016.11.15,666.9999999999953,-159.9999999999966,,506.99999999999875
2016.11.15,497.0000000000141,-280.00000000000114,,217.00000000001296
2016.11.15,655.0000000000056,-22.999999999996135,,632.0000000000094
2016.11.15,496.00000000000756,-131.00000000000023,,365.00000000000733
2016.11.15,279.00000000000705,-330.99999999998886,,-51.99999999998181
2016.11.15,304.9999999999997,-181.99999999998795,,123.00000000001177
2016.11.15,136.00000000000279,-233.0000000000041,,-97.00000000000131
2016.11.15,119.00000000000244,-265.99999999999113,,-146.9999999999887
2016.11.15,-17.000000000000348,-787.0000000000061,,-804.0000000000065
2016.11.15,-78.00000000000028,-908.9999999999918,,-986.999999999992
2016.11.15,261.0000000000001,-514.00000000001,,-253.0000000000099
2016.11.15,380.00000000000256,-586.9999999999891,,-206.99999999998653
2016.11.15,290.9999999999968,-689.9999999999977,,-399.0000000000009
2016.11.15,12.999999999996348,-879.9999999999955,,-866.9999999999991
2016.11.15,-156.00000000000057,-1051.9999999999925,,-1207.9999999999932
2016.11.15,-89.99999999999008,-888.0000000000052,,-977.9999999999953
2016.11.15,-217.0000000000005,-1128.9999999999907,,-1345.9999999999911
2016.11.15,-180.0000000000024,-1111.9999999999948,,-1291.9999999999973
2016.11.15,-418.9999999999916,-1366.9999999999902,,-1785.9999999999818
2016.11.15,-409.99999999999926,-1557.9999999999927,,-1967.999999999992
2016.11.15,-720.9999999999939,-2034.9999999999966,,-2755.9999999999905
2016.11.15,-524.9999999999977,-1802.9999999999973,,-2327.999999999995
2016.11.15,-499.000000000005,-1764.00000000001,,-2263.000000000015
2016.11.15,-448.9999999999883,-1721.0000000000036,,-2169.999999999992
2016.11.15,-527.9999999999951,-1709.0000000000032,,-2236.999999999998
2016.11.16,-424.00000000000216,-1556.999999999988,,-1980.99999999999
2016.11.16,-397.0000000000029,-1455.0000000000125,,-1852.0000000000155
2016.11.16,-373.99999999998545,-1528.9999999999964,,-1902.9999999999818
2016.11.16,-456.9999999999963,-1429.000000000002,,-1885.9999999999984
2016.11.16,-405.9999999999952,-1389.00000000001,,-1795.0000000000052
2016.11.16,-368.9999999999971,-1520.0000000000102,,-1889.0000000000073
2016.11.16,-418.9999999999916,-1479.0000000000134,,-1898.000000000005
2016.11.16,-458.00000000000284,-1562.0000000000118,,-2020.0000000000146
2016.11.16,-489.99999999999045,-1759.999999999991,,-2249.9999999999814
2016.11.16,-334.9999999999964,-1752.999999999986,,-2087.9999999999823
2016.11.16,-397.0000000000029,-1918.0000000000064,,-2315.000000000009
2016.11.16,-394.9999999999898,-1659.9999999999966,,-2054.9999999999864
