date,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.10.21,-15.00000000000945,-91.99999999999208,-100.00000000000853,-178.99999999999582,,-386.0000000000059
2019.10.21,-14.000000000002899,-110.99999999999443,-69.00000000000261,-223.99999999997976,,-417.9999999999797
2019.10.21,-24.000000000001798,-98.99999999999353,-19.000000000005457,-200.00000000000017,,-342.00000000000097
2019.10.21,-11.00000000000545,-83.9999999999952,36.000000000001364,-53.999999999998494,,-112.99999999999778
2019.10.21,-22.999999999995246,-80.99999999999774,33.999999999991815,-85.99999999998609,,-155.99999999998727
2019.10.21,0.0,-85.99999999999719,6.000000000000227,-96.99999999999153,,-176.9999999999885
2019.10.21,-46.999999999997044,-157.99999999999147,-91.00000000000819,-167.9999999999904,,-463.9999999999871
2019.10.21,-32.999999999994145,-200.00000000000017,-159.00000000000603,-204.99999999998852,,-596.9999999999889
2019.10.21,-32.0000000000098,-239.99999999999577,-141.00000000000534,-319.999999999987,,-732.999999999998
2019.10.21,8.999999999992347,-239.99999999999577,-94.99999999999886,-326.9999999999884,,-652.9999999999907
2019.10.21,7.0000000000014495,-292.9999999999988,-141.00000000000534,-428.9999999999905,,-855.9999999999932
2019.10.21,14.000000000002899,-289.9999999999903,-114.99999999999488,-440.9999999999803,,-831.9999999999625
2019.10.21,14.000000000002899,-278.00000000000045,-121.99999999999989,-404.9999999999887,,-790.9999999999861
2019.10.21,-8.000000000008,-279.99999999999136,-135.00000000000512,-364.9999999999931,,-787.9999999999976
2019.10.21,-11.00000000000545,-289.9999999999903,-188.0000000000024,-367.99999999999056,,-856.9999999999886
2019.10.21,-15.999999999993797,-296.9999999999917,-177.0000000000067,-345.99999999997965,,-835.9999999999718
2019.10.21,-15.00000000000945,-291.99999999999227,-162.9999999999967,-322.00000000000006,,-791.9999999999984
2019.10.21,-18.999999999991246,-315.9999999999941,-156.99999999999648,-375.9999999999986,,-867.9999999999804
2019.10.21,-1.0000000000065512,-312.00000000000114,-146.0000000000008,-427.99999999998397,,-886.9999999999925
2019.10.21,-11.00000000000545,-335.99999999999187,-192.00000000000728,-517.9999999999962,,-1057.000000000001
2019.10.21,-18.999999999991246,-330.9999999999924,-144.99999999999602,-480.99999999999807,,-975.9999999999777
2019.10.21,-65.00000000000395,-288.9999999999948,-290.00000000000625,-450.9999999999792,,-1094.999999999984
2019.10.21,-163.00000000000205,-336.9999999999984,-519.0000000000055,-508.9999999999817,,-1527.9999999999877
2019.10.21,-221.99999999998886,-356.9999999999962,-507.99999999999557,-537.9999999999941,,-1624.9999999999745
2019.10.21,-231.0000000000034,-395.99999999999636,-359.00000000000887,-598.999999999994,,-1585.0000000000027
2019.10.21,-280.9999999999979,-401.99999999999125,-334.0000000000032,-638.9999999999895,,-1655.9999999999818
2019.10.21,-293.99999999999426,-452.99999999999227,-322.00000000000273,-684.9999999999801,,-1753.9999999999695
