date,EURUSD,GBPCHF,empty,sum
2019.01.07,43.999999999999595,-100.99999999999554,,-56.99999999999594
2019.01.07,87.99999999999919,-43.999999999999595,,43.999999999999595
2019.01.07,113.99999999999189,165.00000000001512,,279.000000000007
2019.01.07,141.00000000001333,80.00000000001339,,221.00000000002672
2019.01.07,97.00000000001374,53.999999999998494,,151.00000000001222
2019.01.07,130.99999999999224,32.0000000000098,,163.00000000000205
2019.01.07,151.9999999999966,96.00000000000719,,248.00000000000378
2019.01.07,251.00000000000122,1.0000000000065512,,252.0000000000078
2019.01.07,232.00000000000998,26.0000000000149,,258.0000000000249
2019.01.07,239.99999999999577,12.999999999996348,,252.9999999999921
2019.01.07,249.99999999999466,5.000000000010552,,255.0000000000052
2019.01.07,265.0000000000041,46.999999999997044,,312.00000000000114
2019.01.07,316.0000000000052,75.00000000000284,,391.000000000008
2019.01.07,241.00000000000233,53.00000000001415,,294.0000000000165
2019.01.07,272.00000000000557,56.99999999999594,,329.00000000000153
2019.01.07,272.00000000000557,60.000000000015596,,332.00000000002115
2019.01.07,292.00000000000335,7.0000000000014495,,299.0000000000048
2019.01.07,204.00000000000418,43.00000000001525,,247.00000000001944
2019.01.07,165.9999999999995,75.00000000000284,,241.00000000000233
2019.01.07,401.00000000000693,19.00000000001345,,420.0000000000204
2019.01.07,391.9999999999924,-103.99999999999298,,287.99999999999943
2019.01.07,353.0000000000033,-185.99999999999727,,167.00000000000603
2019.01.07,489.0000000000061,-312.00000000000114,,177.00000000000495
2019.01.07,451.0000000000014,-170.00000000000347,,280.99999999999795
2019.01.07,452.00000000000796,-297.9999999999983,,154.00000000000966
2019.01.07,426.9999999999996,-313.99999999999204,,113.00000000000756
2019.01.07,419.9999999999982,-324.9999999999975,,95.00000000000068
2019.01.07,443.99999999999994,-200.00000000000017,,243.99999999999977
2019.01.07,483.99999999999557,-245.99999999999068,,238.0000000000049
2019.01.07,432.9999999999945,-302.9999999999866,,130.0000000000079
2019.01.07,556.0000000000009,-256.99999999999613,,299.0000000000048
2019.01.07,615.9999999999943,-285.99999999998624,,330.0000000000081
2019.01.07,658.0000000000031,-314.99999999999864,,343.00000000000443
2019.01.07,724.0000000000135,-309.99999999998806,,414.00000000002547
2019.01.07,709.0000000000041,-329.00000000000153,,380.00000000000256
2019.01.07,673.9999999999968,-82.00000000000429,,591.9999999999925
2019.01.07,707.9999999999975,-341.99999999999784,,365.99999999999966
2019.01.07,712.0000000000015,-280.9999999999979,,431.0000000000036
2019.01.07,714.999999999999,-246.99999999999721,,468.00000000000176
2019.01.07,729.0000000000018,-163.00000000000205,,565.9999999999998
2019.01.07,807.0000000000022,-219.99999999999798,,587.0000000000042
2019.01.07,780.000000000003,-271.99999999998334,,508.0000000000196
2019.01.07,831.000000000004,-324.9999999999975,,506.0000000000065
2019.01.07,834.0000000000014,-353.99999999998766,,480.0000000000137
2019.01.07,741.9999999999982,-312.9999999999855,,429.0000000000127
2019.01.07,807.0000000000022,-336.00000000000296,,470.9999999999992
2019.01.07,801.0000000000073,-323.99999999999096,,477.0000000000163
2019.01.07,781.9999999999939,-265.0000000000041,,516.9999999999898
2019.01.08,750.0000000000063,-200.00000000000017,,550.0000000000061
2019.01.08,797.0000000000033,-200.00000000000017,,597.0000000000032
2019.01.08,832.0000000000105,-218.99999999999142,,613.0000000000191
2019.01.08,828.0000000000065,-224.000000000002,,604.0000000000045
2019.01.08,824.0000000000025,-229.99999999999687,,594.0000000000057
2019.01.08,717.000000000012,-218.99999999999142,,498.00000000002063
2019.01.08,636.9999999999986,-239.99999999999577,,397.00000000000284
2019.01.08,520.9999999999936,-229.99999999999687,,290.99999999999676
2019.01.08,539.0000000000006,-157.99999999999147,,381.0000000000091
2019.01.08,543.0000000000045,-180.99999999998673,,362.00000000001785
2019.01.08,500.9999999999959,-190.99999999998562,,310.0000000000103
2019.01.08,425.0000000000087,-146.00000000000168,,279.00000000000705
2019.01.08,408.9999999999927,-146.99999999998602,,262.0000000000067
2019.01.08,428.00000000000614,-173.00000000000094,,255.0000000000052
2019.01.08,455.0000000000054,-217.0000000000005,,238.0000000000049
2019.01.08,475.0000000000032,-200.00000000000017,,275.000000000003
2019.01.08,557.0000000000075,-185.99999999999727,,371.00000000001023
2019.01.08,496.99999999999187,-187.00000000000384,,309.99999999998806
2019.01.08,465.0000000000043,-147.99999999999258,,317.0000000000117
2019.01.08,476.9999999999941,-245.99999999999068,,231.0000000000034
2019.01.08,480.99999999999807,-190.00000000000128,,290.9999999999968
2019.01.08,527.9999999999951,-119.00000000000244,,408.99999999999267
2019.01.08,597.0000000000031,-167.9999999999904,,429.0000000000127
2019.01.08,557.9999999999918,-262.999999999991,,295.0000000000008
2019.01.08,480.00000000001376,-348.9999999999993,,131.00000000001444
2019.01.08,496.00000000000756,-297.9999999999983,,198.00000000000927
2019.01.08,497.99999999999847,-310.9999999999946,,187.00000000000387
2019.01.08,695.0000000000011,-309.99999999998806,,385.0000000000131
2019.01.08,624.0000000000023,-265.99999999998846,,358.0000000000138
2019.01.08,536.0000000000032,-373.00000000000114,,163.00000000000205
2019.01.08,452.99999999999227,-347.9999999999928,,104.99999999999949
2019.01.08,313.00000000000773,-283.99999999999534,,29.000000000012392
2019.01.08,378.00000000001165,-341.99999999999784,,36.00000000001381
2019.01.08,425.99999999999307,-512.9999999999857,,-86.99999999999261
2019.01.08,375.9999999999986,-519.9999999999872,,-143.99999999998857
2019.01.08,455.0000000000054,-490.999999999997,,-35.99999999999159
