date,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,empty,sum
2016.09.19,-76.99999999999375,-35.999999999991594,-59.000000000009045,-27.999999999994696,-160.00000000000458,-7.999999999995566,-65.99999999998829,-70.0000000000145,-33.00000000000125,-59.000000000009045,-108.00000000001918,-18.999999999991246,-69.9999999999923,-121.99999999999989,,-915.0000000000049
2016.09.19,-61.99999999998429,-35.999999999991594,-25.999999999992696,-27.999999999994696,-221.00000000000452,76.00000000000762,-68.99999999998573,-72.0000000000054,45.000000000001705,-46.0000000000127,-12.000000000012001,45.000000000001705,-79.99999999999119,-135.99999999999167,,-621.9999999999554
2016.09.19,6.000000000017103,-45.000000000006146,-24.000000000001798,-82.99999999999974,-198.00000000000927,114.00000000000432,-15.999999999993797,-36.0000000000138,58.000000000006935,-80.99999999999774,-60.99999999999994,97.99999999999898,-112.99999999999643,-156.99999999999602,,-537.9999999999874
2016.09.19,80.99999999999774,-62.99999999999084,-62.000000000006494,-125.99999999999278,-146.00000000000168,233.99999999999466,74.0000000000185,48.000000000003595,156.0000000000059,-109.00000000000354,-63.000000000013046,156.0000000000059,-144.99999999999514,-198.99999999999363,,-163.99999999997087
2016.09.19,73.00000000001194,-56.99999999999594,-140.0000000000068,-235.99999999999176,-154.0000000000097,239.99999999999488,-45.99999999999049,-289.0000000000059,167.0000000000016,-340.00000000000693,-179.00000000001802,183.00000000000693,-240.99999999999122,-221.99999999999997,,-1241.0000000000016
2016.09.19,74.0000000000185,-70.99999999999883,-225.99999999999287,-261.99999999999557,-165.9999999999995,302.0000000000067,-75.99999999998718,-329.00000000000153,250.0,-371.00000000001023,-173.00000000000094,259.00000000000034,-240.99999999999122,-209.9999999999991,,-1239.9999999999513
2016.09.19,117.00000000001154,-69.00000000000794,-202.9999999999976,-261.99999999999557,-175.99999999999838,245.00000000000455,-60.99999999999994,-297.9999999999983,198.99999999999807,-418.0000000000073,-209.00000000001472,286.00000000000136,-236.99999999999832,-190.00000000000128,,-1276.0000000000039
2016.09.19,162.00000000001768,-42.0000000000087,-256.00000000001177,-288.9999999999948,-178.99999999999582,147.99999999999613,-36.999999999998145,-256.99999999999613,94.0000000000083,-456.9999999999963,-271.0000000000212,227.00000000000387,-227.99999999999488,-185.99999999999727,,-1570.999999999989
2016.09.19,229.00000000001253,-89.00000000000574,-300.99999999999574,-395.0000000000009,-163.00000000000205,167.0000000000016,17.000000000000348,-368.9999999999971,100.00000000000853,-595.0000000000122,-352.000000000019,195.99999999999795,-313.99999999999204,-234.99999999999633,,-2104.0
2016.09.19,287.9999999999994,-120.99999999999334,-441.0000000000025,-488.999999999995,-178.00000000001148,149.0000000000009,-97.9999999999981,-533.0000000000057,88.00000000000807,-737.0000000000099,-465.0000000000043,287.00000000000614,-339.0000000000004,-261.99999999999557,,-2851.0000000000014
2016.09.19,318.00000000001825,-124.99999999999733,-527.9999999999951,-503.99999999999335,-180.0000000000024,125.0,-224.99999999998633,-574.0000000000078,43.99999999999693,-757.0000000000076,-519.0000000000028,296.99999999999704,-354.9999999999942,-271.9999999999945,,-3254.9999999999695
2016.09.19,348.00000000001495,-180.0000000000024,-614.0000000000034,-586.9999999999931,-158.99999999999804,117.00000000000443,-254.999999999983,-653.999999999999,32.00000000001069,-896.000000000008,-686.0000000000089,319.0000000000026,-329.999999999997,-269.9999999999925,,-3814.999999999952
2016.09.19,373.00000000000114,-192.99999999999872,-628.9999999999907,-579.9999999999916,-175.99999999999838,126.00000000000477,-225.99999999999287,-616.0000000000165,43.99999999999693,-817.000000000001,-715.0000000000211,323.0000000000075,-313.99999999999204,-317.9999999999961,,-3717.9999999999886
2016.09.19,384.00000000000654,-157.00000000000713,-567.0000000000064,-544.9999999999955,-167.00000000000603,118.99999999999977,-215.99999999999397,-611.000000000006,45.000000000001705,-811.0000000000061,-655.0000000000056,322.00000000000273,-309.99999999999915,-285.9999999999974,,-3455.000000000012
