date,USDCHF,GBPUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,AUDJPY,NZDJPY,AUDCAD,empty,sum
2019.09.09,-139.00000000000023,-28.000000000005798,-146.00000000000168,-79.99999999999119,0.0,-143.9999999999997,-14.999999999986358,-70.99999999999883,-239.99999999999577,-82.00000000000429,-108.00000000000409,-120.99999999999511,-131.99999999999878,,-1305.999999999982
2019.09.09,-114.99999999999844,-23.00000000001745,-159.00000000002024,-37.99999999998249,6.000000000000227,-113.99999999999189,-6.9999999999765805,-120.99999999999334,-133.00000000000534,-21.00000000000435,-99.00000000000375,-121.99999999999989,-121.00000000000443,,-1066.999999999998
2019.09.09,-119.00000000000244,53.999999999998494,-188.00000000001037,-35.999999999991594,69.00000000000261,-141.99999999999767,100.99999999999909,-119.99999999998678,-49.99999999999449,-53.999999999998494,-170.99999999999227,-195.99999999999795,-140.0000000000068,,-991.9999999999786
2019.09.09,-129.9999999999968,83.9999999999952,-242.00000000000887,-43.999999999999595,114.00000000000432,-171.99999999999437,221.00000000000364,-171.99999999999437,-12.999999999996348,-52.99999999999194,-182.00000000000216,-197.9999999999933,-153.99999999999858,,-940.9999999999732
2019.09.09,-159.9999999999935,117.99999999999588,-294.0000000000165,-60.99999999999994,91.00000000000819,-168.00000000000148,261.0000000000241,-188.9999999999947,39.999999999995595,-90.99999999999665,-170.0000000000017,-203.99999999999352,-133.00000000000534,,-959.9999999999795
2019.09.09,-173.00000000000094,100.99999999999554,-290.00000000001245,-74.99999999998064,111.99999999999477,-201.99999999999108,302.0000000000209,-177.99999999998929,1.0000000000065512,-133.00000000000534,-227.00000000000387,-253.0000000000001,-134.0000000000008,,-1148.9999999999668
2019.09.09,-197.00000000000273,66.99999999999484,-292.00000000000335,-88.99999999998354,66.0000000000025,-195.00000000000074,234.00000000000887,-119.99999999998678,36.0000000000138,-133.99999999998968,-215.0000000000034,-293.99999999999693,-95.00000000000064,,-1227.999999999948
2019.09.09,-265.99999999999955,42.999999999993044,-346.0000000000019,-113.99999999999189,13.999999999995794,-166.99999999999494,248.00000000001887,-137.9999999999937,114.99999999999844,-130.0000000000079,-176.00000000000193,-281.0000000000059,-53.00000000000304,,-1250.9999999999948
2019.09.09,-261.99999999999557,58.99999999998684,-354.0000000000099,-136.99999999998712,10.000000000005116,-207.00000000000162,231.99999999999932,-113.99999999999189,100.99999999999554,-141.99999999999767,-168.99999999999693,-332.9999999999984,-57.00000000000705,,-1372.9999999999993
2019.09.09,-253.99999999999866,96.99999999999153,-415.0000000000098,-174.99999999999181,-90.00000000000341,-271.9999999999945,153.00000000002,-218.99999999999142,-19.999999999997797,-143.99999999998857,-236.99999999999477,-347.999999999999,-134.0000000000008,,-2057.999999999959
