date,USDCAD,AUDUSD,NZDUSD,empty,sum
2019.03.04,-51.000000000001044,-95.00000000000064,-108.00000000000809,,-254.00000000000978
2019.03.04,-42.0000000000087,-90.99999999999665,-55.000000000005045,,-188.0000000000104
2019.03.04,-59.99999999999339,-46.999999999997044,-16.0000000000049,,-122.99999999999534
2019.03.04,-93.99999999999409,-52.99999999999194,0.999999999995449,,-145.99999999999056
2019.03.04,-168.99999999999693,-74.99999999999174,-38.0000000000047,,-281.9999999999934
2019.03.04,-117.99999999999588,-229.00000000000142,-112.000000000001,,-458.9999999999983
2019.03.04,-102.00000000000209,-202.0000000000022,-121.99999999999989,,-426.00000000000415
2019.03.04,-110.99999999999443,-187.9999999999993,-104.99999999999955,,-403.9999999999933
2019.03.04,-133.00000000000534,-161.99999999999548,-107.00000000000153,,-402.00000000000233
2019.03.04,-173.00000000000094,-200.00000000000017,-136.00000000000279,,-509.0000000000039
2019.03.04,-180.0000000000024,-209.9999999999991,-181.00000000000892,,-571.0000000000105
2019.03.04,-163.00000000000205,-222.99999999999542,-187.00000000000384,,-573.0000000000014
2019.03.04,-121.99999999999989,-118.99999999999133,-87.99999999999919,,-328.9999999999904
2019.03.04,-60.99999999999994,-107.00000000000153,-104.99999999999955,,-273.000000000001
2019.03.04,-104.99999999999955,-151.00000000000114,-134.0000000000008,,-390.0000000000015
2019.03.04,-151.00000000001222,-149.99999999999457,-126.0000000000039,,-427.0000000000107
2019.03.04,-208.99999999999253,-141.00000000000225,-132.0000000000099,,-482.00000000000466
2019.03.04,-212.99999999999653,-129.00000000000134,-120.00000000000898,,-462.0000000000068
2019.03.04,-147.99999999999258,-168.00000000000148,-117.00000000000044,,-432.99999999999454
2019.03.04,-198.00000000000927,-209.9999999999991,-143.9999999999997,,-552.0000000000081
2019.03.04,-229.99999999999687,-224.9999999999974,-138.00000000000477,,-592.9999999999991
2019.03.04,-262.00000000000665,-273.9999999999965,-199.00000000000472,,-735.000000000008
2019.03.04,-214.00000000000307,-263.99999999999756,-168.00000000000148,,-646.000000000002
2019.03.04,-268.0000000000016,-241.00000000000233,-191.00000000000784,,-700.0000000000118
2019.03.04,-248.00000000000378,-222.99999999999542,-177.00000000000495,,-648.0000000000041
2019.03.04,-312.00000000000114,-232.99999999999432,-185.00000000000182,,-729.9999999999973
2019.03.04,-383.0,-188.9999999999947,-145.00000000000622,,-717.000000000001
2019.03.04,-483.0000000000112,-234.00000000000088,-197.00000000000273,,-914.0000000000148
2019.03.04,-466.00000000001086,-200.00000000000017,-189.00000000000583,,-855.0000000000168
2019.03.04,-435.0000000000076,-180.99999999999784,-201.00000000000674,,-817.0000000000122
2019.03.04,-445.0000000000065,-175.99999999999838,-195.00000000000074,,-816.0000000000057
2019.03.04,-398.9999999999938,-154.99999999999403,-123.00000000000644,,-676.9999999999943
2019.03.04,-346.0000000000019,-175.99999999999838,-154.0000000000097,,-676.0000000000099
2019.03.04,-351.0000000000124,-227.99999999999488,-214.00000000000307,,-793.0000000000103
2019.03.04,-385.99999999999744,-253.99999999999866,-225.00000000000853,,-865.0000000000047
