date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,GBPJPY,EURJPY,EURAUD,CADJPY,AUDJPY,AUDCAD,empty,sum
2020.09.14,-41.000000000002146,-23.00000000001745,-40.99999999999682,0.0,-35.00000000000725,-66.99999999999484,-7.000000000005002,-219.99999999999886,-132.99999999999557,-60.99999999999994,-39.00000000000148,-61.99999999999761,-137.9999999999937,,-867.0000000000107
2020.09.14,-14.999999999998348,-12.000000000012001,-6.999999999990791,-4.000000000004,-65.00000000000395,-25.00000000000835,-42.00000000000159,-240.99999999998545,-46.999999999997044,-73.99999999999629,-42.00000000000159,-75.00000000000284,-153.99999999999858,,-803.0000000000009
2020.09.14,-50.0000000000056,-71.00000000002105,-27.000000000001023,-11.00000000000545,-105.00000000001064,-28.000000000005798,-111.0000000000042,-312.9999999999882,-158.00000000000125,-73.99999999999629,-85.99999999999852,-120.99999999999511,-158.99999999999804,,-1314.0000000000312
2020.09.14,-18.0000000000069,-111.00000000001664,13.00000000000523,-7.0000000000014495,-136.00000000000279,-35.00000000000725,-126.99999999999534,-390.99999999999113,-200.00000000000284,-9.999999999998899,-69.99999999999318,-149.0000000000009,-187.00000000000384,,-1428.000000000016
2020.09.14,-14.000000000002899,-102.00000000000209,10.000000000005116,2.999999999997449,-106.00000000000608,-31.000000000003247,-112.99999999999955,-367.999999999995,-182.99999999999272,-127.99999999999478,-72.99999999999329,-122.99999999999045,-168.99999999999693,,-1396.9999999999745
2020.09.14,9.999999999998899,-49.00000000001015,34.000000000006025,-12.000000000012001,-81.00000000000884,-15.00000000000945,-126.99999999999534,-382.000000000005,-164.00000000000148,-123.00000000000644,-108.99999999999466,-118.99999999999977,-112.99999999999643,,-1250.0000000000346
2020.09.14,-1.0000000000065512,-68.00000000000139,8.000000000009777,-25.999999999992696,-91.00000000000774,-9.999999999998899,-123.00000000000466,-391.9999999999959,-170.0000000000017,-178.99999999999582,-102.99999999999443,-105.00000000000398,-124.99999999999733,,-1384.9999999999914
2020.09.14,56.0000000000005,-9.000000000014552,29.000000000010573,49.99999999999449,-24.000000000001798,-42.999999999993044,-73.99999999999807,-305.0000000000068,-123.99999999999523,-221.00000000000452,-64.99999999999773,-48.00000000000182,-87.99999999999919,,-866.0000000000072
2020.09.14,32.999999999994145,-76.0000000000094,22.00000000000557,-46.0000000000127,-49.00000000001015,-70.99999999999883,-75.9999999999934,-371.9999999999857,-176.9999999999925,-242.99999999999324,-112.99999999999955,-63.00000000000239,-63.99999999999739,,-1294.9999999999957
2020.09.14,25.999999999992696,-84.0000000000174,8.000000000009777,-95.00000000000064,-36.0000000000027,-66.00000000001049,-81.00000000000307,-395.9999999999866,-180.99999999999739,-235.99999999999176,-129.0000000000049,-51.9999999999925,-10.999999999994348,,-1332.999999999999
2020.09.14,-2.000000000002,-140.0000000000068,18.000000000000682,-212.99999999999653,-102.00000000000209,-76.0000000000094,-141.9999999999959,-572.0000000000027,-236.0000000000042,-174.00000000000747,-215.0000000000034,-121.99999999999989,9.999999999998899,,-1966.0000000000312
2020.09.14,-19.00000000000235,-142.0000000000199,-1.9999999999953388,-211.00000000000563,-94.00000000000519,-73.00000000001194,-137.00000000000045,-543.0000000000064,-236.0000000000042,-164.99999999999292,-209.00000000000318,-103.9999999999992,11.00000000000545,,-1924.0000000000414
