names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
GBPUSD,10,"['GBPUSD', 'EURGBP', 'GBPCHF']",80.0,0.5664523809523812,S
USDJPY,20,['GBPUSD'],80.0,-0.5535916305916309,B
USDCAD,20,"['USDCHF', 'CHFJPY', 'GBPCAD']",100.0,-0.8175476190476191,B
AUDUSD,30,"['AUDNZD', 'EURCHF', 'EURJPY', 'GBPUSD', 'GBPCAD', 'EURGBP']",80.0,0.2303333333333334,S
NZDUSD,20,"['EURNZD', 'EURUSD', 'GBPCAD']",100.0,0.3289999999999999,S
GBPCHF,10,"['GBPUSD', 'EURGBP', 'GBPCHF']",80.0,0.6312063492063493,S
EURCHF,20,['NZDJPY'],100.0,-0.5924564324564328,B
CHFJPY,50,"['GBPCAD', 'NZDCAD', 'GBPCHF', 'GBPUSD']",80.0,-0.2601570096570096,B
CADCHF,10,"['CHFJPY', 'AUDNZD', 'GBPAUD', 'EURCHF']",80.0,0.38,S
AUDCHF,15,"['EURGBP', 'GBPCHF', 'EURCHF', 'AUDNZD', 'NZDJPY']",100.0,-0.748,B
NZDCHF,20,"['GBPCHF', 'EURGBP', 'AUDNZD']",80.0,-0.08339049839049839,B
EURGBP,10,"['GBPUSD', 'EURGBP', 'GBPCHF']",80.0,-0.5579365079365078,B
GBPAUD,10,['USDJPY'],80.0,-1.0,B
EURJPY,10,"['AUDUSD', 'NZDUSD', 'AUDCHF', 'NZDCHF']",100.0,-0.92,B
EURCAD,10,"['CHFJPY', 'AUDNZD', 'GBPAUD', 'EURCHF']",80.0,-0.56,B
EURAUD,10,"['EURGBP', 'GBPCHF']",80.0,-0.267436507936508,B
EURNZD,30,"['GBPCHF', 'EURGBP', 'AUDNZD']",80.0,0.16773609723609728,S
CADJPY,50,"['CHFJPY', 'AUDNZD', 'GBPAUD', 'EURCHF', 'EURAUD', 'NZDJPY']",80.0,-0.4389285714285714,B
AUDJPY,20,"['CHFJPY', 'AUDNZD', 'GBPAUD', 'EURCHF', 'EURAUD']",80.0,0.4430952380952381,S
NZDJPY,10,"['NZDUSD', 'USDCHF', 'EURNZD']",80.0,0.32,S
NZDCAD,20,['USDJPY'],100.0,0.5433525363525367,S
AUDNZD,15,"['EURGBP', 'NZDCAD', 'GBPCHF', 'AUDCHF', 'GBPUSD']",100.0,0.3633333333333333,S
