date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.08.14,-142.99999999998204,-69.99999999999318,-19.999999999997797,-5.999999999994898,-15.999999999993797,-307.00000000001285,-128.000000000017,-106.99999999999932,-32.999999999994145,-48.99999999999905,-4.000000000004,-52.000000000007596,-38.0000000000047,-76.99999999999818,-31.000000000003247,-9.000000000014552,-38.0000000000047,-60.99999999999284,-30.000000000001137,-13.999999999995794,-106.00000000000608,-24.000000000001798,,-1363.0000000000189
2017.08.14,-206.99999999997942,-109.99999999999943,-18.999999999991246,-68.00000000000139,-154.99999999999403,-307.99999999999716,-129.00000000000134,-102.00000000000387,-28.999999999990145,-13.00000000000745,9.00000000000345,-60.99999999999994,86.99999999999264,-86.00000000001273,-60.99999999999994,-97.9999999999981,8.000000000008,-66.99999999999307,-78.99999999999352,-146.0000000000008,-243.00000000000432,-36.0000000000138,,-1912.9999999999782
2017.08.14,-220.99999999998232,-58.9999999999975,38.0000000000047,-53.00000000000304,-121.00000000000443,-304.00000000001535,-41.000000000002146,0.0,11.00000000000545,8.999999999992347,87.00000000000374,-17.000000000000348,249.00000000001032,-58.9999999999975,24.999999999986144,-22.999999999995246,75.00000000000284,-41.99999999998738,-128.99999999999068,-171.99999999999704,-277.000000000005,4.999999999988347,,-1018.9999999999841
2017.08.14,-193.99999999998306,-6.000000000000227,84.0000000000174,-58.000000000002494,-236.99999999999832,-295.0000000000008,-31.000000000003247,87.99999999999386,4.999999999999449,10.999999999994348,21.00000000000435,-9.00000000000345,222.00000000001108,2.999999999985903,65.00000000000395,-76.0000000000094,-79.99999999999119,-27.999999999991587,-129.99999999999545,-289.0000000000015,-404.99999999999983,-79.00000000000685,,-1417.999999999977
2017.08.14,-181.9999999999933,-15.999999999991132,78.00000000000028,-93.99999999999409,-153.00000000000313,-293.99999999999426,17.000000000000348,57.00000000000216,-22.999999999995246,7.0000000000014495,129.00000000000134,10.999999999994348,113.00000000000753,6.000000000000227,70.99999999999883,-78.00000000000028,65.00000000000395,-9.000000000000341,-137.99999999999102,-183.00000000000693,-302.0000000000023,-8.000000000008,,-925.9999999999694
2017.08.14,-152.99999999998093,-39.00000000000148,45.000000000006146,-134.99999999999625,-136.00000000000279,-326.0000000000041,61.99999999998429,24.00000000000091,-66.99999999999484,97.9999999999981,134.99999999999625,51.99999999999649,42.999999999993044,-15.00000000001478,79.99999999999119,-127.00000000001043,1.0000000000065512,-32.99999999998704,-268.0000000000007,-185.00000000000227,-268.0000000000016,-148.00000000001478,,-1360.0000000000389
2017.08.14,-195.9999999999962,55.999999999997385,36.0000000000138,-278.9999999999959,-153.00000000000313,-363.0000000000022,48.000000000003595,126.99999999999534,-71.99999999999429,166.99999999999494,121.00000000000443,20.999999999993246,-201.00000000000674,90.00000000000341,52.99999999999194,-398.00000000000944,-14.999999999987246,51.00000000000193,-478.9999999999992,-314.00000000000716,-264.0000000000087,-229.00000000001253,,-2193.000000000023
2017.08.14,-187.99999999998818,115.99999999999966,45.000000000006146,-282.0000000000045,-156.00000000000057,-381.0000000000091,51.99999999998539,164.99999999999204,-88.99999999999464,263.99999999999756,141.00000000000225,39.999999999995595,-218.00000000000708,179.00000000000205,70.99999999999883,-385.99999999999744,22.999999999995246,97.00000000000841,-491.9999999999902,-341.99999999999875,-278.00000000000045,-287.000000000015,,-1906.0000000000227
2017.08.14,-204.99999999998852,224.00000000000375,45.000000000006146,-258.0000000000027,-138.00000000000477,-452.00000000000796,122.99999999998423,185.00000000000227,-119.99999999999788,305.99999999999517,189.00000000000583,7.0000000000014495,-188.00000000001037,256.9999999999766,25.999999999992696,-398.9999999999938,29.00000000001235,172.00000000001125,-519.999999999996,-361.0000000000042,-286.00000000000847,-275.000000000003,,-1639.000000000026
2017.08.14,-228.99999999999034,210.99999999999852,63.000000000013046,-275.99999999999847,-126.0000000000039,-446.0000000000131,147.99999999999258,216.99999999999875,-83.9999999999952,276.9999999999939,167.00000000000603,20.999999999993246,-143.99999999998857,328.00000000000296,109.00000000000354,-312.00000000000114,-17.999999999984695,167.0000000000016,-516.9999999999959,-328.00000000000296,-243.99999999999977,-278.00000000000045,,-1293.9999999999704
