date,EURCAD,empty,sum
2018.09.24,14.000000000002899,,14.000000000002899
2018.09.24,-86.0000000000083,,-86.0000000000083
2018.09.24,-93.00000000000975,,-93.00000000000975
2018.09.24,-90.00000000001229,,-90.00000000001229
2018.09.24,-52.99999999999194,,-52.99999999999194
2018.09.24,-42.0000000000087,,-42.0000000000087
2018.09.24,-95.00000000000064,,-95.00000000000064
2018.09.24,-96.00000000000719,,-96.00000000000719
2018.09.24,-124.99999999999733,,-124.99999999999733
2018.09.24,-106.00000000000608,,-106.00000000000608
2018.09.24,-89.00000000000574,,-89.00000000000574
2018.09.24,-83.9999999999952,,-83.9999999999952
2018.09.24,-100.0000000000112,,-100.0000000000112
2018.09.24,-114.99999999999844,,-114.99999999999844
2018.09.24,-165.9999999999995,,-165.9999999999995
2018.09.24,-208.00000000000819,,-208.00000000000819
2018.09.24,-180.0000000000024,,-180.0000000000024
2018.09.24,-136.00000000000279,,-136.00000000000279
2018.09.24,-103.00000000000864,,-103.00000000000864
2018.09.24,-165.9999999999995,,-165.9999999999995
2018.09.24,-262.00000000000665,,-262.00000000000665
2018.09.24,-222.00000000001108,,-222.00000000001108
2018.09.24,-537.0000000000097,,-537.0000000000097
2018.09.24,-581.9999999999936,,-581.9999999999936
2018.09.24,-560.0000000000049,,-560.0000000000049
2018.09.24,-659.0000000000095,,-659.0000000000095
2018.09.24,-629.0000000000128,,-629.0000000000128
2018.09.24,-632.0000000000103,,-632.0000000000103
2018.09.24,-618.9999999999918,,-618.9999999999918
2018.09.24,-529.0000000000017,,-529.0000000000017
2018.09.24,-504.9999999999999,,-504.9999999999999
2018.09.24,-286.00000000000847,,-286.00000000000847
2018.09.24,-774.9999999999924,,-774.9999999999924
2018.09.24,-692.0000000000038,,-692.0000000000038
2018.09.24,-611.000000000006,,-611.000000000006
2018.09.24,-750.0000000000063,,-750.0000000000063
2018.09.24,-668.0000000000019,,-668.0000000000019
2018.09.24,-595.9999999999966,,-595.9999999999966
2018.09.24,-686.9999999999932,,-686.9999999999932
2018.09.24,-621.0000000000049,,-621.0000000000049
2018.09.24,-540.0000000000072,,-540.0000000000072
2018.09.24,-469.0000000000083,,-469.0000000000083
2018.09.24,-489.0000000000061,,-489.0000000000061
2018.09.24,-459.0000000000094,,-459.0000000000094
2018.09.24,-463.9999999999977,,-463.9999999999977
2018.09.24,-390.0000000000015,,-390.0000000000015
2018.09.24,-422.00000000001125,,-422.00000000001125
2018.09.24,-513.0000000000078,,-513.0000000000078
2018.09.25,-476.0000000000098,,-476.0000000000098
2018.09.25,-476.0000000000098,,-476.0000000000098
2018.09.25,-479.99999999999153,,-479.99999999999153
2018.09.25,-478.0000000000006,,-478.0000000000006
2018.09.25,-486.999999999993,,-486.999999999993
2018.09.25,-497.99999999999847,,-497.99999999999847
2018.09.25,-509.00000000000387,,-509.00000000000387
2018.09.25,-512.0000000000014,,-512.0000000000014
2018.09.25,-524.0000000000133,,-524.0000000000133
2018.09.25,-496.00000000000756,,-496.00000000000756
2018.09.25,-439.99999999999596,,-439.99999999999596
2018.09.25,-402.9999999999978,,-402.9999999999978
2018.09.25,-472.00000000000574,,-472.00000000000574
2018.09.25,-480.99999999999807,,-480.99999999999807
2018.09.25,-470.9999999999992,,-470.9999999999992
2018.09.25,-520.0000000000093,,-520.0000000000093
2018.09.25,-520.9999999999936,,-520.9999999999936
2018.09.25,-557.9999999999918,,-557.9999999999918
2018.09.25,-618.9999999999918,,-618.9999999999918
2018.09.25,-649.0000000000107,,-649.0000000000107
2018.09.25,-601.000000000007,,-601.000000000007
2018.09.25,-936.0000000000035,,-936.0000000000035
2018.09.25,-635.0000000000077,,-635.0000000000077
2018.09.25,-802.9999999999982,,-802.9999999999982
2018.09.25,-778.000000000012,,-778.000000000012
2018.09.25,-777.0000000000055,,-777.0000000000055
2018.09.25,-706.0000000000066,,-706.0000000000066
2018.09.25,-649.999999999995,,-649.999999999995
2018.09.25,-1073.9999999999973,,-1073.9999999999973
2018.09.25,-944.0000000000115,,-944.0000000000115
2018.09.25,-940.0000000000075,,-940.0000000000075
2018.09.25,-869.0000000000086,,-869.0000000000086
2018.09.25,-886.000000000009,,-886.000000000009
2018.09.25,-882.000000000005,,-882.000000000005
2018.09.25,-968.0000000000133,,-968.0000000000133
2018.09.25,-956.0000000000013,,-956.0000000000013
2018.09.25,-629.0000000000128,,-629.0000000000128
2018.09.25,-666.000000000011,,-666.000000000011
2018.09.25,-696.0000000000077,,-696.0000000000077
2018.09.25,-716.0000000000056,,-716.0000000000056
2018.09.25,-668.0000000000019,,-668.0000000000019
2018.09.25,-629.9999999999973,,-629.9999999999973
2018.09.25,-703.9999999999935,,-703.9999999999935
2018.09.25,-710.0000000000106,,-710.0000000000106
2018.09.25,-706.0000000000066,,-706.0000000000066
2018.09.25,-707.9999999999975,,-707.9999999999975
2018.09.25,-729.0000000000018,,-729.0000000000018
2018.09.25,-719.000000000003,,-719.000000000003
2018.09.26,-713.0000000000081,,-713.0000000000081
2018.09.26,-690.9999999999972,,-690.9999999999972
2018.09.26,-700.0000000000117,,-700.0000000000117
2018.09.26,-747.9999999999931,,-747.9999999999931
2018.09.26,-720.0000000000095,,-720.0000000000095
2018.09.26,-731.9999999999993,,-731.9999999999993
2018.09.26,-781.0000000000094,,-781.0000000000094
2018.09.26,-722.0000000000005,,-722.0000000000005
2018.09.26,-598.999999999994,,-598.999999999994
2018.09.26,-605.0000000000111,,-605.0000000000111
2018.09.26,-601.000000000007,,-601.000000000007
2018.09.26,-615.9999999999943,,-615.9999999999943
2018.09.26,-618.0000000000074,,-618.0000000000074
2018.09.26,-651.0000000000016,,-651.0000000000016
2018.09.26,-646.9999999999976,,-646.9999999999976
2018.09.26,-689.0000000000063,,-689.0000000000063
2018.09.26,-676.9999999999943,,-676.9999999999943
2018.09.26,-669.9999999999928,,-669.9999999999928
2018.09.26,-733.0000000000059,,-733.0000000000059
2018.09.26,-693.0000000000102,,-693.0000000000102
2018.09.26,-831.000000000004,,-831.000000000004
2018.09.26,-788.9999999999952,,-788.9999999999952
2018.09.26,-785.9999999999978,,-785.9999999999978
2018.09.26,-736.0000000000033,,-736.0000000000033
2018.09.26,-696.0000000000077,,-696.0000000000077
2018.09.26,-736.0000000000033,,-736.0000000000033
2018.09.26,-680.9999999999983,,-680.9999999999983
2018.09.26,-468.00000000000176,,-468.00000000000176
2018.09.26,-473.0000000000123,,-473.0000000000123
2018.09.26,-466.00000000001086,,-466.00000000001086
2018.09.26,-451.0000000000014,,-451.0000000000014
2018.09.26,-418.0000000000073,,-418.0000000000073
2018.09.26,-377.0000000000051,,-377.0000000000051
2018.09.26,-402.9999999999978,,-402.9999999999978
2018.09.26,-527.9999999999951,,-527.9999999999951
2018.09.26,-666.000000000011,,-666.000000000011
2018.09.26,-608.0000000000085,,-608.0000000000085
2018.09.26,-736.0000000000033,,-736.0000000000033
2018.09.26,-676.0000000000099,,-676.0000000000099
2018.09.26,-737.0000000000099,,-737.0000000000099
2018.09.26,-902.0000000000028,,-902.0000000000028
2018.09.26,-1167.0000000000068,,-1167.0000000000068
2018.09.26,-1258.0000000000036,,-1258.0000000000036
2018.09.26,-1232.000000000011,,-1232.000000000011
2018.09.26,-1164.0000000000095,,-1164.0000000000095
2018.09.26,-1161.9999999999964,,-1161.9999999999964
2018.09.26,-1156.0000000000014,,-1156.0000000000014
2018.09.26,-1117.9999999999968,,-1117.9999999999968
2018.09.27,-1300.0000000000123,,-1300.0000000000123
2018.09.27,-1476.0000000000107,,-1476.0000000000107
2018.09.27,-1434.000000000002,,-1434.000000000002
2018.09.27,-1473.0000000000132,,-1473.0000000000132
2018.09.27,-1459.9999999999945,,-1459.9999999999945
2018.09.27,-1453.9999999999998,,-1453.9999999999998
2018.09.27,-1493.000000000011,,-1493.000000000011
2018.09.27,-1469.000000000009,,-1469.000000000009
2018.09.27,-1431.0000000000045,,-1431.0000000000045
2018.09.27,-1442.9999999999943,,-1442.9999999999943
2018.09.27,-1516.0000000000061,,-1516.0000000000061
2018.09.27,-1496.9999999999927,,-1496.9999999999927
2018.09.27,-1497.9999999999993,,-1497.9999999999993
2018.09.27,-1496.0000000000084,,-1496.0000000000084
2018.09.27,-1496.0000000000084,,-1496.0000000000084
2018.09.27,-1489.000000000007,,-1489.000000000007
2018.09.27,-1140.0000000000077,,-1140.0000000000077
2018.09.27,-1012.0000000000128,,-1012.0000000000128
2018.09.27,-968.9999999999976,,-968.9999999999976
2018.09.27,-1090.9999999999975,,-1090.9999999999975
2018.09.27,-1127.0000000000114,,-1127.0000000000114
2018.09.27,-1069.0000000000089,,-1069.0000000000089
2018.09.27,-1117.9999999999968,,-1117.9999999999968
2018.09.27,-1222.000000000012,,-1222.000000000012
2018.09.27,-1248.0000000000045,,-1248.0000000000045
2018.09.27,-1160.0000000000055,,-1160.0000000000055
2018.09.27,-1297.999999999999,,-1297.999999999999
2018.09.27,-1337.0000000000105,,-1337.0000000000105
2018.09.27,-1202.9999999999984,,-1202.9999999999984
2018.09.27,-1232.9999999999952,,-1232.9999999999952
2018.09.27,-1063.9999999999982,,-1063.9999999999982
2018.09.27,-934.9999999999969,,-934.9999999999969
2018.09.27,-872.0000000000061,,-872.0000000000061
2018.09.27,-947.000000000009,,-947.000000000009
2018.09.27,-927.0000000000111,,-927.0000000000111
2018.09.27,-866.9999999999956,,-866.9999999999956
2018.09.27,-612.0000000000125,,-612.0000000000125
2018.09.27,-441.0000000000025,,-441.0000000000025
2018.09.27,-401.99999999999125,,-401.99999999999125
2018.09.27,-324.9999999999975,,-324.9999999999975
2018.09.27,-337.0000000000095,,-337.0000000000095
2018.09.27,-209.9999999999991,,-209.9999999999991
2018.09.27,-185.00000000001293,,-185.00000000001293
2018.09.27,-339.0000000000004,,-339.0000000000004
2018.09.27,-235.00000000000742,,-235.00000000000742
2018.09.27,-290.00000000001245,,-290.00000000001245
2018.09.27,-234.00000000000088,,-234.00000000000088
2018.09.27,-95.00000000000064,,-95.00000000000064
2018.09.28,-53.999999999998494,,-53.999999999998494
2018.09.28,-15.999999999993797,,-15.999999999993797
2018.09.28,14.999999999987246,,14.999999999987246
2018.09.28,60.99999999999994,,60.99999999999994
2018.09.28,25.999999999992696,,25.999999999992696
2018.09.28,4.999999999988347,,4.999999999988347
2018.09.28,-65.00000000000395,,-65.00000000000395
2018.09.28,-53.999999999998494,,-53.999999999998494
2018.09.28,-52.000000000007596,,-52.000000000007596
2018.09.28,-4.000000000004,,-4.000000000004
2018.09.28,4.999999999988347,,4.999999999988347
2018.09.28,-9.999999999998899,,-9.999999999998899
2018.09.28,-22.999999999995246,,-22.999999999995246
2018.09.28,-15.999999999993797,,-15.999999999993797
2018.09.28,-5.000000000010552,,-5.000000000010552
2018.09.28,-24.000000000001798,,-24.000000000001798
2018.09.28,69.00000000000794,,69.00000000000794
2018.09.28,-8.999999999992347,,-8.999999999992347
2018.09.28,184.99999999999073,,184.99999999999073
2018.09.28,212.99999999999653,,212.99999999999653
2018.09.28,425.99999999999307,,425.99999999999307
2018.09.28,512.0000000000014,,512.0000000000014
2018.09.28,487.99999999999955,,487.99999999999955
2018.09.28,531.9999999999991,,531.9999999999991
2018.09.28,726.0000000000044,,726.0000000000044
2018.09.28,730.0000000000084,,730.0000000000084
2018.09.28,859.9999999999941,,859.9999999999941
2018.09.28,950.9999999999908,,950.9999999999908
2018.09.28,970.9999999999885,,970.9999999999885
2018.09.28,963.999999999987,,963.999999999987
2018.09.28,1346.0000000000027,,1346.0000000000027
2018.09.28,1336.9999999999882,,1336.9999999999882
2018.09.28,1404.0000000000052,,1404.0000000000052
2018.09.28,1570.999999999989,,1570.999999999989
2018.09.28,1402.9999999999986,,1402.9999999999986
2018.09.28,1557.0000000000084,,1557.0000000000084
2018.09.28,1499.000000000006,,1499.000000000006
2018.09.28,1500.9999999999968,,1500.9999999999968
2018.09.28,1482.99999999999,,1482.99999999999
2018.09.28,1417.0000000000016,,1417.0000000000016
2018.09.28,1463.9999999999986,,1463.9999999999986
2018.09.28,1580.999999999988,,1580.999999999988
2018.09.28,1580.0000000000036,,1580.0000000000036
2018.09.28,1679.0000000000082,,1679.0000000000082
2018.09.28,1541.9999999999989,,1541.9999999999989
2018.09.28,1726.0000000000052,,1726.0000000000052
2018.09.28,1611.0000000000068,,1611.0000000000068
2018.09.28,1924.9999999999989,,1924.9999999999989
