date,AUDUSD,CHFJPY,EURJPY,empty,sum
2017.09.18,-6.0000000000060005,-39.00000000000148,-135.99999999999568,,-181.00000000000315
2017.09.18,-24.000000000001798,-96.00000000000364,-259.9999999999909,,-379.99999999999636
2017.09.18,-95.00000000000064,-227.00000000000387,-330.0000000000125,,-652.000000000017
2017.09.18,-90.99999999999665,-210.00000000000796,-301.9999999999925,,-602.999999999997
2017.09.18,-92.00000000000318,-195.0000000000074,-299.0000000000066,,-586.0000000000172
2017.09.18,-77.00000000000485,-240.0000000000091,-343.9999999999941,,-661.000000000008
2017.09.18,-70.0000000000034,-243.99999999999977,-338.99999999999864,,-653.0000000000018
2017.09.18,-77.00000000000485,-301.00000000000193,-432.00000000001637,,-810.0000000000232
2017.09.18,-180.0000000000024,-302.0000000000067,-475.9999999999991,,-958.0000000000082
2017.09.18,-250.00000000000577,-334.0000000000032,-473.0000000000132,,-1057.0000000000223
2017.09.18,-395.99999999999636,-358.0000000000041,-515.9999999999911,,-1269.9999999999916
2017.09.18,-365.99999999999966,-308.9999999999975,-474.9999999999943,,-1149.9999999999914
2017.09.18,-329.00000000000153,-269.00000000000546,-450.9999999999934,,-1049.0000000000005
2017.09.18,-329.999999999997,-271.0000000000008,-451.9999999999982,,-1052.999999999996
2017.09.18,-345.0000000000064,-278.0000000000058,-373.9999999999952,,-997.0000000000075
2017.09.18,-299.00000000000483,-279.0000000000106,-370.00000000000455,,-948.00000000002
2017.09.18,-312.00000000000114,-216.99999999999875,-372.99999999999045,,-901.9999999999903
2017.09.18,-331.999999999999,-254.0000000000049,-383.0000000000098,,-969.0000000000136
2017.09.18,-340.00000000000693,-296.0000000000065,-539.999999999992,,-1176.0000000000055
2017.09.18,-287.9999999999994,-389.00000000001,-706.0000000000173,,-1383.0000000000266
2017.09.18,-239.0000000000003,-400.0000000000057,-695.999999999998,,-1335.000000000004
2017.09.18,-156.00000000000057,-499.00000000000944,-456.99999999999363,,-1112.0000000000036
2017.09.18,-145.00000000000622,-496.9999999999999,-485.99999999999,,-1127.9999999999961
2017.09.18,-173.00000000000094,-484.00000000000887,-545.0000000000159,,-1202.0000000000257
