date,AUDUSD,CHFJPY,EURJPY,empty,sum
2017.09.18,-4.000000000004,15.000000000000568,-91.00000000000819,,-80.00000000001162
2017.09.18,0.999999999995449,-64.99999999999773,-217.9999999999893,,-281.9999999999916
2017.09.18,-90.99999999999665,-192.00000000000728,-292.0000000000016,,-575.0000000000055
2017.09.18,-29.000000000001247,-115.99999999999966,-191.0000000000025,,-336.0000000000034
2017.09.18,-75.00000000000284,-167.0000000000016,-247.99999999999045,,-489.9999999999949
2017.09.18,0.0,-186.9999999999976,-308.9999999999975,,-495.9999999999951
2017.09.18,-60.00000000000449,-243.0000000000092,-334.0000000000032,,-637.0000000000168
2017.09.18,-73.00000000000084,-245.00000000000455,-431.0000000000116,,-749.000000000017
2017.09.18,-179.00000000000693,-282.0000000000107,-466.0000000000082,,-927.0000000000258
2017.09.18,-224.000000000002,-290.00000000000625,-447.00000000000273,,-961.0000000000109
2017.09.18,-353.99999999999875,-293.99999999999693,-468.9999999999941,,-1116.9999999999898
2017.09.18,-309.99999999999915,-237.99999999999955,-427.99999999999727,,-975.9999999999959
2017.09.18,-319.0000000000026,-221.00000000000364,-447.00000000000273,,-987.000000000009
2017.09.18,-324.9999999999975,-265.00000000000057,-361.99999999999477,,-951.9999999999928
2017.09.18,-297.9999999999983,-275.0000000000057,-365.0000000000091,,-938.0000000000131
2017.09.18,-287.9999999999994,-150.00000000000568,-331.0000000000173,,-769.0000000000223
2017.09.18,-275.000000000003,-156.0000000000059,-311.00000000000705,,-742.0000000000159
2017.09.18,-312.00000000000114,-234.00000000000887,-376.0000000000048,,-922.0000000000148
2017.09.18,-275.99999999999847,-263.00000000000523,-496.0000000000093,,-1035.000000000013
2017.09.18,-236.00000000000287,-359.00000000000887,-646.9999999999914,,-1242.0000000000032
2017.09.18,-148.0000000000037,-284.000000000006,-323.0000000000075,,-755.0000000000173
2017.09.18,-82.99999999999974,-492.00000000000443,-448.0000000000075,,-1023.0000000000117
2017.09.18,-101.00000000000664,-445.0000000000074,-432.00000000001637,,-978.0000000000304
2017.09.18,-133.00000000000534,-466.0000000000082,-512.0000000000005,,-1111.000000000014
2017.09.18,-121.00000000000443,-521.0000000000008,-587.0000000000175,,-1229.0000000000227
2017.09.18,-151.9999999999966,-487.000000000009,-576.9999999999982,,-1216.0000000000036
2017.09.18,-82.00000000000429,-394.00000000000546,-469.99999999999886,,-946.0000000000086
2017.09.18,-102.00000000000209,-510.0000000000051,-592.9999999999893,,-1204.9999999999964
2017.09.18,-29.000000000001247,-448.0000000000075,-592.9999999999893,,-1069.9999999999982
2017.09.18,36.999999999998145,-498.00000000000466,-604.0000000000134,,-1065.00000000002
2017.09.18,19.999999999997797,-618.9999999999998,-746.0000000000093,,-1345.0000000000114
