date,USDCHF,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2018.07.30,-34.000000000000696,-18.000000000000682,0.0,-58.99999999999794,-202.9999999999976,-110.99999999999443,-100.00000000000009,-115.99999999999389,-98.00000000001319,-175.99999999999838,-96.99999999999153,-82.99999999998863,-81.9999999999821,-19.000000000005457,-60.99999999999284,-27.000000000001023,-7.9999999999968985,-94.00000000000519,,-1385.9999999999602
2018.07.30,39.00000000000014,-1.0000000000047748,75.00000000000284,-29.999999999996696,-97.9999999999981,-45.99999999999049,-61.999999999995396,-90.0000000000012,-55.00000000000682,-136.00000000000279,-121.99999999999989,-24.000000000001798,-18.999999999991246,-28.999999999996362,-52.99999999999727,10.99999999999568,55.000000000005045,-112.000000000001,,-696.9999999999802
2018.07.30,87.00000000000374,9.999999999990905,86.99999999999264,-42.999999999993044,-123.99999999999079,-56.0000000000005,-75.00000000000284,-110.99999999999443,-75.00000000001705,-78.00000000000028,-147.99999999999258,-14.000000000002899,8.000000000008,-36.000000000001364,-90.99999999999397,43.99999999999693,86.0000000000083,-123.00000000000644,,-651.9999999999957
2018.07.30,75.00000000000284,18.999999999991246,112.000000000001,-34.99999999999615,-117.00000000001154,-39.999999999995595,-70.99999999999883,-117.00000000000044,-67.00000000000728,-141.99999999999767,-160.00000000000458,17.000000000000348,8.000000000008,-22.00000000000557,-81.99999999999363,63.00000000000239,81.00000000000884,-134.0000000000008,,-611.9999999999975
2018.07.30,74.00000000000739,11.999999999986244,109.00000000000354,-44.99999999999504,-112.000000000001,-28.999999999990145,-65.00000000000395,-117.00000000000044,-66.0000000000025,-134.00000000001188,-158.99999999999804,4.000000000004,-22.999999999995246,-6.000000000000227,-70.99999999999795,54.000000000002046,82.00000000000429,-156.00000000000057,,-647.9999999999895
2018.07.30,77.00000000000485,-23.000000000010346,120.00000000000898,-37.99999999999359,-120.99999999999334,-31.999999999998696,-65.00000000000395,-107.99999999999699,-63.0000000000166,-214.00000000000307,-181.00000000000892,12.999999999996348,30.0000000000189,-3.0000000000001137,-72.00000000000273,19.99999999999602,60.99999999999994,-136.00000000000279,,-735.0000000000059
2018.07.30,78.00000000000028,-40.00000000000625,113.99999999999189,-36.999999999998145,-137.9999999999937,-34.000000000000696,-63.00000000000195,-124.00000000000189,-75.9999999999934,-209.9999999999991,-181.00000000000892,35.999999999991594,12.000000000012001,1.0000000000047748,-51.9999999999925,21.000000000000796,64.0000000000085,-153.99999999999858,,-782.9999999999852
2018.07.30,63.00000000000195,-43.00000000000637,104.99999999999955,-42.999999999993044,-158.99999999999804,-56.0000000000005,-70.0000000000034,-142.99999999999312,-171.99999999999704,-263.00000000001324,-235.99999999999176,45.000000000006146,-2.999999999997449,-64.00000000000716,-90.99999999999397,37.9999999999967,36.0000000000027,-170.00000000000347,,-1225.9999999999916
2018.07.30,106.00000000000608,70.99999999999795,137.00000000000932,-56.99999999999594,-146.00000000000168,-39.999999999995595,-102.00000000000209,-161.00000000000003,-207.9999999999984,-265.0000000000041,-207.00000000000162,-2.999999999997449,-45.99999999999049,-81.00000000000307,-114.99999999999488,114.00000000000432,50.0000000000056,-192.00000000000327,,-1144.9999999999654
2018.07.30,114.99999999999844,75.9999999999934,124.99999999999733,-63.00000000000195,-148.99999999999915,-50.99999999998994,-110.99999999999443,-197.99999999999818,-132.000000000005,-285.00000000000193,-235.00000000000742,-14.000000000002899,-120.99999999999334,-43.99999999999693,-132.99999999999557,73.99999999999807,20.0000000000089,-229.00000000000142,,-1354.9999999999916
2018.07.30,134.0000000000008,120.99999999999511,197.00000000000273,19.00000000000235,-191.00000000000784,-47.9999999999925,-53.999999999998494,-187.9999999999993,-222.0000000000084,-272.00000000000557,-256.99999999999613,127.00000000001043,-88.99999999998354,-67.99999999999784,-93.00000000000352,132.000000000005,48.000000000003595,-246.99999999999721,,-950.9999999999702
2018.07.30,177.00000000000495,144.99999999999602,215.99999999999397,55.000000000005045,-180.0000000000024,-41.9999999999976,-39.999999999995595,-201.99999999999108,-189.99999999999773,-319.0000000000026,-245.0000000000063,171.00000000001003,-119.99999999998678,-49.99999999999716,-66.0000000000025,144.99999999999602,23.00000000000635,-241.99999999999778,,-763.9999999999652
2018.07.30,156.00000000000057,143.99999999999125,243.99999999999977,91.00000000000774,-174.00000000000747,-27.999999999994696,-16.0000000000049,-181.9999999999933,-195.99999999999795,-395.99999999999636,-246.00000000001288,205.99999999999508,-86.99999999999264,-49.000000000006594,-21.99999999999136,126.99999999999534,0.0,-228.00000000000597,,-656.0000000000143
2018.07.30,156.00000000000057,156.99999999999648,239.99999999999577,78.00000000000028,-171.00000000001003,-32.999999999994145,-2.000000000002,-156.00000000000057,-187.00000000001182,-361.9999999999957,-242.00000000000887,200.00000000000017,-17.000000000000348,-42.00000000000159,-40.99999999999682,126.00000000000477,3.0000000000085514,-194.0000000000053,,-487.00000000002046
2018.07.30,157.00000000000713,149.99999999999147,238.0000000000049,80.00000000000229,-157.99999999999147,-22.999999999995246,-4.000000000004,-139.00000000000023,-225.9999999999991,-336.00000000000296,-239.00000000001143,202.9999999999976,9.999999999998899,-61.00000000000705,-57.999999999992724,126.99999999999534,25.00000000000835,-185.99999999999727,,-439.9999999999954
2018.07.30,145.00000000000622,114.99999999999488,214.00000000000307,51.000000000001044,-157.00000000000713,-18.999999999991246,-21.999999999999797,-149.99999999999457,-161.00000000000136,-304.9999999999997,-242.00000000000887,168.0000000000126,-20.999999999982144,-34.99999999999659,-34.99999999999659,108.00000000000409,29.000000000001247,-204.00000000000418,,-520.9999999999591
2018.07.30,114.99999999999844,88.99999999999864,175.99999999999838,36.0000000000027,-168.0000000000126,-26.999999999999247,-21.999999999999797,-179.99999999999127,-197.00000000000273,-339.0000000000004,-253.99999999999866,177.00000000000495,-71.99999999998319,-49.000000000006594,-66.99999999999307,117.00000000000443,19.00000000000235,-231.99999999999886,,-877.9999999999765
