,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,USDCHF,10,"['USDCHF', 'EURJPY', 'AUDNZD', 'EURUSD']",80.0,-0.1276,S
1,1,GBPUSD,20,"['NZDCAD', 'NZDCHF', 'EURNZD', 'NZDJPY', 'EURJPY']",80.0,0.33567343462093396,B
2,2,EURUSD,10,"['USDCHF', 'EURJPY', 'AUDNZD', 'EURUSD']",80.0,0.1312,B
3,3,USDJPY,15,"['USDCHF', 'EURUSD', 'AUDCHF', 'AUDCAD']",100.0,-0.9301,S
4,4,USDCAD,15,['EURGBP'],80.0,0.2517055699855748,B
5,5,NZDUSD,15,['EURNZD'],100.0,1.0,B
6,6,GBPCHF,10,"['USDCHF', 'EURUSD', 'USDCAD']",80.0,0.5493170634920588,B
7,7,EURCHF,10,['USDJPY'],100.0,-0.4870132142857245,S
8,8,CHFJPY,20,"['EURNZD', 'EURCAD']",100.0,0.9998469696969698,B
9,9,CADCHF,10,"['GBPUSD', 'GBPJPY']",80.0,0.5518311904761903,B
10,10,EURGBP,10,"['EURCAD', 'EURCHF']",100.0,0.7161931746031723,B
11,11,GBPJPY,15,"['NZDCAD', 'NZDCHF', 'AUDCAD', 'EURNZD', 'EURAUD', 'AUDCHF', 'GBPCHF']",100.0,0.9238,B
12,12,GBPCAD,20,"['USDCAD', 'CADJPY', 'GBPJPY']",80.0,-0.7496458585858431,S
13,13,GBPAUD,15,"['CHFJPY', 'EURGBP']",80.0,0.7181286186036032,B
14,14,EURJPY,10,"['EURNZD', 'EURAUD']",100.0,0.7445913095237587,B
15,15,EURCAD,10,['USDJPY'],80.0,-0.9898600000000007,S
16,16,EURAUD,10,['GBPCHF'],80.0,0.2941456349206323,B
17,17,EURNZD,10,['GBPCHF'],80.0,0.2953789682539653,B
18,18,AUDJPY,10,['AUDUSD'],100.0,1.0,B
19,19,NZDJPY,10,"['GBPUSD', 'GBPJPY']",80.0,0.5505339285714292,B
