date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.05.25,-66.99999999999484,-56.99999999999594,-36.999999999998145,-46.00000000000648,-55.000000000005045,-21.999999999999797,-123.00000000000644,-12.999999999996348,-81.00000000001728,-53.00000000000304,-14.999999999998348,-177.99999999999727,-205.00000000001074,-136.99999999998712,-40.99999999999682,-90.99999999999665,-132.00000000002098,-60.000000000015596,-40.00000000000625,-109.99999999999943,0.0,-110.99999999999443,-12.999999999996348,-79.00000000000685,,-1766.00000000005
2015.05.25,-204.99999999999963,-184.00000000000637,31.000000000003247,-75.00000000000284,-191.00000000000784,-104.99999999999955,-198.00000000000927,-263.99999999999756,-224.99999999999432,-85.00000000000173,-70.99999999999883,-222.0000000000084,-273.9999999999965,-310.9999999999946,-407.99999999998704,-383.99999999998437,-285.00000000000193,-127.00000000001043,-53.00000000001148,-52.99999999999727,-75.00000000000284,-61.999999999995396,-42.999999999993044,-90.99999999999665,,-3959.9999999999945
2015.05.25,-173.9999999999964,-163.00000000000205,34.99999999998504,-105.99999999999454,-196.0000000000184,-143.9999999999997,-177.00000000000495,-235.00000000000742,-121.00000000000932,-43.999999999999595,-79.00000000000685,-189.99999999999773,-295.0000000000008,-346.9999999999862,-281.99999999998226,-164.99999999999292,-182.0000000000155,-179.00000000001802,-77.00000000001239,-70.99999999999795,-101.0000000000133,-59.99999999999339,-64.99999999999284,-160.00000000000458,,-3578.000000000062
2015.05.25,-59.99999999999339,28.999999999990145,10.999999999983245,-67.00000000000728,-14.000000000002899,-62.000000000006494,-133.99999999998968,-90.99999999999665,1.999999999981128,-57.00000000000705,-48.99999999999905,-224.00000000001796,-208.00000000000819,-232.99999999999432,-51.9999999999925,-93.99999999999409,-143.00000000000423,-185.00000000001293,-103.9999999999992,-110.99999999999,-34.000000000006025,-101.99999999999099,-72.99999999998974,-164.00000000000858,,-2219.0000000000564
2015.05.25,-37.99999999999359,62.99999999999084,-35.00000000000725,-34.99999999999659,-40.0000000000178,-29.999999999996696,-140.0000000000068,-86.0000000000083,-13.00000000000523,-24.000000000001798,-45.000000000006146,-217.00000000001296,-265.0000000000041,-371.99999999999454,-33.999999999991815,-69.9999999999923,-38.0000000000047,-142.0000000000199,-61.00000000000705,-33.999999999991815,-6.000000000000227,-40.99999999999105,-19.999999999997797,-82.00000000000429,,-1805.0000000000618
2015.05.25,-73.00000000000084,-58.000000000002494,17.999999999984695,-85.99999999999852,-131.99999999999878,-121.99999999999989,-104.99999999999955,-160.00000000000458,6.000000000000227,0.0,-90.0000000000012,-194.99999999999318,-276.00000000000955,-452.99999999999227,-147.99999999999613,-134.99999999999625,-1.0000000000065512,-179.00000000001802,-39.00000000000148,20.000000000010232,-87.0000000000033,-4.999999999999449,-62.99999999999084,-76.99999999999375,,-2440.000000000011
2015.05.25,-124.00000000000189,-65.00000000000395,44.99999999998394,-248.99999999999523,-128.000000000017,-148.0000000000037,-181.00000000000892,-143.00000000000423,10.99999999999568,-51.000000000001044,-87.00000000000374,-412.00000000000614,-270.99999999999903,-513.9999999999923,-108.99999999998045,-210.99999999998343,-26.999999999999247,-188.00000000001037,-169.00000000001114,-20.999999999986585,-83.00000000001262,43.00000000000415,-97.9999999999981,-103.00000000000864,,-3283.0000000000437
2015.05.25,-212.00000000000108,-124.00000000001299,204.00000000000418,-284.000000000006,-192.99999999999872,-182.00000000000438,-235.99999999999176,-185.99999999999727,16.999999999995907,-77.00000000000485,-128.00000000000588,-396.000000000015,-286.99999999999284,-542.9999999999824,-138.99999999998158,-234.99999999998522,-101.00000000001774,-178.00000000001148,-154.00000000001057,-41.99999999998738,-84.00000000000318,43.999999999999595,-142.99999999999312,-119.00000000000244,,-3778.000000000006
2015.05.25,-147.99999999999258,-97.9999999999981,197.00000000000273,-245.00000000000455,-147.00000000000824,-173.00000000000094,-143.99999999998857,-178.99999999999582,68.9999999999884,-53.00000000000304,-96.00000000000719,-385.0000000000193,-276.9999999999939,-492.9999999999879,-152.9999999999916,-246.99999999999721,-143.00000000000423,-117.00000000001154,-151.00000000001046,-42.999999999992156,-59.00000000001171,26.999999999999247,-123.99999999999079,-117.99999999999588,,-3300.000000000016
2015.05.25,-124.99999999999733,-63.000000000013046,218.99999999999142,-227.00000000000387,-107.00000000001265,-138.00000000000477,-160.99999999998892,-171.99999999999437,99.99999999999432,-53.00000000000304,-63.99999999999739,-368.9999999999998,-248.00000000000378,-424.99999999998647,-114.00000000000432,-266.999999999995,-176.00000000002058,-39.00000000001125,-151.00000000001046,-69.99999999999318,0.999999999990564,2.000000000002,-80.99999999999774,-130.0000000000079,,-2858.0000000000678
