date,CHFJPY,EURJPY,empty,sum
2017.08.07,-19.99999999999602,-3.0000000000143245,,-23.000000000010346
2017.08.07,-70.99999999999795,-84.00000000000318,,-155.00000000000114
2017.08.07,-168.99999999999693,-201.99999999999818,,-370.9999999999951
2017.08.07,-173.00000000000182,-270.00000000001023,,-443.00000000001205
2017.08.07,-212.0000000000033,-270.00000000001023,,-482.00000000001353
2017.08.07,-194.99999999999318,-254.0000000000191,,-449.0000000000123
2017.08.07,-195.99999999999795,-254.0000000000191,,-450.00000000001705
2017.08.07,-176.00000000000193,-275.0000000000057,,-451.0000000000076
2017.08.07,-165.99999999999682,-243.99999999999977,,-409.9999999999966
2017.08.07,-179.00000000000205,-216.00000000000819,,-395.00000000001023
2017.08.07,-174.99999999999716,-241.00000000001387,,-416.000000000011
2017.08.07,-192.99999999999784,-261.0000000000241,,-454.00000000002194
2017.08.07,-185.00000000000227,-273.00000000002456,,-458.00000000002683
2017.08.07,-212.99999999999386,-277.00000000001523,,-490.0000000000091
2017.08.07,-198.99999999999807,-274.0000000000009,,-472.999999999999
2017.08.07,-135.99999999999568,-241.00000000001387,,-377.00000000000955
2017.08.07,-138.00000000000523,-248.00000000001887,,-386.0000000000241
2017.08.07,-153.0000000000058,-233.0000000000041,,-386.0000000000099
2017.08.07,-146.0000000000008,-189.00000000002137,,-335.00000000002217
2017.08.07,-147.00000000000557,-213.00000000002228,,-360.00000000002785
2017.08.07,-117.999999999995,-213.00000000002228,,-331.0000000000173
2017.08.07,-111.0000000000042,-523.0000000000246,,-634.0000000000288
2017.08.07,-221.00000000000364,-515.0000000000148,,-736.0000000000184
2017.08.07,-246.9999999999999,-475.00000000002274,,-722.0000000000226
2017.08.07,-240.99999999999966,-463.99999999999864,,-704.9999999999983
2017.08.07,-227.99999999999443,-481.9999999999993,,-709.9999999999937
2017.08.07,-236.0000000000042,-479.0000000000134,,-715.0000000000176
2017.08.07,-260.0000000000051,-481.00000000002296,,-741.0000000000281
2017.08.07,-260.9999999999957,-456.0000000000173,,-717.000000000013
2017.08.07,-209.99999999999375,-468.00000000001774,,-678.0000000000115
2017.08.07,-186.9999999999976,-485.00000000001364,,-672.0000000000113
2017.08.07,-194.99999999999318,-392.00000000002433,,-587.0000000000175
2017.08.07,-262.00000000000045,-400.0000000000057,,-662.0000000000061
2017.08.07,-248.99999999999523,-367.00000000001864,,-616.0000000000139
2017.08.07,-185.99999999999284,-314.9999999999977,,-500.99999999999056
2017.08.07,-216.99999999999875,-380.0000000000239,,-597.0000000000226
2017.08.07,-239.99999999999488,-413.0000000000109,,-653.0000000000058
2017.08.07,-170.0000000000017,-298.0000000000018,,-468.0000000000035
2017.08.07,-112.99999999999955,-265.0000000000148,,-378.0000000000143
2017.08.07,-99.99999999999432,-249.00000000002365,,-349.00000000001796
2017.08.07,-28.000000000005798,-249.00000000002365,,-277.00000000002944
2017.08.07,-25.000000000005684,-245.00000000000455,,-270.00000000001023
2017.08.07,-3.0000000000001137,-229.00000000001342,,-232.00000000001353
2017.08.07,-30.000000000001137,-265.0000000000148,,-295.0000000000159
2017.08.07,-21.000000000000796,-265.0000000000148,,-286.0000000000156
2017.08.07,-3.0000000000001137,-265.0000000000148,,-268.0000000000149
2017.08.07,-36.000000000001364,-275.0000000000057,,-311.00000000000705
2017.08.07,-34.000000000006025,-296.0000000000207,,-330.0000000000267
2017.08.08,-88.99999999999864,-311.00000000000705,,-400.0000000000057
2017.08.08,-87.0000000000033,-342.00000000001296,,-429.00000000001626
2017.08.08,-75.9999999999934,-365.0000000000091,,-441.0000000000025
2017.08.08,-58.000000000006935,-344.99999999999886,,-403.0000000000058
2017.08.08,-33.00000000000125,-331.0000000000173,,-364.00000000001853
2017.08.08,-37.00000000000614,-362.99999999999955,,-400.0000000000057
2017.08.08,-39.00000000000148,-403.00000000002,,-442.0000000000215
2017.08.08,-37.9999999999967,-393.0000000000007,,-430.9999999999974
2017.08.08,-60.99999999999284,-435.0000000000023,,-495.9999999999951
2017.08.08,-70.99999999999795,-478.00000000000864,,-549.0000000000066
2017.08.08,16.000000000005343,-399.0000000000009,,-382.99999999999557
2017.08.08,34.99999999999659,-371.0000000000093,,-336.00000000001273
2017.08.08,60.000000000002274,-338.0000000000223,,-278.00000000002
2017.08.08,58.9999999999975,-338.99999999999864,,-280.00000000000114
2017.08.08,49.99999999999716,-361.0000000000184,,-311.00000000002126
2017.08.08,75.9999999999934,-319.0000000000168,,-243.00000000002342
