,names,week,needed_features,accuracy
0,USDCHF,30,"['USDJPY', 'NZDCAD', 'AUDCAD', 'AUDUSD']",100.0
1,GBPUSD,10,['USDJPY'],100.0
2,EURUSD,15,"['USDJPY', 'NZDCAD', 'AUDCAD', 'AUDUSD']",80.0
3,AUDUSD,15,['USDCAD'],80.0
4,NZDUSD,15,"['EURGBP', 'GBPCHF', 'AUDCHF', 'EURAUD', 'USDCAD']",80.0
5,EURCHF,10,"['NZDUSD', 'NZDJPY']",80.0
6,CHFJPY,10,['GBPUSD'],80.0
7,AUDCHF,10,"['NZDCHF', 'AUDJPY']",80.0
8,GBPJPY,15,"['USDJPY', 'NZDCAD', 'AUDCAD', 'AUDUSD']",80.0
9,EURJPY,10,['GBPUSD'],80.0
10,EURAUD,10,"['NZDCHF', 'AUDJPY']",80.0
11,EURNZD,30,"['EURAUD', 'AUDCHF', 'AUDJPY', 'NZDCHF', 'NZDCAD', 'AUDCAD', 'AUDUSD', 'EURNZD', 'USDCAD', 'NZDJPY', 'CADJPY']",100.0
12,NZDJPY,15,"['USDCAD', 'EURNZD', 'EURGBP', 'NZDUSD', 'AUDJPY', 'NZDCHF']",80.0
13,AUDCAD,15,['USDCAD'],80.0
14,NZDCAD,15,['USDCAD'],80.0
15,AUDNZD,20,"['GBPCHF', 'EURGBP', 'GBPUSD', 'NZDUSD', 'GBPCAD', 'EURNZD']",100.0
