date,AUDUSD,EURCHF,CHFJPY,NZDCHF,EURJPY,empty,sum
2017.08.07,-41.000000000002146,-118.00000000001809,-19.99999999999602,-82.00000000000429,-3.0000000000143245,,-264.0000000000349
2017.08.07,-125.99999999999278,-38.0000000000047,-70.99999999999795,-114.99999999999844,-84.00000000000318,,-433.99999999999704
2017.08.07,-173.9999999999964,22.999999999995246,-168.99999999999693,-139.99999999999568,-201.99999999999818,,-661.9999999999919
2017.08.07,-210.99999999999451,85.99999999998609,-173.00000000000182,-168.99999999999693,-270.00000000001023,,-737.0000000000174
2017.08.07,-232.99999999999432,91.99999999998099,-212.0000000000033,-170.00000000000347,-270.00000000001023,,-793.0000000000302
2017.08.07,-217.0000000000005,60.99999999999994,-194.99999999999318,-151.00000000000114,-254.0000000000191,,-756.000000000014
2017.08.07,-202.0000000000022,45.99999999999049,-195.99999999999795,-128.00000000000588,-254.0000000000191,,-734.0000000000347
2017.08.07,-249.99999999999466,129.00000000000134,-176.00000000000193,-189.00000000000583,-275.0000000000057,,-761.0000000000067
2017.08.07,-331.999999999999,106.99999999999044,-165.99999999999682,-166.99999999999494,-243.99999999999977,,-802.0
2017.08.07,-285.9999999999974,73.99999999999629,-179.00000000000205,-104.99999999999955,-216.00000000000819,,-712.0000000000109
2017.08.07,-303.9999999999932,97.9999999999981,-174.99999999999716,-78.00000000000028,-241.00000000001387,,-700.0000000000064
2017.08.07,-290.9999999999968,105.99999999998388,-192.99999999999784,-65.00000000000395,-261.0000000000241,,-704.0000000000389
2017.08.07,-282.99999999999994,95.999999999985,-185.00000000000227,-46.00000000000159,-273.00000000002456,,-691.0000000000434
2017.08.07,-291.99999999999227,95.00000000000064,-212.99999999999386,14.999999999998348,-277.00000000001523,,-672.0000000000024
2017.08.07,-290.9999999999968,112.99999999998533,-198.99999999999807,-4.999999999999449,-274.0000000000009,,-656.0000000000099
2017.08.07,-270.99999999999903,148.99999999999915,-135.99999999999568,-12.000000000000899,-241.00000000001387,,-511.00000000001035
2017.08.07,-248.99999999999923,151.9999999999966,-138.00000000000523,7.0000000000014495,-248.00000000001887,,-476.0000000000253
2017.08.07,-243.99999999999977,83.9999999999952,-153.0000000000058,-2.000000000002,-233.0000000000041,,-548.0000000000164
2017.08.07,-239.99999999999577,71.99999999998319,-146.0000000000008,-0.999999999995449,-189.00000000002137,,-504.0000000000302
2017.08.07,-210.99999999999451,95.00000000000064,-147.00000000000557,4.999999999999449,-213.00000000002228,,-471.0000000000223
2017.08.07,-131.99999999999878,97.9999999999981,-117.999999999995,90.99999999999665,-213.00000000002228,,-274.0000000000213
2017.08.07,-134.0000000000008,291.9999999999812,-111.0000000000042,56.0000000000005,-523.0000000000246,,-420.00000000004786
2017.08.07,-134.99999999999625,230.9999999999812,-221.00000000000364,161.99999999999548,-515.0000000000148,,-478.00000000003797
2017.08.07,-80.99999999999774,214.00000000000307,-246.9999999999999,271.9999999999945,-475.00000000002274,,-317.0000000000228
2017.08.07,-41.9999999999976,209.9999999999991,-240.99999999999966,302.0000000000023,-463.99999999999864,,-234.99999999999454
2017.08.07,-2.999999999997449,186.99999999998164,-227.99999999999443,270.0000000000036,-481.9999999999993,,-256.00000000000597
2017.08.07,41.000000000002146,259.9999999999936,-236.0000000000042,280.9999999999979,-479.0000000000134,,-133.000000000024
2017.08.07,24.999999999997247,209.9999999999991,-260.0000000000051,326.0000000000041,-481.00000000002296,,-180.00000000002763
2017.08.07,-22.999999999995246,200.99999999998454,-260.9999999999957,285.9999999999974,-456.0000000000173,,-253.0000000000263
2017.08.07,14.000000000002899,248.99999999998812,-209.99999999999375,310.9999999999946,-468.00000000001774,,-104.00000000002586
2017.08.07,-3.999999999992898,227.99999999998377,-186.9999999999976,305.99999999999517,-485.00000000001364,,-142.00000000002524
2017.08.07,-5.999999999994898,159.99999999998238,-194.99999999999318,341.99999999999784,-392.00000000002433,,-91.00000000003217
2017.08.07,87.00000000000374,137.9999999999937,-262.00000000000045,385.000000000002,-400.0000000000057,,-52.00000000000671
2017.08.07,4.999999999999449,129.00000000000134,-248.99999999999523,307.99999999999716,-367.00000000001864,,-174.00000000001592
2017.08.07,0.0,152.99999999998093,-185.99999999999284,305.99999999999517,-314.9999999999977,,-42.00000000001444
2017.08.07,28.000000000005798,108.99999999998133,-216.99999999999875,319.99999999999807,-380.0000000000239,,-140.00000000003743
2017.08.07,75.9999999999983,150.99999999999002,-239.99999999999488,373.99999999999653,-413.0000000000109,,-52.00000000002092
2017.08.07,78.00000000000028,121.99999999999989,-170.0000000000017,400.9999999999958,-298.0000000000018,,132.99999999999244
2017.08.07,104.99999999999955,171.99999999999437,-112.99999999999955,400.00000000000034,-265.0000000000148,,298.99999999998
2017.08.07,63.00000000000195,198.99999999999363,-99.99999999999432,380.999999999998,-249.00000000002365,,293.99999999997567
2017.08.07,28.000000000005798,252.99999999999213,-28.000000000005798,365.99999999999966,-249.00000000002365,,369.99999999996817
2017.08.07,26.999999999999247,265.99999999998846,-25.000000000005684,327.99999999999494,-245.00000000000455,,350.9999999999725
2017.08.07,41.9999999999976,272.99999999998994,-3.0000000000001137,312.00000000000114,-229.00000000001342,,394.9999999999752
2017.08.07,18.0000000000069,268.0000000000016,-30.000000000001137,314.99999999999864,-265.0000000000148,,305.99999999999113
2017.08.07,19.999999999997797,280.9999999999979,-21.000000000000796,317.9999999999961,-265.0000000000148,,332.9999999999761
2017.08.07,21.999999999999797,302.0000000000023,-3.0000000000001137,322.00000000000006,-265.0000000000148,,377.99999999998727
