date,GBPUSD,USDCAD,AUDUSD,NZDUSD,empty,sum
2019.02.11,-36.0000000000138,-29.00000000001235,-43.999999999999595,-4.000000000004,,-113.00000000002976
2019.02.11,-9.999999999998899,-56.99999999999594,9.00000000000345,21.00000000000435,,-36.99999999998704
2019.02.11,14.999999999987246,-104.00000000001519,16.0000000000049,95.99999999999609,,22.999999999973056
2019.02.11,49.99999999999449,-99.00000000000463,44.0000000000107,139.99999999999568,,134.99999999999625
2019.02.11,66.99999999999484,-134.00000000001188,96.00000000000719,136.99999999999824,,165.9999999999884
2019.02.11,28.999999999990145,-121.00000000001555,111.00000000000554,223.00000000000654,,241.99999999998667
2019.02.11,51.99999999998539,-182.0000000000155,115.00000000000954,236.00000000000287,,220.99999999998232
2019.02.11,58.000000000002494,-219.00000000001364,111.00000000000554,265.99999999999955,,215.99999999999395
2019.02.11,38.99999999998904,-238.0000000000049,114.00000000000298,229.00000000000142,,143.99999999998855
2019.02.11,36.999999999998145,-251.00000000000122,111.00000000000554,185.00000000000182,,82.00000000000429
2019.02.11,7.0000000000014495,-202.00000000001327,109.00000000000354,173.9999999999964,,87.9999999999881
2019.02.11,-22.0000000000109,-198.00000000000927,50.0000000000056,145.00000000000622,,-25.000000000008356
2019.02.11,-21.00000000000435,-253.00000000001432,60.99999999999994,161.00000000000003,,-52.00000000001867
2019.02.11,-22.999999999995246,-270.99999999999903,52.000000000007596,158.0000000000026,,-83.99999999998408
2019.02.11,-12.000000000012001,-290.00000000001245,53.00000000000304,158.0000000000026,,-91.00000000001882
2019.02.11,0.0,-283.000000000011,36.0000000000027,155.00000000000514,,-92.00000000000318
2019.02.11,-1.0000000000065512,-253.99999999999866,78.00000000000028,195.9999999999962,,18.999999999991246
2019.02.11,42.999999999993044,-124.99999999999733,137.00000000000932,258.9999999999981,,314.0000000000032
2019.02.11,18.0000000000069,-202.00000000001327,102.00000000000209,236.99999999999832,,154.99999999999403
2019.02.11,-209.00000000001472,-219.00000000001364,66.00000000001049,168.99999999999693,,-193.00000000002092
2019.02.11,-212.00000000001216,-239.00000000001143,38.0000000000047,156.00000000000057,,-257.0000000000183
2019.02.11,-148.99999999999915,-171.99999999999437,0.0,99.00000000000463,,-221.9999999999889
2019.02.11,-124.00000000001299,-138.0000000000159,-19.999999999997797,78.99999999999574,,-203.00000000003092
2019.02.11,-344.99999999999534,-124.00000000001299,-41.9999999999976,48.000000000003595,,-463.00000000000233
