date,GBPUSD,USDCAD,AUDUSD,NZDUSD,empty,sum
2019.02.11,39.999999999995595,-21.00000000000435,16.0000000000049,31.999999999998696,,66.99999999999484
2019.02.11,28.999999999990145,5.999999999994898,32.0000000000098,117.99999999999588,,184.99999999999073
2019.02.11,51.99999999998539,-80.99999999999774,50.0000000000056,139.99999999999568,,160.99999999998892
2019.02.11,79.99999999999119,-89.00000000000574,140.0000000000068,190.99999999999673,,321.999999999989
2019.02.11,79.99999999999119,-73.00000000001194,134.0000000000008,228.00000000000597,,368.999999999986
2019.02.11,51.000000000001044,-113.00000000000753,115.00000000000954,236.00000000000287,,289.0000000000059
2019.02.11,79.00000000000685,-174.00000000000747,157.00000000000713,295.99999999999625,,358.00000000000273
2019.02.11,66.99999999999484,-190.00000000000128,125.00000000000844,278.9999999999959,,280.9999999999979
2019.02.11,39.999999999995595,-238.0000000000049,114.00000000000298,229.00000000000142,,144.9999999999951
2019.02.11,41.000000000002146,-202.00000000001327,123.00000000000644,190.99999999999673,,152.99999999999204
2019.02.11,11.00000000000545,-180.0000000000024,128.00000000000588,192.00000000000327,,151.00000000001222
2019.02.11,-11.00000000000545,-188.9999999999947,62.000000000006494,160.00000000000458,,22.000000000010886
2019.02.11,-12.000000000012001,-246.00000000001288,81.00000000000884,190.00000000000128,,12.99999999998522
2019.02.11,-11.00000000000545,-263.99999999999756,74.00000000000739,178.99999999999582,,-21.9999999999998
2019.02.11,9.999999999998899,-275.000000000003,56.0000000000005,175.99999999999838,,-33.0000000000052
2019.02.11,38.99999999998904,-246.00000000001288,80.00000000000229,197.00000000000273,,69.9999999999812
2019.02.11,42.999999999993044,-124.99999999999733,160.00000000000458,282.99999999999994,,361.0000000000002
2019.02.11,51.99999999998539,-100.99999999999554,171.00000000001003,302.9999999999977,,424.9999999999976
2019.02.11,83.9999999999952,-191.00000000000784,146.00000000000168,258.9999999999981,,297.99999999998715
2019.02.11,-178.00000000001148,-201.00000000000674,104.00000000000409,190.99999999999673,,-84.00000000001737
2019.02.11,-93.99999999999409,-139.00000000000023,60.99999999999994,163.00000000000205,,-8.999999999992326
2019.02.11,-104.99999999999955,-138.0000000000159,26.000000000003798,124.00000000000189,,-93.00000000000973
2019.02.11,-92.00000000000318,-93.00000000000975,21.00000000000435,95.99999999999609,,-68.00000000001249
