date,EURUSD,EURCHF,CADJPY,NZDCAD,empty,sum
2017.12.18,25.00000000000835,-34.000000000000696,80.0000000000125,-74.00000000000739,,-2.9999999999872387
2017.12.18,22.999999999995246,24.000000000001798,38.000000000010914,-53.00000000000304,,32.00000000000492
2017.12.18,41.000000000002146,44.99999999998394,-6.000000000000227,-89.00000000000574,,-9.000000000019881
2017.12.18,-1.0000000000065512,58.99999999998684,-18.000000000000682,-102.99999999999754,,-63.000000000017934
2017.12.18,25.00000000000835,114.99999999999844,-15.999999999991132,-170.99999999999892,,-46.99999999998326
2017.12.18,62.000000000006494,86.99999999999264,-56.99999999998795,-140.0000000000068,,-47.999999999995595
2017.12.18,99.00000000000463,124.99999999999733,-27.999999999991587,-114.00000000000298,,82.00000000000739
2017.12.18,130.0000000000079,121.99999999999989,-30.9999999999917,-143.9999999999997,,77.0000000000164
2017.12.18,144.99999999999514,126.99999999998823,-42.999999999992156,-207.99999999999707,,20.999999999994174
2017.12.18,130.0000000000079,136.99999999998712,-40.99999999999682,-173.00000000000094,,52.99999999999724
2017.12.18,148.99999999999915,126.0000000000039,-80.99999999998886,-135.00000000000733,,59.00000000000688
2017.12.18,204.99999999998852,143.99999999998857,-140.99999999999113,-119.99999999999788,,87.99999999998808
2017.12.18,191.99999999999218,126.0000000000039,-114.99999999999488,-168.00000000000148,,34.999999999999716
2017.12.18,168.99999999999693,143.00000000000423,-120.99999999999511,-155.00000000000514,,36.00000000000088
2017.12.18,181.9999999999933,129.99999999998568,-110.99999999999,-173.00000000000094,,27.999999999988034
2017.12.18,173.00000000000094,124.99999999999733,-122.99999999999045,-148.99999999999915,,26.000000000008697
2017.12.18,258.0000000000027,157.99999999999147,-123.99999999999523,-192.00000000000327,,99.99999999999565
2017.12.18,246.99999999999721,174.99999999999181,-155.9999999999917,-241.99999999999778,,23.999999999999545
2017.12.18,268.0000000000016,157.99999999999147,-134.00000000000034,-311.00000000000574,,-19.000000000013017
2017.12.18,371.00000000001023,183.99999999998417,-135.99999999999568,-329.00000000000153,,89.99999999999721
2017.12.18,326.9999999999884,234.00000000000088,-113.99999999999011,-336.00000000000296,,110.99999999999625
2017.12.18,451.0000000000014,241.99999999998667,-69.99999999999318,-314.0000000000032,,308.9999999999917
2017.12.18,486.00000000000864,331.999999999999,-74.99999999998863,-270.0000000000036,,473.0000000000154
2017.12.18,456.9999999999963,245.99999999999068,24.00000000000091,-261.0000000000001,,465.99999999998784
2017.12.18,428.9999999999905,212.99999999999653,61.00000000000705,-224.000000000002,,478.9999999999921
2017.12.18,514.9999999999987,214.00000000000307,88.00000000000807,-236.99999999999832,,580.0000000000116
2017.12.18,456.9999999999963,200.99999999998454,55.00000000000682,-180.99999999999784,,531.9999999999899
2017.12.18,493.99999999999443,161.99999999999548,140.00000000000057,-233.00000000000543,,562.999999999985
2017.12.18,480.99999999999807,190.99999999998562,138.00000000000523,-195.00000000000074,,614.9999999999882
