timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.05.14 9:30,-5283.999999999965,,2021.05.10 0:00,344.00000000001313,,2021.05.13 11:30,-7721.999999999981
2021.05.14 9:00,-5329.999999999981,,2021.05.10 0:30,246.00000000005068,,2021.05.13 12:30,-7600.999999999958
2021.05.14 8:30,-5541.9999999999745,,2021.05.10 2:00,10.000000000055735,,2021.05.12 18:30,-7569.999999999941
2021.05.14 8:00,-6066.0,,2021.05.10 1:30,-87.99999999996948,,2021.05.12 17:30,-7548.999999999993
2021.05.14 7:30,-6165.999999999948,,2021.05.10 2:30,-105.99999999996734,,2021.05.13 8:30,-7530.99999999995
2021.05.14 7:00,-6093.9999999999945,,2021.05.10 11:30,-172.99999999998724,,2021.05.12 18:00,-7508.999999999951
2021.05.14 6:30,-6283.999999999976,,2021.05.10 3:00,-227.99999999998994,,2021.05.13 13:00,-7468.999999999982
2021.05.14 6:00,-6416.999999999975,,2021.05.10 6:00,-233.00000000000546,,2021.05.13 8:00,-7423.0
2021.05.14 5:30,-6352.999999999941,,2021.05.10 13:00,-259.999999999959,,2021.05.13 7:00,-7385.9999999999845
2021.05.14 5:00,-6361.999999999924,,2021.05.10 3:30,-263.9999999999833,,2021.05.12 19:30,-7363.999999999998
2021.05.14 4:30,-6294.999999999989,,2021.05.10 6:30,-276.99999999992195,,2021.05.13 0:00,-7285.99999999996
2021.05.14 4:00,-6187.999999999973,,2021.05.10 1:00,-285.9999999999561,,2021.05.13 12:00,-7273.999999999956
2021.05.14 3:30,-6794.999999999964,,2021.05.10 9:30,-329.9999999999818,,2021.05.13 6:30,-7261.999999999958
2021.05.14 3:00,-6991.999999999986,,2021.05.10 13:30,-332.99999999998226,,2021.05.12 19:00,-7259.999999999968
2021.05.14 2:30,-6772.99999999998,,2021.05.10 7:00,-343.9999999999538,,2021.05.13 13:30,-7237.999999999951
2021.05.14 2:00,-6727.999999999963,,2021.05.10 4:30,-369.99999999996123,,2021.05.12 23:30,-7206.9999999999845
2021.05.14 23:30,-3686.9999999999936,,2021.05.10 14:30,-405.99999999996544,,2021.05.13 6:00,-7172.999999999979
2021.05.14 23:00,-3675.9999999999723,,2021.05.10 16:00,-407.9999999999565,,2021.05.13 7:30,-7159.999999999948
2021.05.14 22:30,-3793.9999999999945,,2021.05.10 12:30,-413.99999999997596,,2021.05.13 0:30,-7130.999999999982
2021.05.14 22:00,-3653.9999999999636,,2021.05.10 12:00,-450.99999999994935,,2021.05.13 3:00,-7098.999999999959
2021.05.14 21:30,-3620.999999999981,,2021.05.10 15:00,-504.9999999999868,,2021.05.12 22:30,-7080.999999999976
2021.05.14 21:00,-3855.9999999999645,,2021.05.10 14:00,-511.99999999997783,,2021.05.13 1:30,-7077.999999999964
2021.05.14 20:30,-4045.999999999947,,2021.05.10 4:00,-552.9999999999659,,2021.05.13 20:30,-7074.999999999956
2021.05.14 20:00,-4026.999999999962,,2021.05.10 5:00,-571.9999999999886,,2021.05.12 20:30,-7056.99999999998
2021.05.14 1:30,-6671.9999999999845,,2021.05.10 5:30,-576.9999999999893,,2021.05.13 2:00,-7020.99999999998
2021.05.14 1:00,-6600.9999999999545,,2021.05.10 7:30,-583.9999999999642,,2021.05.13 5:30,-6995.9999999999645
2021.05.14 19:30,-4070.999999999962,,2021.05.10 9:00,-622.9999999999975,,2021.05.14 3:00,-6991.999999999986
2021.05.14 19:00,-3910.9999999999663,,2021.05.10 8:00,-669.9999999999542,,2021.05.13 18:30,-6980.999999999934
2021.05.14 18:30,-3920.9999999999545,,2021.05.10 8:30,-679.9999999999619,,2021.05.13 18:00,-6975.999999999953
