,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,GBPUSD,10,['AUDNZD'],80.0,0.42960353174602434,B
1,1,USDCAD,20,['NZDJPY'],80.0,-0.4655607807152638,S
2,2,AUDUSD,20,['EURGBP'],100.0,0.536264387908737,B
3,3,GBPCHF,10,"['GBPUSD', 'NZDUSD', 'NZDCHF']",80.0,-0.9872,S
4,4,EURCHF,30,"['USDJPY', 'GBPCHF', 'NZDJPY', 'AUDJPY']",80.0,0.996363298645799,B
5,5,AUDCHF,10,"['GBPUSD', 'NZDUSD', 'NZDCHF']",80.0,-0.9893,S
6,6,EURGBP,15,"['GBPUSD', 'AUDJPY', 'NZDUSD', 'AUDCHF']",80.0,0.3278513880563874,B
7,7,GBPAUD,10,['CHFJPY'],80.0,-0.9939300000000004,S
8,8,EURJPY,20,['CHFJPY'],100.0,0.2704097339395157,B
9,9,EURNZD,10,['EURNZD'],80.0,0.6012469841270035,B
10,10,AUDCAD,10,['USDCAD'],80.0,0.3361175793650797,B
11,11,NZDCAD,10,['AUDNZD'],80.0,0.4277428571428509,B
