date,EURUSD,USDCAD,GBPCHF,EURCHF,GBPJPY,EURJPY,AUDCAD,empty,sum
2019.09.16,-32.0000000000098,-662.000000000007,0.0,0.0,0.0,0.0,0.0,,-694.0000000000168
2019.09.16,-5.999999999994898,-550.000000000006,266.0000000000107,228.99999999999034,483.0000000000041,427.0000000000067,408.9999999999927,,1258.0000000000036
2019.09.16,-62.000000000006494,-666.000000000011,233.00000000001654,157.99999999999147,195.99999999999795,180.00000000000682,240.99999999999122,,279.99999999998647
2019.09.16,-80.00000000001339,-746.0000000000023,260.0000000000158,154.99999999999403,263.00000000000523,176.00000000000193,352.9999999999922,,380.9999999999935
2019.09.16,-143.00000000000423,-730.0000000000084,286.00000000000847,157.99999999999147,294.9999999999875,203.00000000000296,357.99999999999164,,426.9999999999695
2019.09.16,-133.00000000000534,-706.0000000000066,316.0000000000052,181.9999999999933,302.99999999999727,197.00000000000273,349.99999999999477,,508.99999999998124
2019.09.16,-123.00000000000644,-702.0000000000026,381.0000000000091,211.99999999998997,370.00000000000455,231.00000000000875,400.00000000000034,,769.0000000000036
2019.09.16,-66.99999999999484,-635.9999999999922,424.00000000000216,249.99999999999466,561.9999999999834,400.0000000000057,424.9999999999976,,1357.9999999999964
2019.09.16,-70.99999999999883,-663.999999999998,433.0000000000167,231.99999999998778,581.9999999999936,378.0000000000001,410.9999999999947,,1300.9999999999961
2019.09.16,-75.00000000000284,-625.0000000000089,426.9999999999996,197.99999999998707,491.9999999999902,287.00000000000614,378.00000000000057,,1081.9999999999718
2019.09.16,-66.00000000001049,-600.0000000000006,432.0000000000102,197.99999999998707,540.9999999999968,304.00000000000205,378.00000000000057,,1186.9999999999857
2019.09.16,-41.000000000002146,-557.9999999999918,428.00000000000614,161.99999999999548,563.999999999993,302.99999999999727,397.99999999999835,,1255.9999999999961
2019.09.16,-39.999999999995595,-537.9999999999941,396.00000000001853,147.99999999999258,461.9999999999891,239.00000000000432,383.99999999999545,,1051.0000000000105
2019.09.16,-17.000000000000348,-571.9999999999948,324.0000000000132,97.9999999999981,487.99999999999955,259.00000000000034,329.999999999997,,910.000000000013
2019.09.16,-21.00000000000435,-554.00000000001,391.000000000008,123.99999999999079,536.0000000000014,275.99999999999625,297.9999999999983,,1049.9999999999804
2019.09.16,-21.00000000000435,-546.000000000002,446.0000000000131,118.99999999998023,581.9999999999936,254.99999999999545,286.99999999999284,,1121.9999999999688
2019.09.16,-12.000000000012001,-540.9999999999915,457.00000000001853,134.99999999999625,585.9999999999843,260.9999999999957,337.99999999999386,,1223.999999999985
2019.09.16,14.999999999987246,-516.9999999999897,431.0000000000036,122.99999999998423,554.9999999999784,237.99999999999955,341.99999999999784,,1186.9999999999613
2019.09.16,-48.000000000003595,-530.0000000000082,352.000000000019,121.99999999999989,447.00000000000273,225.9999999999991,313.99999999999204,,883.0000000000009
2019.09.16,-35.00000000000725,-476.0000000000098,460.000000000016,126.99999999998823,548.0000000000018,228.9999999999992,281.99999999999335,,1134.9999999999816
2019.09.16,-45.000000000006146,-405.0000000000109,403.00000000002,26.999999999999247,585.9999999999843,192.99999999999784,161.00000000000003,,919.9999999999843
2019.09.16,-102.00000000000209,-307.99999999999716,342.00000000002007,-1.0000000000065512,543.0000000000064,173.00000000000182,125.99999999999278,,773.0000000000152
2019.09.16,-7.0000000000014495,-313.00000000000773,377.0000000000051,11.999999999989797,651.9999999999868,253.0000000000001,98.99999999999353,,1072.9999999999661
2019.09.16,63.99999999999739,-344.00000000001097,439.0000000000116,27.999999999983594,759.9999999999909,274.0000000000009,70.99999999999883,,1291.9999999999723
2019.09.16,25.999999999992696,-367.99999999999056,568.000000000013,38.99999999998904,965.0000000000034,391.00000000000534,63.00000000000195,,1684.0000000000148
2019.09.16,45.99999999999049,-333.9999999999899,482.00000000000466,57.99999999998029,936.9999999999834,385.9999999999957,59.99999999999339,,1634.9999999999582
2019.09.16,112.99999999998533,-258.0000000000027,251.00000000000122,70.99999999999883,798.0000000000018,521.0000000000008,68.99999999999685,,1564.9999999999823
2019.09.16,202.9999999999976,-228.00000000000597,243.00000000001543,90.99999999999665,831.9999999999936,588.9999999999986,91.99999999999208,,1821.999999999988
2019.09.16,289.0000000000059,-351.99999999999676,269.00000000000813,156.00000000000057,852.9999999999802,670.0000000000017,146.00000000000168,,2031.0000000000016
2019.09.16,306.00000000000625,-330.0000000000081,364.00000000000875,217.99999999998488,906.0000000000059,737.9999999999995,210.99999999999451,,2412.999999999992
2019.09.16,363.9999999999866,-356.00000000000074,155.00000000001623,210.99999999998343,627.9999999999859,661.0000000000014,229.99999999999687,,1892.9999999999695
2019.09.16,374.999999999992,-425.0000000000087,269.00000000000813,222.99999999999542,766.9999999999959,667.0000000000016,251.99999999999667,,2127.999999999981
2019.09.16,449.9999999999948,-495.000000000001,119.00000000000244,200.99999999998454,691.0000000000025,730.000000000004,379.9999999999915,,2075.9999999999786
2019.09.16,489.0000000000061,-330.9999999999924,56.000000000011596,131.99999999999878,671.999999999997,725.0000000000085,387.99999999999943,,2131.000000000029
2019.09.16,546.9999999999864,-329.00000000000153,60.99999999999994,130.99999999999224,723.9999999999895,781.0000000000059,376.99999999999403,,2291.9999999999663
2019.09.16,553.0000000000035,-312.00000000000114,374.0000000000077,278.9999999999848,887.0000000000005,798.0000000000018,336.9999999999984,,2915.9999999999955
2019.09.16,638.9999999999895,-422.9999999999956,340.00000000000693,320.9999999999935,847.9999999999848,814.0000000000072,331.999999999999,,2870.9999999999854
