,names,week,needed_features,accuracy
0,USDCHF,10,['EURJPY'],100.0
1,GBPUSD,10,['AUDCHF'],80.0
2,EURUSD,10,['EURJPY'],100.0
3,USDJPY,20,"['AUDCAD', 'AUDCHF', 'AUDUSD', 'NZDCAD', 'NZDCHF', 'NZDUSD', 'EURUSD']",80.0
4,AUDUSD,50,"['GBPUSD', 'USDCAD']",100.0
5,NZDUSD,10,['GBPUSD'],80.0
6,GBPCHF,10,"['USDCHF', 'EURUSD', 'USDCAD']",80.0
7,EURCHF,10,['USDJPY'],80.0
8,CADCHF,15,"['GBPJPY', 'NZDUSD', 'NZDCAD', 'NZDCHF']",100.0
9,AUDCHF,10,['NZDUSD'],80.0
10,NZDCHF,15,"['GBPAUD', 'USDJPY', 'GBPCHF', 'GBPCAD']",80.0
11,EURGBP,10,['EURCHF'],100.0
12,GBPJPY,10,"['AUDCHF', 'NZDCAD', 'AUDCAD', 'EURAUD', 'NZDCHF']",80.0
13,GBPCAD,30,"['USDCHF', 'EURUSD', 'USDCAD']",100.0
14,GBPAUD,15,['EURGBP'],80.0
15,EURCAD,50,"['NZDJPY', 'AUDJPY', 'USDJPY', 'EURJPY', 'NZDUSD', 'GBPJPY', 'AUDUSD', 'GBPUSD', 'CHFJPY']",80.0
16,EURAUD,15,"['NZDCAD', 'NZDCHF']",100.0
17,EURNZD,15,['GBPUSD'],80.0
18,NZDJPY,15,"['GBPUSD', 'GBPJPY', 'GBPCHF']",100.0
19,AUDCAD,15,['GBPCHF'],100.0
20,NZDCAD,15,"['GBPAUD', 'USDJPY', 'GBPCHF', 'GBPCAD']",80.0
21,AUDNZD,10,"['AUDJPY', 'AUDUSD', 'EURGBP']",80.0
