date,USDCAD,GBPCHF,EURGBP,EURNZD,AUDJPY,AUDCAD,empty,sum
2021.03.08,45.000000000006146,-531.9999999999991,-15.999999999993797,38.0000000000047,-156.99999999999648,-82.99999999999974,,-704.9999999999783
2021.03.08,22.999999999995246,-589.0000000000173,-41.000000000002146,120.99999999999334,-165.99999999999682,-57.99999999999139,,-710.0000000000191
2021.03.08,-185.99999999999727,-735.000000000019,-93.99999999999409,-124.99999999999733,-466.99999999999875,-191.99999999999218,,-1798.9999999999986
2021.03.08,-129.99999999998568,-647.0000000000198,-44.99999999999504,97.9999999999981,-334.0000000000032,-122.99999999999534,,-1181.000000000001
2021.03.08,-95.00000000000064,-638.0000000000052,-42.999999999993044,25.999999999992696,-266.00000000000534,-96.99999999999153,,-1113.0000000000032
2021.03.08,-129.99999999998568,-680.0000000000139,-65.99999999999939,-21.00000000000435,-305.9999999999974,-115.99999999999389,,-1318.9999999999945
2021.03.08,-65.99999999998829,-664.0000000000201,-43.999999999999595,116.00000000000499,-287.00000000000614,-107.99999999999699,,-1053.0000000000061
2021.03.08,-153.9999999999875,-717.000000000012,-34.99999999999615,72.0000000000054,-346.00000000000364,-117.99999999999588,,-1297.9999999999898
2021.03.08,-11.999999999989797,-595.0000000000122,-2.999999999997449,201.00000000000674,-200.00000000000284,-79.99999999999119,,-688.9999999999868
2021.03.08,83.00000000001084,-606.0000000000176,-19.00000000000235,62.000000000006494,-230.99999999999454,-131.99999999999878,,-842.999999999996
2021.03.08,151.9999999999966,-553.0000000000035,2.999999999997449,156.00000000000057,-176.00000000000193,-141.99999999999767,,-560.0000000000085
2021.03.08,140.0000000000068,-513.0000000000078,17.000000000000348,241.99999999998667,-155.00000000000114,-107.00000000000153,,-376.00000000001666
2021.03.08,87.99999999999919,-633.0000000000168,-39.999999999995595,201.99999999999108,-212.0000000000033,-151.9999999999966,,-747.000000000022
2021.03.08,95.00000000000064,-618.0000000000074,-26.999999999999247,194.0000000000053,-231.99999999999932,-195.9999999999962,,-783.9999999999961
2021.03.08,73.99999999999629,-666.000000000011,-42.999999999993044,283.99999999999534,-231.99999999999932,-196.99999999999162,,-780.0000000000034
2021.03.08,21.00000000000435,-721.000000000016,-46.00000000000159,209.9999999999991,-293.00000000000637,-240.99999999999122,,-1070.0000000000118
2021.03.08,26.0000000000149,-667.0000000000176,-39.999999999995595,163.00000000000205,-316.0000000000025,-218.99999999999142,,-1052.9999999999902
2021.03.08,151.00000000001222,-609.0000000000151,-53.00000000000304,219.99999999999798,-189.99999999999773,-153.99999999999858,,-635.0000000000043
2021.03.08,214.00000000000307,-669.0000000000085,-117.00000000000044,323.0000000000066,-85.99999999999852,-53.999999999998494,,-388.99999999999636
2021.03.08,296.0000000000074,-699.0000000000052,-131.00000000000333,482.00000000000466,-52.00000000000671,-32.999999999994145,,-136.99999999999733
2021.03.08,287.000000000015,-860.0000000000163,-202.0000000000022,561.9999999999958,39.99999999999204,12.000000000000899,,-161.00000000001467
2021.03.08,310.0000000000103,-975.0000000000148,-204.99999999999963,547.999999999993,87.0000000000033,120.00000000000898,,-114.99999999999898
2021.03.08,500.9999999999959,-897.9999999999987,-222.99999999999542,853.9999999999992,254.99999999999545,231.0000000000034,,719.9999999999998
2021.03.08,409.99999999999926,-950.0000000000064,-312.00000000000114,868.9999999999865,207.9999999999984,238.0000000000049,,462.9999999999816
2021.03.08,422.00000000001125,-896.000000000008,-288.9999999999948,774.9999999999924,167.99999999999216,174.00000000000747,,354.00000000000045
2021.03.08,412.9999999999967,-1050.0000000000175,-349.99999999999477,804.9999999999891,103.9999999999992,65.00000000000395,,-13.000000000023334
2021.03.08,476.0000000000098,-945.0000000000181,-298.9999999999937,713.9999999999924,54.000000000002046,-20.999999999993246,,-21.000000000000863
2021.03.08,422.00000000001125,-1048.0000000000045,-368.00000000000165,665.9999999999889,70.99999999999795,82.00000000000429,,-175.0000000000039
