date,GBPUSD,USDJPY,AUDUSD,NZDUSD,NZDCHF,GBPAUD,EURAUD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.11.23,-90.00000000001229,0.0,-22.999999999995246,-83.9999999999952,-137.9999999999937,-161.99999999999548,0.0,-76.99999999999375,-14.000000000010004,-81.00000000000884,-175.00000000000293,-50.0000000000167,,-894.0000000000242
2020.11.23,-104.99999999999955,46.00000000000648,-61.999999999995396,-136.99999999999824,-170.99999999999892,-239.00000000001143,53.999999999998494,-58.99999999998684,57.00000000000216,-158.0000000000026,-280.00000000000244,-94.00000000001629,,-1148.0000000000045
2020.11.23,-133.00000000000534,61.00000000000705,-75.9999999999983,-159.9999999999935,-197.00000000000273,-187.00000000000384,102.99999999998644,-44.99999999998394,55.999999999997385,-167.00000000000603,-273.9999999999965,-70.0000000000145,,-1089.0000000000139
2020.11.23,-175.00000000001404,65.00000000001194,-146.99999999999713,-224.9999999999974,-224.000000000002,-120.99999999999334,44.99999999998394,-115.99999999998278,96.9999999999942,-220.00000000000907,-322.9999999999955,-80.99999999999774,,-1424.9999999999989
2020.11.23,-248.00000000000378,40.00000000000625,-197.99999999999818,-287.9999999999994,-259.9999999999936,-51.000000000001044,-17.000000000000348,-209.9999999999991,111.99999999999477,-263.0000000000021,-380.00000000000256,-99.00000000000463,,-1862.0000000000034
2020.11.23,-232.00000000000998,44.00000000001114,-217.99999999999596,-324.9999999999975,-288.9999999999948,32.999999999994145,-19.00000000001345,-261.9999999999845,146.0000000000008,-245.0000000000063,-388.9999999999949,-126.0000000000039,,-1881.9999999999952
2020.11.23,-398.9999999999938,-30.000000000001137,-275.99999999999847,-397.99999999999835,-327.99999999999494,-34.000000000000696,-69.00000000000794,-378.999999999996,135.99999999999568,-272.00000000000557,-442.9999999999934,-160.00000000000458,,-2651.999999999999
2020.11.23,-381.99999999999346,-12.999999999991019,-241.99999999999778,-383.99999999999545,-319.99999999999807,-99.00000000000463,-23.00000000001745,-354.9999999999942,134.9999999999909,-235.00000000000742,-424.00000000000216,-160.00000000000458,,-2502.0000000000155
2020.11.23,-385.00000000001313,-10.99999999999568,-235.99999999999176,-363.99999999999767,-310.9999999999946,-117.00000000001154,-7.0000000000014495,-308.9999999999815,146.0000000000008,-234.00000000000088,-404.99999999999983,-140.0000000000068,,-2372.999999999994
2020.11.23,-365.99999999999966,-18.000000000000682,-200.00000000000017,-324.9999999999975,-286.99999999999284,-178.99999999999582,45.99999999999049,-228.99999999999034,134.9999999999909,-192.00000000000327,-361.9999999999957,-147.00000000000824,,-2124.000000000003
2020.11.23,-378.00000000001165,-15.000000000000568,-200.00000000000017,-324.9999999999975,-276.9999999999939,-167.00000000000603,41.99999999998649,-235.99999999999176,140.00000000000057,-194.0000000000053,-363.99999999999767,-160.00000000000458,,-2134.0000000000223
2020.11.23,-367.0000000000062,-7.999999999995566,-187.9999999999993,-312.9999999999966,-263.0000000000021,-144.99999999999514,61.99999999998429,-213.99999999998087,134.9999999999909,-190.00000000000128,-351.99999999999676,-128.000000000017,,-1971.000000000016
2020.11.23,-310.0000000000103,-3.0000000000001137,-158.99999999999804,-281.99999999999335,-242.99999999999324,-195.00000000001182,110.99999999999443,-152.99999999998093,98.99999999998954,-172.00000000000549,-351.0000000000013,-141.00000000001333,,-1799.0000000000239
2020.11.23,-299.00000000000483,-4.9999999999954525,-146.99999999999713,-251.00000000000122,-225.99999999999287,-211.00000000000563,143.99999999998857,-85.00000000000173,93.00000000000352,-175.00000000000293,-320.9999999999935,-128.000000000017,,-1611.0000000000202
2020.11.23,-316.0000000000052,-12.000000000000455,-135.99999999999167,-234.99999999999633,-209.9999999999991,-222.00000000001108,175.99999999999838,-26.999999999999247,94.99999999999886,-165.00000000000404,-302.0000000000023,-99.00000000000463,,-1453.0000000000166
2020.11.23,-395.000000000012,-15.999999999991132,-156.00000000000057,-270.99999999999903,-209.00000000000364,-262.999999999991,173.99999999998528,-61.99999999998429,104.99999999998977,-161.00000000000003,-309.99999999999915,-110.00000000001009,,-1674.0000000000157
2020.11.23,-446.0000000000131,-6.999999999990791,-169.99999999999238,-275.000000000003,-207.00000000000162,-313.99999999999204,156.00000000000057,-74.99999999998064,134.00000000000034,-163.00000000000205,-310.9999999999946,-107.00000000001265,,-1784.999999999982
2020.11.23,-356.00000000000074,-3.9999999999906777,-132.99999999999423,-236.00000000000287,-181.9999999999933,-350.9999999999902,212.99999999999653,8.000000000008,112.99999999999955,-131.00000000000333,-266.999999999995,-84.0000000000174,,-1409.9999999999836
