date,AUDCAD,NZDCAD,empty,sum
2019.02.25,-91.99999999999208,-85.99999999999719,,-177.99999999998926
2019.02.25,-254.99999999999412,-46.00000000000159,,-300.9999999999957
2019.02.25,-207.99999999999707,5.999999999994898,,-202.00000000000216
2019.02.25,-278.9999999999959,-45.000000000006146,,-324.00000000000205
2019.02.25,-281.99999999999335,-143.9999999999997,,-425.99999999999307
2019.02.25,-319.99999999999807,-211.00000000000563,,-531.0000000000036
2019.02.25,-308.9999999999926,-214.99999999999852,,-523.9999999999911
2019.02.25,-280.9999999999979,-224.9999999999974,,-505.99999999999534
2019.02.25,-234.99999999999633,-184.00000000000637,,-419.00000000000273
2019.02.25,-185.00000000000182,-136.00000000000279,,-321.0000000000046
2019.02.25,-124.99999999999733,-109.00000000000354,,-234.00000000000085
2019.02.25,-171.99999999999437,-131.99999999999878,,-303.9999999999932
2019.02.25,-168.00000000000148,-129.9999999999968,,-297.9999999999983
2019.02.25,-181.9999999999933,-92.00000000000318,,-273.9999999999965
2019.02.25,-236.99999999999832,-136.00000000000279,,-373.00000000000114
2019.02.25,-285.9999999999974,-148.0000000000037,,-434.0000000000011
2019.02.25,-300.0000000000003,-145.00000000000622,,-445.0000000000065
2019.02.25,-253.99999999999866,-114.00000000000298,,-368.00000000000165
2019.02.25,-187.9999999999993,-58.000000000002494,,-246.0000000000018
2019.02.25,-244.99999999999523,-119.00000000000244,,-363.99999999999767
2019.02.25,-266.999999999995,-119.00000000000244,,-385.99999999999744
2019.02.25,-280.9999999999979,-146.99999999999713,,-427.999999999995
2019.02.25,-319.99999999999807,-199.00000000000472,,-519.0000000000027
2019.02.25,-346.9999999999973,-202.9999999999976,,-549.999999999995
2019.02.25,-371.99999999999454,-339.0000000000004,,-710.999999999995
2019.02.25,-426.9999999999996,-365.0000000000042,,-792.0000000000039
2019.02.25,-464.9999999999932,-406.00000000000637,,-870.9999999999995
2019.02.25,-468.00000000000176,-406.00000000000637,,-874.0000000000082
2019.02.25,-485.99999999999756,-406.00000000000637,,-892.0000000000039
2019.02.25,-531.9999999999991,-443.0000000000045,,-975.0000000000036
2019.02.25,-579.9999999999916,-524.0000000000023,,-1103.9999999999939
2019.02.25,-635.9999999999922,-550.000000000006,,-1185.9999999999982
2019.02.25,-723.9999999999914,-565.0000000000044,,-1288.999999999996
2019.02.25,-800.9999999999961,-589.0000000000061,,-1390.0000000000023
2019.02.25,-798.9999999999942,-617.9999999999964,,-1416.9999999999905
2019.02.25,-803.9999999999936,-646.9999999999976,,-1450.9999999999914
2019.02.25,-800.9999999999961,-680.0000000000028,,-1480.999999999999
2019.02.25,-812.999999999997,-670.9999999999993,,-1483.9999999999964
2019.02.25,-878.9999999999965,-700.999999999996,,-1579.9999999999925
2019.02.25,-853.9999999999992,-631.0000000000038,,-1485.000000000003
2019.02.25,-802.9999999999982,-585.0000000000022,,-1388.0000000000005
2019.02.25,-810.9999999999951,-578.0000000000007,,-1388.999999999996
2019.02.25,-927.9999999999955,-685.9999999999977,,-1613.9999999999932
2019.02.25,-990.000000000002,-763.0000000000026,,-1753.0000000000045
2019.02.25,-944.9999999999958,-729.0000000000018,,-1673.9999999999977
2019.02.25,-896.9999999999923,-695.0000000000011,,-1591.9999999999934
2019.02.25,-895.0000000000014,-700.0000000000006,,-1595.0000000000018
2019.02.25,-846.9999999999977,-687.9999999999998,,-1534.9999999999975
2019.02.26,-841.9999999999983,-660.000000000005,,-1502.0000000000032
2019.02.26,-846.9999999999977,-661.9999999999959,,-1508.9999999999936
2019.02.26,-854.9999999999947,-680.0000000000028,,-1534.9999999999975
2019.02.26,-851.0000000000017,-682.0000000000048,,-1533.0000000000064
2019.02.26,-864.9999999999935,-702.9999999999981,,-1567.9999999999916
2019.02.26,-839.0000000000009,-668.0000000000019,,-1507.0000000000027
2019.02.26,-793.9999999999947,-678.0000000000008,,-1471.9999999999955
2019.02.26,-761.0000000000006,-704.0000000000047,,-1465.0000000000052
2019.02.26,-779.9999999999918,-726.0000000000044,,-1505.9999999999964
2019.02.26,-822.9999999999959,-744.0000000000002,,-1566.9999999999961
2019.02.26,-874.9999999999925,-761.999999999996,,-1636.9999999999886
2019.02.26,-835.9999999999923,-751.0000000000017,,-1586.999999999994
2019.02.26,-803.9999999999936,-743.0000000000048,,-1546.9999999999984
2019.02.26,-780.9999999999984,-724.9999999999978,,-1505.9999999999964
2019.02.26,-761.0000000000006,-724.0000000000024,,-1485.000000000003
2019.02.26,-744.9999999999957,-722.9999999999959,,-1467.9999999999916
2019.02.26,-759.999999999994,-719.9999999999984,,-1479.9999999999923
2019.02.26,-756.0000000000011,-731.0000000000039,,-1487.000000000005
2019.02.26,-861.9999999999961,-845.0000000000068,,-1707.000000000003
2019.02.26,-834.9999999999968,-814.9999999999991,,-1649.999999999996
