date,USDCHF,GBPUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,AUDCAD,AUDNZD,empty,sum
2015.09.07,-34.000000000000696,-7.0000000000014495,-55.00000000000682,-17.999999999984695,-14.000000000002899,-151.9999999999966,-31.000000000003247,-43.00000000000637,-5.000000000032756,-8.999999999970143,-67.00000000000728,-78.00000000000028,-107.00000000000153,-63.99999999999739,,-684.0000000000122
2015.09.07,-19.999999999997797,-12.999999999996348,-84.00000000000318,-19.999999999997797,60.99999999999994,-63.99999999999739,52.99999999999194,42.999999999977945,-55.000000000005045,212.00000000001216,-87.99999999999386,-96.99999999999153,-156.99999999999602,-161.99999999999548,,-390.99999999999244
2015.09.07,11.00000000000545,12.000000000012001,-206.00000000000307,38.0000000000047,-38.0000000000047,-146.00000000000168,-12.000000000012001,92.99999999998931,51.99999999998539,82.00000000000429,-64.99999999999773,-76.99999999999375,-87.99999999999919,-256.99999999999613,,-601.000000000007
2015.09.07,58.000000000002494,38.0000000000047,-316.0000000000025,90.00000000001229,-9.00000000000345,-198.00000000000927,-5.000000000010552,322.9999999999791,234.99999999998522,153.00000000002535,-167.0000000000016,-140.0000000000068,-9.00000000000345,-294.0000000000165,,-241.0000000000449
2015.09.07,46.00000000000159,109.00000000000354,-295.0000000000017,90.00000000001229,-55.000000000005045,-297.9999999999983,8.999999999992347,384.9999999999909,253.99999999997647,160.00000000002677,-228.00000000000864,-120.99999999999334,-46.00000000000159,-286.00000000000847,,-276.0000000000132
2015.09.07,48.99999999999905,178.99999999999582,-289.0000000000015,129.00000000000134,-163.99999999999747,-309.0000000000037,51.99999999998539,500.99999999997635,406.99999999995737,-118.99999999998023,-242.999999999995,-9.999999999998899,121.00000000000443,-446.9999999999974,,-143.00000000005434
2015.09.07,-12.999999999996348,80.99999999999774,-414.0000000000015,238.0000000000049,-227.99999999999488,-282.0000000000045,46.999999999997044,224.99999999999432,505.99999999998425,-498.9999999999828,-284.9999999999966,56.000000000011596,190.00000000000128,-597.0000000000031,,-974.9999999999885
2015.09.07,-31.000000000003247,82.00000000000429,-237.99999999999955,229.00000000001253,-150.00000000000568,-117.00000000001154,114.99999999999844,-5.000000000023874,447.9999999999595,-226.9999999999772,-360.99999999999,326.0000000000041,192.00000000000327,-683.9999999999957,,-421.00000000002467
2015.09.07,-58.000000000002494,103.99999999999298,-350.0000000000085,144.0000000000108,-192.00000000000327,-198.00000000000927,90.99999999999665,433.9999999999975,371.99999999999454,-312.00000000000114,-427.99999999999727,113.99999999999189,192.00000000000327,-709.0000000000041,,-796.0000000000384
2015.09.07,29.000000000001247,119.00000000000244,-692.9999999999978,78.00000000000028,-265.99999999999955,-391.000000000008,110.99999999999443,643.0000000000007,292.9999999999655,-551.9999999999748,-659.9999999999966,-66.99999999999484,295.99999999999625,-832.0000000000105,,-1892.000000000021
