date,USDCHF,GBPUSD,EURUSD,AUDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,GBPAUD,EURCAD,EURNZD,AUDCAD,AUDNZD,empty,sum
2018.09.17,-98.0000000000092,-19.999999999997797,-1.999999999990898,-2.000000000002,-51.9999999999925,-50.0000000000056,-47.9999999999925,-7.0000000000014495,-152.00000000001523,-114.0000000000141,-25.999999999992696,-119.99999999998678,-131.99999999999878,-51.000000000001044,-41.000000000002146,,-915.0000000000027
2018.09.17,-112.000000000001,26.999999999999247,22.999999999995246,2.999999999997449,-143.99999999999125,-24.000000000001798,-57.99999999999139,-48.99999999999905,-171.0000000000207,-229.99999999999687,42.0000000000087,-159.99999999998238,-163.9999999999864,-1.999999999990898,-96.00000000000719,,-1114.9999999999682
2018.09.17,-59.000000000009045,13.000000000018552,-4.999999999988347,-17.000000000000348,-149.0000000000009,-14.000000000002899,-45.99999999999049,-15.999999999993797,-159.00000000002024,-180.0000000000024,75.00000000000284,-129.99999999998568,-164.99999999999292,7.0000000000014495,-93.00000000000975,,-937.9999999999741
2018.09.17,-16.0000000000049,36.999999999998145,-0.9999999999843467,-32.999999999994145,-67.99999999999784,20.999999999993246,-41.9999999999976,-32.999999999994145,-97.00000000000841,-202.00000000001327,129.00000000000134,-106.99999999999044,-255.99999999998957,-8.999999999992347,-94.00000000001629,,-770.9999999999906
2018.09.17,-33.000000000005244,33.00000000001635,-15.999999999993797,-63.00000000000195,-125.0,7.0000000000014495,-78.00000000000028,-83.9999999999952,-141.00000000001955,-194.0000000000053,189.00000000001694,-95.00000000000064,-336.00000000000296,-35.999999999991594,-139.00000000000023,,-1110.9999999999823
2018.09.17,-43.00000000000415,19.00000000001345,-7.0000000000014495,-109.99999999999899,-111.0000000000042,-4.999999999999449,-112.99999999999643,-87.99999999999919,-96.00000000000364,-184.00000000000637,269.00000000000813,-114.99999999999844,-394.00000000000546,-96.99999999999153,-128.000000000017,,-1203.0000000000048
2018.09.17,-43.999999999999595,18.0000000000069,-9.999999999998899,-114.00000000000298,-120.99999999999511,-20.0000000000089,-120.99999999999334,-102.99999999999754,-141.9999999999959,-235.00000000000742,220.00000000002018,-191.99999999999218,-421.99999999998903,-97.9999999999981,-123.00000000000644,,-1506.9999999999582
2018.09.17,-25.00000000000835,60.000000000015596,39.999999999995595,-44.99999999999504,-198.99999999999807,18.999999999991246,-53.999999999998494,-14.999999999998348,-284.00000000002024,-205.00000000001074,149.00000000002134,-140.99999999999113,-228.99999999999034,-34.000000000000696,-62.000000000006494,,-1024.999999999994
2018.09.17,-48.99999999999905,36.0000000000138,49.99999999999449,-27.999999999994696,-218.9999999999941,10.999999999994348,-48.99999999999905,-10.999999999994348,-296.99999999999704,-185.00000000001293,99.00000000000463,-158.99999999999804,-224.000000000002,-3.999999999992898,-79.00000000000685,,-1107.9999999999839
2018.09.17,-48.000000000003595,43.999999999999595,53.00000000001415,-17.999999999995797,-176.00000000000193,27.999999999994696,-41.9999999999976,-14.000000000002899,-206.99999999999363,-174.00000000000747,98.0000000000203,-167.9999999999904,-231.0000000000034,-17.000000000000348,-76.0000000000094,,-947.9999999999778
