date,EURUSD,USDCAD,EURAUD,EURNZD,NZDCAD,empty,sum
2017.11.20,87.99999999999919,-51.000000000001044,292.00000000000335,217.99999999998488,-109.99999999999899,,436.9999999999874
2017.11.20,-201.00000000000674,-101.00000000001774,7.0000000000014495,-49.00000000001015,-43.00000000000415,,-387.00000000003723
2017.11.20,-455.0000000000054,-190.00000000000128,-341.99999999999784,-544.0000000000111,-173.9999999999964,,-1705.000000000012
2017.11.20,-509.00000000000387,-297.0000000000139,-343.00000000000443,-449.0000000000105,-161.99999999999548,,-1760.0000000000282
2017.11.20,-371.99999999999454,-175.00000000001404,-243.99999999999977,-304.9999999999997,-112.000000000001,,-1208.000000000009
2017.11.20,-415.0000000000098,-144.0000000000108,-320.00000000000915,-443.0000000000156,-126.99999999999933,,-1449.0000000000448
2017.11.20,-391.9999999999924,-219.99999999999798,-330.0000000000081,-448.000000000004,-200.99999999999562,,-1590.999999999998
2017.11.20,-404.0000000000044,-229.00000000001253,-317.9999999999961,-531.0000000000148,-243.99999999999977,,-1726.0000000000275
2017.11.20,-588.0000000000107,-363.0000000000022,-402.9999999999978,-548.0000000000151,-207.00000000000162,,-2109.0000000000277
2017.11.20,-486.00000000000864,-296.0000000000074,-357.00000000000733,-572.0000000000169,-244.99999999999523,,-1956.0000000000357
2017.11.20,-496.99999999999187,-273.0000000000121,-351.0000000000124,-611.000000000006,-244.99999999999523,,-1977.0000000000175
2017.11.20,-485.0000000000021,-245.0000000000063,-326.0000000000041,-769.0000000000197,-310.9999999999946,,-2136.000000000027
2017.11.20,-513.0000000000078,-234.00000000000088,-388.0000000000106,-859.0000000000098,-329.999999999997,,-2324.000000000026
2017.11.20,-564.000000000009,-249.00000000001032,-480.00000000001376,-1024.0000000000027,-382.00000000000455,,-2699.0000000000405
2017.11.20,-537.9999999999941,-226.00000000001506,-438.00000000000506,-1048.0000000000045,-404.0000000000044,,-2654.000000000023
2017.11.20,-516.0000000000053,-198.00000000000927,-530.0000000000082,-1141.0000000000143,-444.9999999999954,,-2830.0000000000327
2017.11.20,-502.00000000000244,-215.00000000000963,-570.0000000000039,-1268.0000000000025,-529.0000000000017,,-3084.00000000002
2017.11.20,-493.0000000000101,-218.00000000000708,-524.0000000000133,-943.000000000005,-378.00000000000057,,-2556.000000000036
2017.11.20,-341.99999999999784,-128.000000000017,-309.0000000000037,-759.0000000000208,-334.9999999999964,,-1873.0000000000357
2017.11.20,-309.0000000000037,-52.000000000007596,-317.9999999999961,-969.0000000000199,-410.9999999999947,,-2059.000000000022
2017.11.20,-75.00000000000284,-6.000000000017103,-86.0000000000083,-640.0000000000183,-387.99999999999943,,-1195.000000000046
2017.11.20,134.99999999999625,-36.0000000000138,204.00000000000418,-296.0000000000074,-390.99999999999693,,-384.0000000000177
2017.11.20,90.99999999999665,35.999999999991594,123.99999999999079,-275.000000000003,-297.9999999999983,,-322.0000000000223
2017.11.20,92.00000000000318,17.999999999984695,166.99999999998383,-409.99999999999926,-378.00000000000057,,-511.00000000002814
2017.11.20,1.999999999990898,-87.99999999999919,75.00000000000284,-412.00000000001234,-385.000000000002,,-808.0000000000198
2017.11.20,28.999999999990145,-137.00000000000932,278.00000000000045,-400.00000000000034,-432.9999999999945,,-663.0000000000135
2017.11.20,35.999999999991594,-194.0000000000053,259.9999999999936,-411.0000000000058,-482.00000000000466,,-791.0000000000306
2017.11.20,-93.99999999999409,-168.0000000000126,72.99999999998974,-577.0000000000052,-453.99999999999886,,-1220.000000000021
2017.11.20,-32.999999999994145,-192.99999999999872,248.99999999998812,-436.00000000001415,-441.99999999999795,,-855.0000000000168
2017.11.20,-22.999999999995246,-204.00000000000418,234.00000000000088,-527.0000000000108,-502.00000000000244,,-1022.0000000000118
2017.11.20,-100.0000000000112,-169.00000000001913,163.00000000000205,-497.0000000000141,-407.99999999999727,,-1011.0000000000397
2017.11.20,-144.0000000000108,-174.00000000000747,253.99999999999866,-369.0000000000193,-315.9999999999941,,-749.0000000000331
2017.11.20,-171.00000000001003,-137.00000000000932,173.00000000000094,-408.00000000000836,-287.0000000000039,,-830.0000000000307
2017.11.20,-283.99999999999534,-206.00000000001728,-80.99999999999774,-650.0000000000173,-371.99999999999454,,-1593.0000000000223
2017.11.20,-408.9999999999927,-329.00000000000153,-106.00000000000608,-668.0000000000019,-370.9999999999991,,-1883.0000000000014
2017.11.20,-371.99999999999454,-352.000000000019,-181.00000000000892,-637.0000000000209,-404.0000000000044,,-1946.0000000000477
2017.11.20,-331.999999999999,-296.0000000000074,-104.00000000001519,-597.0000000000031,-373.00000000000114,,-1702.0000000000257
2017.11.20,-451.0000000000014,-323.0000000000066,-204.00000000000418,-646.0000000000132,-329.00000000000153,,-1953.000000000027
2017.11.20,-448.000000000004,-318.00000000001825,-219.00000000001364,-539.0000000000006,-270.0000000000036,,-1794.00000000004
2017.11.20,-381.99999999999346,-238.0000000000049,-151.9999999999966,-540.0000000000072,-265.0000000000041,,-1577.0000000000064
2017.11.20,-365.99999999999966,-252.0000000000078,-127.00000000001043,-493.0000000000101,-270.0000000000036,,-1508.0000000000318
2017.11.20,-487.99999999999955,-350.00000000000585,-182.0000000000155,-604.0000000000045,-302.9999999999977,,-1927.0000000000232
2017.11.20,-530.9999999999926,-318.00000000001825,-245.0000000000063,-689.0000000000063,-292.00000000000335,,-2075.000000000027
2017.11.20,-531.9999999999991,-453.99999999999886,-234.00000000000088,-642.0000000000092,-356.9999999999962,,-2219.0000000000045
2017.11.20,-527.0000000000108,-432.0000000000102,-266.999999999995,-684.000000000018,-370.9999999999991,,-2281.0000000000327
2017.11.20,-564.000000000009,-443.99999999999994,-287.9999999999994,-696.0000000000077,-360.0000000000048,,-2352.000000000021
2017.11.20,-517.9999999999962,-540.0000000000072,-241.00000000000233,-619.000000000014,-417.0000000000007,,-2335.00000000002
2017.11.20,-522.0000000000002,-548.0000000000151,-307.99999999999716,-811.0000000000061,-414.00000000000324,,-2603.0000000000223
2017.11.21,-517.9999999999962,-496.00000000000756,-324.9999999999975,-687.9999999999998,-395.99999999999636,,-2422.9999999999973
2017.11.21,-517.0000000000119,-463.9999999999977,-224.000000000002,-689.0000000000063,-397.0000000000029,,-2291.0000000000205
2017.11.21,-497.99999999999847,-508.00000000001955,-269.00000000000813,-741.0000000000139,-461.99999999999574,,-2478.000000000036
2017.11.21,-480.99999999999807,-501.0000000000181,-327.00000000001063,-672.0000000000059,-436.00000000000307,,-2417.000000000036
2017.11.21,-449.0000000000105,-457.00000000001853,-356.00000000000074,-762.0000000000182,-475.0000000000032,,-2499.000000000051
2017.11.21,-421.0000000000047,-460.000000000016,-93.00000000000975,-686.0000000000089,-463.9999999999977,,-2124.0000000000373
2017.11.21,-510.00000000001046,-529.0000000000017,51.99999999998539,-619.000000000014,-409.99999999999926,,-2016.0000000000402
2017.11.21,-517.0000000000119,-510.00000000001046,-39.999999999995595,-411.0000000000058,-288.9999999999948,,-1767.0000000000184
2017.11.21,-517.0000000000119,-468.00000000000176,-58.000000000002494,-457.00000000001853,-280.9999999999979,,-1781.0000000000325
2017.11.21,-504.9999999999999,-451.0000000000014,-46.999999999997044,-334.00000000001205,-219.00000000000253,,-1556.000000000013
2017.11.21,-479.0000000000072,-428.00000000000614,-29.00000000001235,-421.0000000000047,-265.99999999999955,,-1623.00000000003
2017.11.21,-469.99999999999267,-419.9999999999982,-4.000000000004,-467.0000000000174,-287.9999999999994,,-1649.0000000000116
2017.11.21,-479.0000000000072,-438.00000000000506,48.99999999998794,-421.0000000000047,-273.9999999999965,,-1563.0000000000255
2017.11.21,-466.00000000001086,-446.0000000000131,49.99999999999449,-405.0000000000109,-275.99999999999847,,-1543.0000000000387
2017.11.21,-473.0000000000123,-436.00000000001415,-22.0000000000109,-489.0000000000061,-304.00000000000426,,-1724.0000000000477
2017.11.21,-435.9999999999919,-429.00000000001273,-15.00000000000945,-401.00000000000693,-287.0000000000039,,-1568.0000000000248
2017.11.21,-419.9999999999982,-439.0000000000116,-17.000000000000348,-415.0000000000098,-314.0000000000032,,-1605.0000000000232
2017.11.21,-425.0000000000087,-428.00000000000614,-51.000000000001044,-405.0000000000109,-297.9999999999983,,-1607.000000000025
2017.11.21,-405.9999999999952,-421.0000000000047,-90.00000000001229,-518.0000000000184,-361.0000000000002,,-1796.000000000031
2017.11.21,-490.999999999997,-469.0000000000083,-109.00000000000354,-474.0000000000189,-309.0000000000037,,-1852.0000000000314
2017.11.21,-350.9999999999902,-676.0000000000099,160.00000000000458,-79.00000000000685,-351.99999999999676,,-1297.999999999999
2017.11.21,-466.00000000001086,-703.0000000000092,127.99999999999478,-209.9999999999991,-354.9999999999942,,-1606.0000000000186
2017.11.21,-486.00000000000864,-519.0000000000028,-489.0000000000061,-696.0000000000077,-458.00000000000284,,-2648.000000000028
2017.11.21,-567.0000000000064,-451.0000000000014,-673.0000000000125,-861.0000000000007,-436.9999999999985,,-2989.0000000000196
2017.11.21,-490.999999999997,-297.0000000000139,-931.0000000000151,-1015.0000000000103,-468.9999999999972,,-3203.0000000000337
2017.11.21,-483.0000000000112,-295.0000000000008,-790.0000000000018,-973.0000000000016,-448.9999999999994,,-2990.000000000015
