,Unnamed: 0,names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
0,0,GBPUSD,10,['EURGBP'],80.0,0.19680444444444342,B
1,1,EURUSD,15,"['EURGBP', 'CHFJPY', 'NZDUSD', 'USDJPY']",100.0,-0.8135016666666666,S
2,2,USDJPY,15,"['EURNZD', 'EURGBP', 'EURCAD']",100.0,0.9042,B
3,3,USDCAD,10,"['NZDCAD', 'AUDNZD']",100.0,-0.4938368253968405,S
4,4,AUDUSD,10,"['GBPAUD', 'AUDJPY', 'EURAUD']",80.0,-0.5036346031746057,S
5,5,NZDUSD,10,['AUDUSD'],80.0,-0.9912200000000004,S
6,6,GBPCHF,30,['NZDCHF'],100.0,-0.40853843893026737,S
7,7,EURCHF,10,"['EURAUD', 'GBPAUD', 'AUDJPY']",80.0,-0.13429420634920744,S
8,8,CADCHF,10,"['EURNZD', 'NZDUSD', 'NZDJPY', 'NZDCAD', 'AUDUSD', 'AUDCAD', 'NZDCHF']",80.0,0.8457,B
9,9,AUDCHF,10,"['NZDCHF', 'AUDCHF']",100.0,-0.9871,S
10,10,NZDCHF,10,"['AUDNZD', 'GBPUSD', 'EURCAD', 'EURUSD']",80.0,-0.9895,S
11,11,EURGBP,10,['NZDCHF'],80.0,0.33607563492063364,B
12,12,EURJPY,10,"['NZDCAD', 'AUDNZD']",100.0,0.4916923809523918,B
13,13,EURCAD,15,"['EURNZD', 'NZDUSD', 'NZDJPY', 'NZDCAD', 'AUDUSD', 'AUDCAD', 'AUDCHF', 'NZDCHF', 'EURCHF', 'GBPAUD']",80.0,-0.4346,S
14,14,EURNZD,20,"['GBPUSD', 'NZDUSD', 'CHFJPY', 'USDCHF']",100.0,0.9944172619047622,B
15,15,CADJPY,10,['NZDCAD'],80.0,0.9903100000000008,B
16,16,NZDJPY,50,"['USDCHF', 'GBPCAD', 'GBPUSD']",80.0,0.5542655751489677,B
17,17,NZDCAD,15,"['NZDUSD', 'NZDJPY', 'EURNZD', 'GBPUSD', 'AUDUSD', 'GBPAUD', 'AUDJPY', 'EURAUD', 'CHFJPY']",100.0,-0.9018,S
18,18,AUDNZD,10,"['NZDUSD', 'AUDUSD', 'GBPJPY', 'NZDJPY', 'AUDCHF', 'CADJPY']",80.0,0.6024,B
