date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,NZDJPY,AUDCAD,empty,sum
2017.05.08,87.99999999999919,-15.00000000000945,85.99999999998609,-53.999999999998494,-1.0000000000065512,1.999999999990898,119.99999999999788,94.00000000000519,49.99999999999449,-84.0000000000174,-11.00000000000545,93.00000000000975,151.9999999999966,164.99999999999292,33.00000000000125,-66.0000000000025,-60.99999999999994,,590.9999999999345
2017.05.08,41.000000000002146,-15.00000000000945,37.99999999998249,-66.99999999999484,-19.00000000000235,15.00000000000945,75.9999999999983,47.00000000000814,12.000000000000899,-90.00000000001229,-33.00000000001635,8.999999999992347,45.99999999999049,58.000000000002494,-16.999999999995907,-115.99999999999966,-51.000000000001044,,-66.00000000004513
2017.05.08,151.00000000000114,203.99999999998198,306.9999999999906,-201.00000000000674,-36.0000000000027,-123.99999999999079,107.00000000000153,103.00000000000864,34.99999999999615,24.999999999986144,187.99999999998818,235.00000000000742,365.99999999999966,314.99999999999864,-103.9999999999992,-207.9999999999984,-121.99999999999989,,1240.9999999999627
2017.05.08,110.99999999999443,165.9999999999995,232.99999999999432,-190.00000000000128,19.999999999997797,-100.0000000000112,84.99999999999064,130.0000000000079,46.999999999997044,-9.999999999998899,265.99999999998846,137.00000000000932,368.9999999999971,299.99999999998914,-98.99999999998954,-164.00000000000148,-186.99999999998164,,1113.9999999999816
2017.05.08,125.99999999999278,201.99999999999108,293.99999999999426,-194.0000000000053,26.000000000003798,-144.99999999999514,90.99999999999665,145.00000000000622,47.9999999999925,34.000000000000696,325.99999999998187,215.00000000000963,466.9999999999952,364.9999999999931,-126.99999999999534,-201.00000000000762,-197.00000000000273,,1474.9999999999518
2017.05.08,214.00000000000307,148.99999999999915,513.9999999999923,-171.00000000001003,29.999999999996696,-253.99999999999866,169.99999999999238,217.0000000000005,93.99999999999409,-11.00000000000545,273.9999999999965,543.0000000000045,772.9999999999793,645.999999999991,-204.9999999999983,-307.00000000000216,-186.99999999998164,,2488.999999999953
2017.05.08,230.99999999999233,227.99999999998377,480.99999999999807,-117.00000000001154,-114.99999999999844,-214.00000000000307,210.99999999999451,85.00000000000173,10.999999999994348,167.9999999999904,34.99999999998504,553.0000000000035,434.000000000001,380.00000000000256,-110.99999999999,-355.000000000004,49.00000000001015,,1953.9999999999507
2017.05.08,222.99999999999542,298.9999999999826,495.99999999998533,-33.00000000001635,-85.00000000000173,-239.00000000001143,248.99999999999923,107.00000000000153,119.00000000000244,376.9999999999829,197.99999999998707,666.9999999999953,511.99999999997914,666.9999999999953,-66.99999999999307,-233.0000000000041,73.00000000001194,,3329.9999999998913
2017.05.08,185.99999999999727,265.99999999998846,438.9999999999894,58.99999999998684,-92.99999999999864,-221.00000000000452,269.9999999999925,74.00000000000739,198.99999999999363,446.9999999999974,168.99999999999693,689.9999999999907,450.9999999999792,846.9999999999977,36.000000000001364,-72.00000000000273,148.00000000001478,,3894.9999999999272
2017.05.08,161.00000000000003,229.99999999999687,419.9999999999982,8.999999999992347,-206.00000000000617,-226.99999999999943,225.99999999999287,-55.99999999998939,102.00000000000209,332.9999999999833,-175.00000000001404,608.9999999999928,173.00000000000094,618.0000000000074,27.000000000001023,-137.00000000000045,267.0000000000172,,2373.9999999999754
2017.05.08,136.00000000000279,193.99999999998306,373.99999999998545,-1.0000000000065512,-168.00000000000148,-212.99999999999653,201.99999999999108,-39.00000000000014,92.00000000000318,270.99999999999903,-143.00000000000423,533.99999999999,184.99999999999073,565.9999999999999,-34.99999999999659,-183.00000000000693,209.9999999999991,,1981.9999999999318
2017.05.08,181.9999999999933,281.99999999998226,409.99999999999926,28.999999999990145,-143.9999999999997,-198.99999999999363,251.99999999999667,20.0000000000089,112.000000000001,427.99999999998397,34.99999999998504,618.9999999999918,278.00000000000045,588.9999999999951,-10.99999999999568,-186.9999999999976,197.00000000000273,,2891.999999999944
2017.05.08,219.00000000000253,313.99999999999204,482.999999999989,-2.999999999997449,-189.00000000000583,-217.0000000000005,263.99999999999756,3.0000000000085514,242.99999999999324,431.0000000000036,-26.0000000000149,680.9999999999983,289.9999999999903,936.0000000000035,-65.99999999998829,-105.99999999999454,236.99999999999832,,3493.9999999999754
2017.05.08,190.99999999999673,267.99999999997937,451.0000000000014,12.999999999996348,-141.00000000000225,-226.99999999999943,252.99999999999213,31.000000000003247,236.00000000000287,390.0000000000015,22.999999999995246,656.9999999999965,341.99999999999784,923.9999999999915,-31.999999999996476,-67.00000000000728,182.99999999999983,,3494.999999999949
2017.05.08,242.99999999999324,272.99999999998994,525.999999999982,-19.00000000001345,-121.00000000000443,-243.99999999999977,270.99999999999903,87.00000000000374,297.00000000000284,354.9999999999942,73.99999999999629,720.9999999999939,481.99999999998244,1089.999999999991,-36.99999999999193,-25.000000000005684,129.00000000000134,,4101.999999999914
2017.05.08,222.99999999999542,219.99999999999798,437.99999999998283,-9.000000000014552,-95.00000000000064,-184.00000000000637,261.0000000000001,98.0000000000092,303.9999999999932,296.9999999999917,69.9999999999923,618.0000000000074,421.99999999998903,1011.0000000000064,-66.99999999999307,-36.000000000001364,102.00000000000209,,3672.999999999952
2017.05.08,175.99999999999838,194.99999999998963,421.99999999998903,1.999999999990898,-65.99999999999939,-217.0000000000005,234.99999999999633,94.00000000000519,286.99999999999284,268.9999999999859,97.9999999999981,609.9999999999994,456.9999999999963,1031.000000000004,-12.999999999991019,27.999999999991587,73.00000000001194,,3680.999999999959
