date,USDCAD,GBPJPY,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.06.10,-82.00000000000429,-19.000000000005457,-40.00000000000625,-29.000000000001247,0.0,,-170.00000000001725
2019.06.10,-151.9999999999966,12.999999999976808,19.99999999999602,-4.999999999999449,-24.999999999997247,,-149.00000000002046
2019.06.10,-235.00000000000742,19.99999999998181,22.999999999996135,63.00000000000195,88.00000000001029,,-41.000000000017224
2019.06.10,-293.0000000000099,-43.00000000000637,-61.00000000000705,34.99999999999615,119.00000000000244,,-243.00000000002473
2019.06.10,-293.0000000000099,-72.00000000000273,-88.00000000000807,39.00000000000014,143.00000000000423,,-271.00000000001637
2019.06.10,-304.9999999999997,-82.99999999999841,-84.00000000000318,55.000000000005045,152.00000000000767,,-264.9999999999886
2019.06.10,-289.0000000000059,-135.00000000001933,-123.00000000000466,51.000000000001044,162.0000000000066,,-334.0000000000223
2019.06.10,-334.9999999999964,-134.00000000001455,-124.00000000000944,-4.999999999999449,178.00000000000037,,-420.00000000001955
2019.06.10,-355.0000000000164,-88.99999999999864,-99.00000000000375,-85.99999999999719,75.00000000000284,,-554.0000000000132
2019.06.10,-331.999999999999,-100.99999999999909,-93.00000000000352,-105.99999999999498,57.00000000000705,,-574.9999999999895
2019.06.10,-324.0000000000132,-105.00000000001819,-103.00000000000864,-105.99999999999498,37.00000000000925,,-601.0000000000258
2019.06.10,-347.0000000000084,-58.9999999999975,-91.00000000000819,-127.99999999999478,31.000000000003247,,-594.0000000000056
2019.06.10,-357.00000000000733,-40.99999999999682,-88.00000000000807,-170.99999999999892,-39.00000000000014,,-696.0000000000113
2019.06.10,-344.00000000001097,-58.000000000021146,-106.00000000000875,-197.99999999999818,-69.9999999999923,,-776.0000000000314
2019.06.10,-358.9999999999982,-44.00000000001114,-55.00000000000682,-217.0000000000005,-102.99999999999754,,-778.0000000000141
2019.06.10,-367.0000000000062,-12.000000000000455,-1.0000000000047748,-222.99999999999542,-88.99999999999464,,-692.0000000000015
