date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,AUDCAD,NZDCAD,empty,sum
2019.09.02,-107.99999999999699,-135.9999999999806,24.999999999986144,78.00000000000028,-5.999999999994898,-19.00000000000235,130.0000000000079,-84.00000000000318,-234.00000000000088,-80.99999999999774,-24.00000000000091,-51.99999999999649,-71.00000000000995,,-581.9999999999895
2019.09.02,-66.99999999999484,-73.99999999999629,18.999999999991246,76.0000000000094,-12.000000000000899,-38.0000000000047,135.00000000000733,16.999999999995907,-192.99999999999872,-96.00000000000719,54.99999999999261,-51.99999999999649,-100.00000000000009,,-330.00000000000273
2019.09.02,-43.00000000000415,-159.99999999998238,-21.00000000000435,107.99999999999699,-24.999999999997247,-60.00000000000449,106.00000000000608,-282.0000000000107,-353.0000000000033,-217.0000000000005,-173.00000000000182,-87.99999999999919,-141.00000000000225,,-1349.0000000000073
2019.09.02,41.9999999999976,-200.99999999998454,-19.00000000001345,43.999999999999595,-53.999999999998494,-72.0000000000054,76.0000000000094,-324.0000000000123,-333.0000000000055,-202.00000000001327,-171.00000000000648,-83.9999999999952,-120.00000000000898,,-1418.0000000000368
2019.09.02,-0.999999999995449,-219.99999999999798,-6.000000000017103,35.999999999991594,-92.99999999999864,-99.00000000000463,58.000000000002494,-338.99999999999864,-350.9999999999902,-124.00000000001299,-155.00000000000114,-134.0000000000008,-145.00000000000622,,-1573.0000000000298
2019.09.02,-9.999999999998899,-183.99999999998417,-5.000000000010552,49.99999999999449,-22.999999999995246,-33.000000000005244,85.00000000000173,-328.00000000000296,-316.99999999998954,-261.0000000000001,-173.00000000000182,-47.9999999999925,-72.0000000000054,,-1318.9999999999902
2019.09.02,-46.999999999997044,-158.99999999999804,5.999999999994898,35.999999999991594,-14.999999999998348,-1.0000000000065512,93.00000000000975,-368.9999999999998,-259.0000000000092,-245.0000000000063,-227.00000000000387,-24.999999999997247,-21.999999999999797,,-1234.00000000002
2019.09.02,-7.9999999999968985,-86.99999999999264,24.000000000001798,63.99999999999739,36.0000000000027,43.999999999999595,132.0000000000099,-185.00000000000227,-195.9999999999962,-265.0000000000041,-111.0000000000042,23.00000000000635,20.999999999993246,,-507.9999999999854
2019.09.02,-27.999999999994696,-130.99999999999224,-7.0000000000014495,35.999999999991594,-34.000000000000696,-3.0000000000085514,123.00000000000644,-290.9999999999968,-222.99999999999542,-131.99999999999878,-198.99999999999807,-43.999999999999595,-21.999999999999797,,-954.999999999988
2019.09.02,-58.99999999999794,-190.99999999998562,-9.000000000014552,28.000000000005798,-68.00000000000139,-92.00000000000318,84.0000000000063,-391.9999999999959,-296.0000000000074,-151.00000000001222,-234.99999999999943,-88.99999999999464,-136.00000000000279,,-1606.0000000000027
2019.09.02,-109.99999999999899,-142.99999999998204,12.999999999996348,21.00000000000435,-65.99999999999939,-99.00000000000463,101.00000000000664,-368.9999999999998,-218.99999999999142,-83.00000000001084,-237.99999999999955,-82.99999999999974,-143.9999999999997,,-1418.9999999999786
2019.09.02,-92.00000000000318,-151.9999999999966,-5.000000000010552,39.00000000001125,-43.999999999999595,-106.00000000000608,108.00000000000809,-337.99999999999386,-251.00000000000122,-155.00000000001623,-219.99999999999886,-64.99999999999284,-165.9999999999995,,-1446.999999999999
2019.09.02,-71.99999999999429,-180.99999999998673,-26.0000000000149,18.0000000000069,-46.00000000000159,-136.99999999999824,104.00000000000409,-399.0000000000009,-273.9999999999965,-192.99999999999872,-268.0000000000007,-54.999999999993946,-189.00000000000583,,-1717.9999999999814
2019.09.02,-75.00000000000284,-198.99999999999363,-2.0000000000131024,39.00000000001125,-44.99999999999504,-104.00000000000409,75.00000000000284,-362.99999999999955,-313.99999999999204,-222.00000000001108,-194.00000000000261,-65.99999999999939,-157.00000000000713,,-1627.0000000000064
2019.09.02,-71.99999999999429,-201.99999999999108,-21.00000000000435,29.999999999996696,-54.999999999993946,-107.00000000000153,82.99999999999974,-366.9999999999902,-309.99999999998806,-197.00000000000273,-213.99999999999864,-76.99999999999375,-159.00000000000912,,-1667.9999999999714
2019.09.02,-109.99999999999899,-190.00000000000128,20.999999999982144,42.999999999993044,-24.000000000001798,-99.00000000000463,63.00000000000195,-394.00000000000546,-304.9999999999997,-265.0000000000041,-207.9999999999984,-39.00000000000014,-156.00000000000057,,-1663.0000000000382
2019.09.02,-143.9999999999997,-191.99999999999218,18.999999999991246,0.0,-52.99999999999194,-118.00000000000699,62.000000000006494,-436.00000000000705,-261.0000000000001,-189.00000000001694,-240.99999999999966,-56.0000000000005,-155.00000000000514,,-1764.0000000000225
2019.09.02,-121.00000000000443,-222.99999999999542,34.000000000000696,48.000000000003595,-35.999999999991594,-102.00000000000209,25.00000000000835,-450.9999999999934,-364.00000000000875,-282.0000000000045,-213.99999999999864,-63.99999999999739,-164.00000000000858,,-1913.9999999999925
2019.09.02,-138.00000000000477,-306.9999999999906,1.999999999990898,32.999999999994145,-68.99999999999685,-104.00000000000409,-12.999999999996348,-509.00000000001455,-453.99999999999886,-319.0000000000026,-221.00000000000364,-95.00000000000064,-153.00000000000313,,-2347.000000000031
2019.09.02,-92.99999999999864,-210.99999999998343,76.99999999999375,46.999999999997044,-47.9999999999925,-81.00000000000884,-3.999999999992898,-397.99999999999613,-344.99999999999534,-239.00000000001143,-129.0000000000049,-71.99999999999429,-132.0000000000099,,-1627.9999999999973
