date,GBPUSD,EURUSD,USDCAD,GBPCHF,EURCHF,CHFJPY,AUDCHF,EURGBP,GBPJPY,GBPCAD,EURCAD,EURNZD,AUDJPY,AUDCAD,NZDCAD,empty,sum
2015.09.21,-35.00000000000725,-68.00000000000139,-125.99999999998168,-15.00000000000945,0.0,-15.999999999991132,-161.99999999999548,-105.00000000001064,-56.99999999998795,-44.0000000000218,0.0,-299.00000000000483,-108.99999999999466,-173.9999999999964,0.0,,-1210.0000000000027
2015.09.21,-48.99999999998794,-63.99999999999739,-105.99999999998388,-29.999999999996696,109.99999999998789,13.00000000000523,-117.99999999999588,-96.00000000000719,-78.00000000000296,-71.00000000002105,-14.000000000002899,-404.0000000000044,-60.99999999999284,-91.99999999999208,34.000000000000696,,-1025.9999999999914
2015.09.21,-82.99999999998863,-63.99999999999739,-95.00000000000064,-22.999999999995246,95.00000000000064,33.00000000000125,-173.9999999999964,-84.0000000000063,-36.99999999997772,-73.99999999999629,-42.0000000000087,-275.000000000003,-60.99999999999284,-146.99999999999713,-9.999999999998899,,-1040.9999999999573
2015.09.21,-96.00000000000719,-143.99999999998857,-21.999999999988695,-154.99999999999403,96.00000000000719,53.00000000001148,-142.99999999999312,-160.00000000000458,5.000000000023874,-26.000000000037105,-42.0000000000087,-204.99999999998852,-62.99999999998818,-100.99999999999554,24.000000000001798,,-978.99999999995
2015.09.21,2.999999999997449,-115.99999999998278,-3.999999999981796,-113.00000000000753,130.0000000000079,75.00000000000284,-170.99999999999892,-174.00000000000747,153.00000000002,166.99999999998383,-22.999999999995246,-218.99999999999142,-63.99999999999295,-100.99999999999554,16.0000000000049,,-440.9999999999368
2015.09.21,-55.000000000005045,-92.00000000000318,-24.999999999986144,-43.999999999999595,143.00000000000423,93.00000000000352,-152.99999999999204,-121.00000000000443,-2.999999999985903,62.99999999996864,-46.999999999997044,-490.999999999997,-34.99999999999659,-85.00000000000173,112.99999999999643,,-738.9999999999959
2015.09.21,-157.99999999999147,-219.99999999999798,-27.999999999983594,-60.99999999999994,121.99999999999989,89.00000000001285,-184.99999999999073,-147.00000000000824,82.99999999999841,-23.00000000001745,-32.999999999994145,-504.9999999999999,-61.99999999999761,-134.99999999999625,117.00000000000044,,-1145.999999999966
2015.09.21,-178.99999999999582,-242.99999999999324,-35.999999999991594,-62.99999999999084,163.00000000000205,185.00000000000227,-78.99999999999574,-152.00000000000767,200.00000000001705,-99.00000000002684,137.9999999999937,-713.0000000000081,106.00000000000875,-64.99999999999284,172.00000000000549,,-664.9999999999734
2015.09.21,-208.99999999999253,-310.9999999999946,-3.999999999981796,-75.00000000000284,181.9999999999933,110.00000000001364,-111.99999999998988,-176.0000000000095,69.00000000001683,-150.00000000000568,161.99999999999548,-763.0000000000026,7.000000000005002,-87.99999999999919,172.00000000000549,,-1185.999999999949
2015.09.21,-194.0000000000053,-319.999999999987,7.0000000000014495,-83.00000000001084,204.00000000000418,98.00000000001319,-13.999999999991797,-186.00000000000838,134.00000000001455,-51.00000000002325,144.0000000000108,-980.0000000000031,118.99999999999977,-5.999999999994898,192.99999999999872,,-934.9999999999819
2015.09.21,-157.00000000000713,-295.99999999998516,2.0000000000131024,-49.99999999999449,225.99999999999287,166.00000000001103,77.00000000000485,-198.00000000000927,157.0000000000107,-35.00000000000725,133.00000000000534,-1140.0000000000077,287.00000000000614,187.9999999999993,322.9999999999955,,-316.9999999999722
2015.09.21,-175.99999999999838,-283.99999999999534,-2.999999999997449,-72.99999999998974,238.99999999998923,189.00000000000716,132.0000000000099,-198.00000000000927,228.00000000000864,-73.99999999999629,174.00000000000747,-1188.9999999999957,370.00000000000455,252.0000000000078,375.9999999999986,,-36.99999999994884
2015.09.21,-147.00000000000824,-271.99999999998334,6.000000000017103,-79.99999999999119,187.00000000000384,187.00000000001182,94.00000000000519,-179.00000000000693,284.00000000002024,-7.0000000000014495,146.00000000000168,-1137.9999999999945,317.99999999999784,195.00000000000074,387.99999999999943,,-17.999999999927866
2015.09.21,-195.9999999999962,-370.00000000000364,18.0000000000069,-85.00000000000173,219.99999999999798,194.00000000000261,94.00000000000519,-218.00000000000708,257.000000000005,-8.000000000008,188.00000000001037,-1374.0000000000086,326.9999999999982,187.00000000000384,421.0000000000047,,-344.9999999999903
2015.09.21,-198.00000000000927,-391.9999999999924,48.000000000003595,-95.00000000000064,252.99999999999213,171.00000000000648,100.00000000000009,-238.0000000000049,289.0000000000157,-1.0000000000065512,272.00000000000557,-1563.0000000000032,329.9999999999983,170.00000000000347,478.0000000000006,,-375.99999999999073
2015.09.21,-192.99999999999872,-392.9999999999989,45.000000000006146,-147.00000000000824,219.99999999999798,111.0000000000042,102.00000000000209,-236.00000000000287,272.0000000000198,19.999999999997797,268.0000000000016,-1546.000000000003,297.00000000001125,170.00000000000347,504.00000000000443,,-505.99999999996305
2015.09.21,-127.99999999999478,-322.00000000000006,29.00000000001235,-129.00000000000134,188.9999999999947,52.00000000000671,127.00000000001043,-218.00000000000708,117.00000000001864,20.99999999995994,180.0000000000024,-1673.9999999999977,288.0000000000109,192.00000000000327,570.0000000000039,,-705.999999999978
2015.09.21,-160.00000000000458,-287.9999999999994,46.0000000000127,-113.00000000000753,175.99999999999838,43.00000000000637,142.00000000000878,-193.00000000000983,66.0000000000025,11.999999999989797,87.99999999999919,-1668.9999999999873,276.00000000001046,250.00000000000577,629.0000000000018,,-694.9999999999729
