date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURAUD,AUDNZD,empty,sum
2017.07.10,-83.9999999999952,-43.00000000001525,-14.000000000002899,-72.00000000000273,-2.000000000002,0.0,-89.9999999999892,-34.99999999999615,-29.000000000001247,-17.999999999995797,-8.000000000008,0.0,-5.000000000010552,-52.99999999999727,-21.00000000000435,-225.00000000000853,,-699.0000000000292
2017.07.10,-32.999999999994145,-70.0000000000145,-34.000000000000696,21.99999999999136,17.000000000000348,55.000000000005045,-201.99999999999818,-12.000000000000899,-39.00000000000014,-202.0000000000022,-76.0000000000094,126.0000000000039,-45.000000000006146,-214.999999999975,21.999999999988695,-3.0000000000196536,,-689.0000000000316
2017.07.10,0.0,-69.00000000000794,-53.999999999998494,34.99999999999659,-19.00000000000235,117.00000000001154,-170.99999999999227,30.000000000007798,17.000000000000348,-36.0000000000027,-41.000000000002146,75.00000000000284,-50.0000000000167,-217.9999999999893,62.99999999999084,65.99999999998829,,-255.0000000000137
2017.07.10,39.00000000000014,-71.00000000002105,-51.99999999998539,57.999999999992724,-3.999999999992898,141.00000000001333,-167.0000000000016,26.000000000003798,29.999999999996696,28.000000000005798,-43.00000000000415,236.99999999999832,-46.0000000000127,-214.999999999975,106.99999999999044,84.99999999997954,,152.999999999988
2017.07.10,30.000000000007798,-101.00000000001774,-53.999999999998494,49.99999999999716,-31.000000000003247,151.00000000001222,-144.99999999999602,34.000000000000696,36.0000000000027,5.999999999994898,-32.0000000000098,178.00000000001148,-33.00000000001635,-170.99999999999227,63.99999999999739,109.99999999998789,,91.99999999997831
2017.07.10,16.0000000000049,-97.00000000001374,-69.9999999999923,47.99999999998761,-61.999999999995396,144.99999999999514,-153.99999999999636,30.000000000007798,31.999999999998696,17.999999999995797,-32.0000000000098,200.00000000000017,-55.000000000005045,-174.99999999998295,34.99999999998504,109.99999999998789,,-11.000000000032571
2017.07.10,18.0000000000069,-112.000000000001,-65.99999999998829,-5.000000000009663,-70.0000000000034,141.00000000001333,-131.00000000000023,42.0000000000087,65.99999999999939,14.999999999998348,-29.000000000001247,177.00000000000495,-21.00000000000435,-153.99999999999636,1.999999999990898,111.99999999997878,,-15.000000000003226
2017.07.10,48.000000000003595,-160.00000000000458,-68.00000000000139,59.99999999998806,-68.00000000000139,211.00000000000563,-225.9999999999991,56.0000000000005,61.999999999995396,-4.000000000004,-5.000000000010552,261.0000000000001,-94.00000000001629,-284.9999999999966,-9.999999999998899,170.99999999998784,,-51.00000000005167
2017.07.10,48.99999999999905,-141.00000000001333,-78.00000000000028,187.99999999998818,-60.99999999999994,197.00000000000273,-296.99999999999704,68.00000000000139,60.99999999999994,-4.999999999999449,-29.000000000001247,175.99999999999838,-92.00000000000318,-369.9999999999761,21.00000000000435,192.99999999999872,,-119.99999999999787
2017.07.10,31.000000000003247,-167.00000000000603,-116.99999999998934,195.99999999999795,-66.99999999999484,205.99999999999508,-337.99999999999386,55.000000000005045,63.00000000000195,-51.000000000001044,-27.00000000001035,197.00000000000273,-58.000000000002494,-452.99999999997453,62.99999999999084,226.99999999999943,,-239.99999999997618
