date,EURUSD,USDJPY,AUDUSD,EURCHF,CADCHF,AUDCHF,EURGBP,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2021.11.01,-26.999999999999247,-61.99999999999761,-70.99999999999883,109.00000000000354,-197.99999999999818,-203.99999999999307,14.999999999998348,-38.0000000000047,-24.000000000001798,-99.99999999998899,-200.00000000000017,-120.00000000000455,-173.99999999999238,-162.9999999999967,-15.999999999993797,,-1272.9999999999684
2021.11.01,-23.00000000001745,-45.99999999999227,-33.000000000005244,68.00000000000139,-136.99999999999824,-136.99999999999824,7.0000000000014495,79.99999999999119,49.99999999999449,-5.999999999994898,-144.99999999999514,-69.00000000000261,-118.99999999999977,-128.0000000000001,-45.99999999999049,,-684.0000000000059
2021.11.01,-16.000000000016,-64.99999999999773,-55.000000000005045,79.00000000000685,-163.00000000000205,-161.00000000000003,7.9999999999968985,49.00000000001015,22.999999999995246,-36.999999999998145,-222.99999999999542,-109.99999999999943,-153.99999999999636,-189.99999999999773,-74.99999999998064,,-1089.9999999999793
2021.11.01,-67.00000000001705,-137.00000000000045,-58.000000000002494,95.00000000000064,-190.00000000000128,-197.99999999999818,-4.999999999999449,-12.999999999996348,-2.0000000000131024,-112.000000000001,-371.99999999999454,-140.00000000000057,-211.9999999999891,-278.0000000000058,-116.99999999998934,,-1806.000000000008
2021.11.01,-42.0000000000087,-79.9999999999983,-75.9999999999983,83.00000000001084,-192.00000000000327,-193.99999999999417,-12.000000000000899,28.000000000005798,-34.000000000000696,-107.99999999999699,-310.9999999999946,-141.9999999999959,-186.9999999999976,-228.9999999999992,-80.99999999999774,,-1576.9999999999695
2021.11.01,-76.0000000000094,32.00000000001069,2.999999999997449,83.00000000001084,-165.00000000000404,-143.9999999999997,34.99999999999615,56.99999999999594,27.999999999983594,5.999999999994898,-153.00000000000313,18.000000000000682,-12.000000000000455,-42.00000000000159,-51.000000000001044,,-381.0000000000291
2021.11.01,-41.000000000002146,55.999999999997385,24.999999999997247,74.0000000000185,-148.99999999999915,-100.00000000000009,41.000000000002146,143.00000000000423,40.99999999997994,93.99999999999409,-157.00000000000713,18.000000000000682,27.000000000001023,-52.99999999999727,-109.99999999998789,,-90.99999999999841
2021.11.01,-60.99999999999994,-54.000000000002046,-34.000000000000696,67.00000000001705,-178.99999999999582,-159.9999999999935,2.999999999997449,53.999999999998494,-29.00000000001235,-53.999999999998494,-340.00000000000693,-99.00000000000375,-122.99999999999045,-209.00000000000318,-134.99999999999625,,-1352.9999999999905
2021.11.01,-60.000000000015596,10.000000000005116,-6.0000000000060005,94.00000000001629,-219.99999999999798,-151.00000000000114,-1.0000000000065512,133.00000000000534,-66.00000000001049,7.0000000000014495,-324.0000000000132,-73.0000000000075,-43.99999999999693,-156.0000000000059,-163.9999999999864,,-1021.0000000000194
2021.11.01,-82.00000000000429,11.00000000000989,-9.00000000000345,54.0000000000207,-209.9999999999991,-142.99999999999312,-29.000000000001247,147.00000000000824,-103.00000000000864,-32.999999999994145,-339.0000000000004,-79.00000000000773,-45.99999999999227,-150.00000000000568,-146.99999999998602,,-1157.9999999999573
2021.11.01,-93.00000000000975,-86.99999999998909,24.000000000001798,83.00000000001084,-219.00000000000253,-136.99999999999824,-21.00000000000435,197.00000000000273,-81.00000000001995,24.000000000001798,-259.0000000000092,-135.00000000000512,-79.9999999999983,-170.0000000000017,-131.99999999999878,,-1086.0000000000198
2021.11.01,-123.00000000000644,-96.9999999999942,56.99999999999594,102.00000000000209,-212.00000000000108,-131.99999999999878,-26.999999999999247,251.00000000000122,-70.0000000000145,62.000000000006494,-287.9999999999994,-114.00000000000432,-49.99999999999716,-174.0000000000066,-173.99999999998528,,-989.0000000000014
2021.11.01,-145.00000000001734,-155.9999999999917,107.00000000000153,100.0000000000112,-192.99999999999872,-103.99999999999298,-14.999999999998348,303.9999999999932,-3.0000000000196536,127.00000000001043,-174.00000000000747,-100.99999999999909,-38.99999999998727,-140.00000000000057,-145.99999999997948,,-577.9999999999762
2021.11.01,-112.000000000001,-153.99999999999636,75.9999999999983,114.0000000000141,-187.00000000000384,-118.99999999999133,12.999999999996348,222.99999999999542,10.999999999983245,113.00000000000753,-202.9999999999976,-112.99999999999955,-69.99999999999318,-176.00000000000193,-156.00000000000057,,-739.9999999999905
2021.11.01,-49.00000000001015,-161.99999999999193,46.999999999997044,137.00000000000932,-202.9999999999976,-125.99999999999278,-4.000000000004,293.99999999999426,24.000000000001798,134.00000000001188,-252.0000000000078,-164.00000000000148,-107.99999999998988,-253.0000000000001,-201.99999999999108,,-886.9999999999725
2021.11.01,7.999999999985796,-132.99999999999557,-14.000000000002899,132.00000000002098,-183.99999999999528,-139.00000000000023,24.999999999997247,177.99999999998929,43.999999999999595,86.0000000000083,-432.9999999999945,-173.00000000000182,-156.99999999999648,-364.0000000000043,-286.99999999999284,,-1410.9999999999827
2021.11.01,-70.0000000000145,-203.00000000000296,64.99999999999284,150.00000000000568,-195.00000000000074,-130.99999999999224,39.00000000000014,208.00000000000819,56.99999999999594,140.99999999999113,-392.9999999999989,-155.00000000000114,-118.99999999999977,-335.9999999999985,-297.9999999999983,,-1240.0000000000132
2021.11.01,-78.00000000000028,-248.99999999999523,108.99999999999244,146.00000000000168,-209.9999999999991,-87.99999999999919,90.99999999999665,202.9999999999976,28.999999999990145,222.99999999999542,-307.99999999999716,-207.9999999999984,-102.99999999999443,-322.00000000000273,-299.99999999998914,,-1065.0000000000016
