date,AUDCHF,NZDCAD,empty,sum
2015.10.05,-51.99999999999649,-24.999999999997247,,-76.99999999999373
2015.10.05,-58.99999999999794,-39.00000000000014,,-97.99999999999808
2015.10.05,23.00000000000635,-46.00000000000159,,-22.999999999995243
2015.10.05,7.0000000000014495,-29.999999999996696,,-22.999999999995246
2015.10.05,-4.999999999999449,38.0000000000047,,33.000000000005244
2015.10.05,-92.99999999999864,-46.00000000000159,,-139.00000000000023
2015.10.05,-95.00000000000064,-115.99999999999389,,-210.99999999999454
2015.10.05,-104.99999999999955,-2.999999999997449,,-107.99999999999699
2015.10.05,-39.999999999995595,-63.00000000000195,,-102.99999999999754
2015.10.05,26.999999999999247,-104.99999999999955,,-78.0000000000003
2015.10.05,64.0000000000085,-171.99999999999437,,-107.99999999998587
2015.10.05,119.00000000000244,-125.99999999999278,,-6.999999999990337
2015.10.05,77.00000000000485,-85.00000000000173,,-7.999999999996888
2015.10.05,80.00000000000229,11.00000000000545,,91.00000000000773
2015.10.05,100.00000000000009,-68.00000000000139,,31.999999999998693
2015.10.05,18.0000000000069,-70.99999999999883,,-52.999999999991935
2015.10.05,-5.999999999994898,-119.00000000000244,,-124.99999999999734
2015.10.05,-4.999999999999449,-187.9999999999993,,-192.99999999999875
2015.10.05,106.00000000000608,-259.9999999999936,,-153.9999999999875
2015.10.05,47.00000000000814,-142.99999999999312,,-95.99999999998498
2015.10.05,21.999999999999797,-303.9999999999932,,-281.9999999999934
2015.10.05,70.0000000000034,-409.99999999999926,,-339.99999999999585
2015.10.05,242.00000000000887,-571.9999999999948,,-329.9999999999859
2015.10.05,258.0000000000027,-443.99999999999994,,-185.99999999999727
2015.10.05,272.00000000000557,-434.9999999999965,,-162.9999999999909
2015.10.05,291.0000000000079,-500.9999999999959,,-209.999999999988
2015.10.05,318.00000000000716,-424.9999999999976,,-106.99999999999045
2015.10.05,383.0,-539.999999999996,,-156.99999999999602
2015.10.05,378.00000000000057,-470.9999999999992,,-92.99999999999864
2015.10.05,421.0000000000047,-558.9999999999984,,-137.9999999999937
2015.10.05,443.0000000000045,-568.0000000000018,,-124.99999999999733
2015.10.05,422.00000000000017,-419.00000000000273,,2.999999999997442
2015.10.05,253.0000000000032,-380.999999999998,,-127.9999999999948
2015.10.05,343.00000000000443,-285.9999999999974,,57.00000000000705
2015.10.05,289.0000000000059,-327.99999999999494,,-38.99999999998903
2015.10.05,470.00000000000375,-300.99999999999574,,169.00000000000801
2015.10.05,458.00000000000284,-244.99999999999523,,213.00000000000762
2015.10.05,468.00000000000176,-275.99999999999847,,192.0000000000033
2015.10.05,540.0000000000072,-227.99999999999488,,312.0000000000123
2015.10.05,530.0000000000082,-212.00000000000108,,318.0000000000071
2015.10.05,530.0000000000082,-217.0000000000005,,313.0000000000077
2015.10.05,554.00000000001,-385.99999999999744,,168.00000000001256
2015.10.05,647.0000000000086,-354.9999999999942,,292.00000000001444
2015.10.05,668.0000000000019,-342.9999999999933,,325.00000000000864
2015.10.05,604.0000000000045,-251.99999999999667,,352.00000000000784
2015.10.05,593.0000000000102,-239.0000000000003,,354.0000000000099
2015.10.05,597.0000000000031,-231.99999999999886,,365.0000000000042
2015.10.05,565.0000000000044,-139.00000000000023,,426.0000000000042
2015.10.06,538.0000000000051,-73.99999999999629,,464.0000000000088
2015.10.06,537.0000000000097,-31.000000000003247,,506.0000000000064
2015.10.06,598.0000000000097,-43.999999999999595,,554.0000000000101
2015.10.06,562.0000000000069,-37.99999999999359,,524.0000000000133
2015.10.06,550.000000000006,-41.000000000002146,,509.00000000000387
2015.10.06,593.0000000000102,-70.99999999999883,,522.0000000000114
2015.10.06,594.0000000000057,-85.00000000000173,,509.000000000004
2015.10.06,443.0000000000045,-26.999999999999247,,416.00000000000523
2015.10.06,550.000000000006,-26.999999999999247,,523.0000000000068
2015.10.06,577.0000000000052,-78.99999999999574,,498.0000000000095
2015.10.06,611.000000000006,-195.00000000000074,,416.0000000000053
2015.10.06,570.9999999999993,-198.99999999999363,,372.0000000000057
