date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCAD,EURJPY,NZDJPY,empty,sum
2015.09.28,0.0,-52.000000000007596,-24.999999999991473,-49.99999999999449,-19.00000000000235,-148.99999999999915,-91.99999999998454,-69.00000000000261,,-455.9999999999822
2015.09.28,123.00000000000644,-9.999999999998899,-33.999999999991815,-45.99999999999049,8.000000000008,-140.99999999999113,-82.99999999999841,-108.00000000000409,,-290.99999999996044
2015.09.28,192.00000000000327,-56.99999999999594,-37.9999999999967,-64.99999999998174,21.999999999999797,-34.000000000000696,-175.99999999998772,-170.0000000000017,,-325.99999999996146
2015.09.28,280.00000000000244,-17.000000000000348,27.000000000001023,-92.00000000000318,84.0000000000063,-78.99999999998464,-156.99999999998226,-192.99999999999784,,-146.9999999999585
2015.09.28,279.00000000000705,-46.999999999997044,-36.000000000001364,-51.99999999998539,14.000000000002899,-44.0000000000218,-149.0000000000009,-135.99999999999568,,-170.99999999999224
2015.09.28,280.00000000000244,-95.00000000000064,-138.9999999999958,11.00000000000545,4.999999999999449,26.999999999999247,-108.99999999998045,-91.00000000000819,,-110.99999999997846
2015.09.28,129.9999999999968,-229.99999999999687,-246.9999999999999,-4.999999999988347,28.000000000005798,29.00000000001235,-103.999999999985,-97.99999999999898,,-496.9999999999542
2015.09.28,197.00000000000273,-165.9999999999995,-210.99999999999852,-54.99999999998284,-39.999999999995595,-10.999999999983245,-64.99999999999773,-170.0000000000017,,-520.9999999999563
2015.09.28,197.00000000000273,-83.9999999999952,-105.99999999999454,-58.99999999998684,-58.000000000002494,-19.999999999997797,-64.99999999999773,-185.00000000000227,,-379.99999999997414
2015.09.28,219.00000000000253,-25.999999999992696,-167.0000000000016,4.000000000004,-59.99999999999339,24.999999999986144,12.000000000000455,-165.00000000000625,,-158.0000000000008
2015.09.28,275.99999999999847,-19.999999999997797,-179.9999999999926,-17.999999999984695,-31.999999999998696,14.000000000002899,103.00000000000864,-218.00000000000352,,-74.99999999996732
2015.09.28,253.0000000000032,-85.00000000000173,-190.9999999999883,-60.99999999999994,-88.99999999999464,-16.000000000016,43.00000000000637,-271.0000000000008,,-416.9999999999918
2015.09.28,253.99999999999866,-107.99999999999699,-225.9999999999991,-68.99999999998573,-100.99999999999554,8.000000000008,45.000000000015916,-313.0000000000024,,-509.99999999995714
2015.09.28,296.0000000000074,-46.999999999997044,-205.99999999998886,-87.99999999999919,-70.99999999999883,-21.00000000000435,97.00000000000841,-346.00000000000364,,-385.9999999999761
2015.09.28,322.00000000000006,5.999999999994898,-202.99999999998875,-92.00000000000318,-43.999999999999595,-7.0000000000014495,103.00000000000864,-320.99999999999795,,-235.99999999998735
2015.09.28,312.00000000000114,45.000000000006146,-244.99999999999034,-131.99999999999878,21.999999999999797,-49.00000000001015,224.00000000001796,-179.00000000000205,,-1.9999999999762679
2015.09.28,312.9999999999966,68.00000000000139,-277.000000000001,-130.99999999999224,41.9999999999976,-112.00000000002319,242.00000000001864,-171.00000000000648,,-26.000000000008754
2015.09.28,333.0000000000055,46.999999999997044,-333.999999999989,-60.99999999999994,58.99999999999794,-172.0000000000166,259.00000000001455,-144.99999999999602,,-13.999999999986471
2015.09.28,309.0000000000037,48.000000000003595,-269.999999999996,-78.99999999998464,21.00000000000435,-243.99999999999977,243.99999999999977,-245.00000000000455,,-215.99999999997357
2015.09.28,324.00000000000205,133.99999999998968,-272.99999999999613,-93.99999999999409,-51.99999999999649,-273.0000000000121,317.0000000000073,-293.99999999999693,,-210.99999999999676
2015.09.28,326.9999999999995,133.99999999998968,-316.99999999999307,-73.99999999999629,-68.00000000000139,-167.9999999999904,318.00000000001205,-272.00000000000557,,-119.99999999998545
2015.09.28,192.00000000000327,-12.999999999996348,-222.99999999999898,-143.99999999998857,-98.99999999999353,-270.99999999999903,133.00000000000978,-329.00000000000773,,-753.9999999999711
2015.09.28,158.0000000000026,-55.000000000005045,-228.9999999999992,-53.999999999998494,-5.999999999994898,-10.000000000021103,109.00000000000887,-99.00000000000375,,-186.00000000001103
2015.09.28,148.99999999999915,-86.0000000000083,-327.99999999998875,-28.999999999990145,-29.000000000001247,245.0000000000063,105.00000000001819,-28.999999999996362,,-1.999999999961176
2015.09.28,156.00000000000057,-55.000000000005045,-435.99999999999284,-89.99999999999008,-58.000000000002494,328.9999999999793,257.000000000005,-9.000000000000341,,93.99999999999409
2015.09.28,104.00000000000409,-117.99999999999588,-488.9999999999901,-92.99999999998754,-75.9999999999983,228.99999999999034,311.00000000000705,18.000000000000682,,-113.99999999996965
2015.09.28,207.99999999999707,-19.999999999997797,-461.9999999999891,-93.99999999999409,-63.99999999999739,231.0000000000034,370.00000000000455,36.99999999999193,,206.0000000000186
2015.09.28,292.00000000000335,93.99999999999409,-503.9999999999907,124.00000000001299,163.99999999999747,355.0000000000164,534.0000000000202,295.0000000000017,,1354.0000000000555
2015.09.28,307.99999999999716,124.99999999999733,-466.99999999999875,164.00000000000858,147.00000000000824,222.99999999999542,544.0000000000111,256.0000000000002,,1300.0000000000193
2015.09.28,319.0000000000026,131.99999999999878,-478.9999999999992,273.0000000000121,228.00000000000597,348.00000000001495,561.000000000007,352.00000000000387,,1734.0000000000462
2015.09.28,277.000000000005,126.0000000000039,-447.9999999999933,214.00000000000307,289.0000000000059,218.00000000000708,564.9999999999977,402.9999999999916,,1644.000000000021
2015.09.28,297.9999999999983,194.0000000000053,-414.99999999999204,202.9999999999976,282.99999999999994,195.9999999999962,501.0000000000048,381.0000000000002,,1641.0000000000102
