date,USDJPY,AUDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,CADJPY,AUDCAD,empty,sum
2017.12.04,-94.99999999999886,-39.00000000000014,-93.00000000000975,-39.00000000000014,-36.0000000000027,-33.000000000005244,-60.99999999999994,-2.999999999997449,-81.00000000001728,0.0,-55.00000000000682,-60.00000000000449,,-595.0000000000427
2017.12.04,-90.00000000000341,-90.0000000000012,-66.00000000001049,-19.00000000000235,2.000000000002,-36.0000000000027,113.99999999999189,218.00000000000708,-44.00000000001114,2.999999999997449,-11.00000000000989,-104.99999999999955,,-124.00000000004238
2017.12.04,-31.00000000000591,-68.00000000000139,-66.00000000001049,-9.999999999998899,31.999999999998696,-11.00000000000545,496.99999999999187,605.0000000000111,72.00000000000273,117.00000000001154,-132.000000000005,-157.00000000000713,,847.9999999999817
2017.12.04,-18.000000000000682,-18.0000000000069,-67.00000000001705,-57.00000000000705,-57.00000000000705,-48.99999999999905,861.0000000000007,856.9999999999967,102.00000000000387,137.9999999999937,-8.000000000009777,-155.00000000000514,,1528.999999999942
2017.12.04,-42.00000000000159,-41.000000000002146,79.99999999999119,-63.99999999999739,-72.0000000000054,-62.000000000006494,879.9999999999919,808.0000000000088,60.000000000002274,110.99999999999443,-5.000000000009663,-175.00000000000293,,1477.999999999963
2017.12.04,-28.000000000005798,-62.000000000006494,108.99999999998133,-26.999999999999247,-99.00000000000463,-123.00000000000644,865.0000000000047,651.0000000000016,48.00000000000182,137.00000000000932,51.00000000000193,-228.00000000000597,,1293.9999999999723
2017.12.04,-40.00000000000625,-63.00000000000195,176.99999999998272,-104.00000000000409,-182.99999999999983,-211.00000000000563,703.9999999999935,495.000000000001,81.99999999999363,126.0000000000039,72.99999999999329,-228.00000000000597,,827.9999999999445
2017.12.04,-81.00000000000307,-155.00000000000514,278.00000000000045,-106.00000000000608,-229.00000000000142,-228.00000000000597,695.0000000000011,381.99999999999346,15.999999999991132,1.0000000000065512,96.9999999999942,-308.00000000000824,,361.9999999999571
2017.12.04,-58.9999999999975,-155.00000000000514,204.99999999998852,-96.00000000000719,-229.00000000000142,-207.00000000000162,666.000000000011,327.99999999999494,49.000000000006594,-39.999999999995595,66.99999999999307,-303.0000000000088,,225.99999999997686
2017.12.04,-18.000000000000682,-148.0000000000037,203.99999999998198,-73.00000000000084,-218.00000000000708,-179.00000000000693,668.0000000000019,249.00000000001032,85.99999999998431,-52.99999999999194,63.99999999999295,-345.0000000000064,,236.9999999999539
