date,USDCAD,EURJPY,empty,sum
2021.10.04,-49.99999999999449,134.00000000001455,,84.00000000002007
2021.10.04,-11.999999999989797,163.0000000000109,,151.00000000002112
2021.10.04,-270.99999999999903,-50.99999999998772,,-321.99999999998676
2021.10.04,-236.99999999999832,-87.99999999999386,,-324.99999999999216
2021.10.04,-217.0000000000005,-76.99999999999818,,-293.9999999999987
2021.10.04,-178.99999999999582,-19.000000000005457,,-198.00000000000128
2021.10.04,-130.99999999999224,0.0,,-130.99999999999224
2021.10.04,-14.000000000002899,18.000000000000682,,3.999999999997783
2021.10.04,-96.99999999999153,-40.99999999999682,,-137.99999999998835
2021.10.04,35.999999999991594,31.00000000000591,,66.9999999999975
2021.10.04,-58.000000000002494,-30.000000000001137,,-88.00000000000364
2021.10.04,-95.00000000000064,-44.999999999987494,,-139.99999999998812
2021.10.04,-99.00000000000463,10.99999999999568,,-88.00000000000895
2021.10.04,-123.00000000000644,39.99999999999204,,-83.0000000000144
2021.10.04,-190.00000000000128,27.000000000015234,,-162.99999999998604
2021.10.04,-248.00000000000378,-13.999999999981583,,-261.99999999998533
2021.10.04,-249.00000000001032,-45.99999999999227,,-295.0000000000026
2021.10.04,-165.9999999999995,-57.999999999992724,,-223.9999999999922
2021.10.04,-110.99999999999443,-6.000000000000227,,-116.99999999999466
2021.10.04,-90.99999999999665,-98.99999999998954,,-189.9999999999862
2021.10.04,-63.99999999999739,-242.999999999995,,-306.9999999999924
2021.10.04,-173.00000000000094,-299.99999999998295,,-472.99999999998386
2021.10.04,-146.00000000000168,-346.00000000000364,,-492.00000000000534
2021.10.04,-229.99999999999687,-384.9999999999909,,-614.9999999999877
2021.10.04,-334.9999999999964,-454.9999999999841,,-789.9999999999804
2021.10.04,-283.000000000011,-394.00000000000546,,-677.0000000000165
2021.10.04,-242.99999999999324,-472.0000000000084,,-715.0000000000016
2021.10.04,-296.0000000000074,-574.9999999999886,,-870.999999999996
2021.10.04,-289.0000000000059,-575.9999999999934,,-864.9999999999993
2021.10.04,-360.0000000000048,-472.0000000000084,,-832.0000000000132
2021.10.04,-397.0000000000029,-447.00000000000273,,-844.0000000000057
2021.10.04,-459.0000000000094,-445.99999999999795,,-905.0000000000073
2021.10.04,-548.9999999999995,-481.9999999999993,,-1030.9999999999989
2021.10.04,-763.0000000000026,-507.000000000005,,-1270.0000000000077
2021.10.04,-703.9999999999935,-347.99999999998477,,-1051.9999999999782
2021.10.04,-699.0000000000052,-138.00000000000523,,-837.0000000000105
2021.10.04,-591.9999999999925,-150.00000000000568,,-741.9999999999982
2021.10.04,-709.0000000000041,-168.99999999998272,,-877.9999999999868
2021.10.04,-726.0000000000044,-127.9999999999859,,-853.9999999999903
2021.10.04,-655.9999999999899,-66.0000000000025,,-721.9999999999924
2021.10.04,-656.9999999999965,-88.99999999999864,,-745.9999999999951
2021.10.04,-619.9999999999983,-109.99999999998522,,-729.9999999999835
2021.10.04,-618.9999999999918,-128.99999999999068,,-747.9999999999825
2021.10.04,-629.9999999999973,-156.0000000000059,,-786.0000000000032
2021.10.04,-594.99999999999,-143.00000000000068,,-737.9999999999907
2021.10.04,-666.000000000011,-147.99999999999613,,-814.0000000000072
2021.10.04,-574.0000000000078,-144.00000000000546,,-718.0000000000133
2021.10.04,-563.0000000000024,-144.9999999999818,,-707.9999999999842
2021.10.05,-598.0000000000097,-76.99999999999818,,-675.0000000000078
2021.10.05,-607.0000000000019,-67.99999999998363,,-674.9999999999856
2021.10.05,-602.999999999998,-199.99999999998863,,-802.9999999999866
2021.10.05,-560.0000000000049,-156.99999999998226,,-716.9999999999872
2021.10.05,-540.9999999999915,-138.00000000000523,,-678.9999999999967
2021.10.05,-546.000000000002,-149.0000000000009,,-695.000000000003
2021.10.05,-479.0000000000072,-84.00000000000318,,-563.0000000000105
2021.10.05,-404.0000000000044,-52.99999999999727,,-457.00000000000165
2021.10.05,-323.0000000000066,-98.99999999998954,,-421.99999999999613
2021.10.05,-348.9999999999993,-146.99999999999136,,-495.9999999999907
2021.10.05,-375.9999999999986,-162.9999999999825,,-538.9999999999811
2021.10.05,-401.99999999999125,-198.0000000000075,,-599.9999999999987
2021.10.05,-344.00000000001097,-164.99999999999204,,-509.000000000003
2021.10.05,-309.0000000000037,-188.99999999999295,,-497.99999999999665
2021.10.05,-283.99999999999534,-195.99999999999795,,-479.9999999999933
2021.10.05,-252.0000000000078,-168.99999999998272,,-420.9999999999905
2021.10.05,-222.99999999999542,-159.9999999999966,,-382.99999999999204
2021.10.05,-226.99999999999943,-162.00000000000614,,-389.00000000000557
2021.10.05,-242.00000000000887,-156.0000000000059,,-398.0000000000148
2021.10.05,-353.0000000000033,-185.00000000000227,,-538.0000000000056
2021.10.05,-429.99999999999704,-218.9999999999941,,-648.9999999999911
2021.10.05,-394.9999999999898,-86.99999999998909,,-481.9999999999789
2021.10.05,-489.0000000000061,-187.99999999998818,,-676.9999999999943
2021.10.05,-514.9999999999987,-187.99999999998818,,-702.9999999999869
2021.10.05,-490.999999999997,-168.00000000000637,,-659.0000000000034
2021.10.05,-510.99999999999477,-236.99999999999477,,-747.9999999999895
