,name,direction
0,USDJPY,S
1,GBPCHF,S
2,EURCHF,B
3,AUDCHF,B
4,NZDCHF,S
5,EURGBP,B
6,GBPCAD,B
7,EURCAD,B
8,EURNZD,B
9,AUDJPY,S
10,NZDJPY,S
11,NZDCAD,B
