date,EURCHF,EURCAD,EURAUD,EURNZD,empty,sum
2020.05.11,-1.0000000000065512,-60.99999999999994,-221.99999999998886,-374.0000000000077,,-658.000000000003
2020.05.11,-18.999999999991246,-142.99999999998204,-346.9999999999862,-392.9999999999989,,-901.9999999999584
2020.05.11,7.0000000000014495,-144.99999999999514,-437.99999999998283,-686.0000000000089,,-1261.9999999999854
2020.05.11,4.000000000004,-220.99999999998232,-341.99999999999784,-608.0000000000085,,-1166.9999999999845
2020.05.11,9.999999999998899,-151.9999999999966,-400.9999999999847,-729.0000000000018,,-1271.999999999984
2020.05.11,8.000000000008,-98.99999999998244,-153.9999999999875,-429.99999999999704,,-674.999999999959
2020.05.11,1.999999999990898,-173.99999999998528,-185.99999999999727,-580.0000000000027,,-937.9999999999943
2020.05.11,11.00000000000545,-237.99999999998266,-274.9999999999808,-666.000000000011,,-1167.999999999969
2020.05.11,9.999999999998899,-168.99999999999693,-98.99999999998244,-510.99999999999477,,-768.9999999999752
2020.05.11,4.999999999988347,-123.99999999999079,172.0000000000166,-316.0000000000052,,-262.999999999991
2020.05.11,8.000000000008,-34.99999999998504,257.0000000000183,-337.0000000000095,,-106.99999999996822
2020.05.11,4.999999999988347,-53.999999999998494,182.0000000000155,-544.0000000000111,,-411.0000000000058
2020.05.11,2.999999999997449,-91.99999999998099,104.00000000001519,-581.0000000000093,,-565.9999999999777
2020.05.11,-5.000000000010552,-56.99999999999594,202.9999999999976,-442.9999999999934,,-302.0000000000023
2020.05.11,9.999999999998899,-60.99999999999994,138.0000000000159,-517.0000000000119,,-429.9999999999971
2020.05.11,5.999999999994898,-20.999999999982144,175.99999999999838,-486.00000000000864,,-324.9999999999975
2020.05.11,11.00000000000545,-17.999999999984695,77.00000000001594,-652.9999999999925,,-582.9999999999558
2020.05.11,-8.999999999992347,-89.99999999999008,-43.999999999999595,-710.999999999995,,-853.999999999977
2020.05.11,-46.999999999997044,-49.99999999999449,9.000000000014552,-686.0000000000089,,-773.9999999999859
2020.05.11,-43.999999999999595,26.999999999999247,-98.99999999998244,-750.0000000000063,,-865.9999999999891
2020.05.11,-45.000000000006146,43.00000000001525,55.000000000005045,-615.00000000001,,-561.9999999999959
2020.05.11,-24.000000000001798,-122.99999999998423,-196.99999999998053,-1048.0000000000045,,-1391.9999999999711
2020.05.11,21.00000000000435,-68.99999999998573,-349.99999999998363,-1124.9999999999982,,-1522.9999999999632
2020.05.11,22.999999999995246,-144.99999999999514,-400.00000000000034,-1217.0000000000014,,-1739.0000000000016
2020.05.11,42.0000000000087,-234.99999999998522,-583.9999999999845,-1358.999999999999,,-2135.99999999996
2020.05.11,58.000000000002494,-461.0000000000003,-620.9999999999827,-1439.0000000000125,,-2462.9999999999927
2020.05.11,72.99999999998974,-489.99999999999045,-1126.999999999989,-1832.0000000000114,,-3376.000000000001
2020.05.11,68.00000000000139,-365.99999999999966,-1027.9999999999845,-1631.0000000000048,,-2956.9999999999873
2020.05.11,72.99999999998974,-444.9999999999843,-1080.9999999999986,-1631.0000000000048,,-3083.999999999998
2020.05.11,100.99999999999554,-697.9999999999986,-1489.9999999999914,-2150.999999999992,,-4237.999999999986
2020.05.11,56.99999999999594,-594.99999999999,-1525.999999999983,-2034.0000000000025,,-4097.99999999998
2020.05.11,76.99999999999375,-626.9999999999998,-1482.99999999999,-2028.9999999999918,,-4061.9999999999877
2020.05.11,45.000000000006146,-705.0000000000001,-1493.9999999999952,-1995.9999999999977,,-4149.999999999987
2020.05.11,52.99999999999194,-784.9999999999912,-1400.9999999999857,-1893.9999999999957,,-4026.999999999981
2020.05.11,89.00000000000574,-809.9999999999997,-1305.0000000000007,-1900.999999999997,,-3926.999999999992
2020.05.11,82.99999999998863,-909.9999999999886,-1208.9999999999934,-2000.0000000000018,,-4035.9999999999955
2020.05.11,92.00000000000318,-903.9999999999937,-1168.9999999999977,-2054.0000000000005,,-4034.9999999999886
2020.05.11,96.99999999999153,-876.9999999999944,-1467.9999999999804,-2323.9999999999927,,-4571.999999999976
2020.05.11,106.99999999999044,-784.9999999999912,-1124.9999999999982,-2042.0000000000105,,-3845.0000000000095
2020.05.11,107.99999999999699,-652.9999999999925,-878.000000000001,-1797.000000000004,,-3220.0000000000005
2020.05.11,109.00000000000354,-637.9999999999831,-688.9999999999841,-1682.0000000000057,,-2899.999999999969
2020.05.11,106.99999999999044,-739.0000000000008,-990.9999999999864,-1934.0000000000134,,-3557.00000000001
2020.05.11,109.99999999998789,-767.9999999999909,-1149.0,-2147.00000000001,,-3954.0000000000127
2020.05.11,106.00000000000608,-747.9999999999931,-1041.9999999999873,-1971.0000000000116,,-3654.999999999986
2020.05.11,109.99999999998789,-707.9999999999975,-1017.0000000000013,-2015.9999999999957,,-3631.0000000000064
2020.05.11,112.000000000001,-740.9999999999917,-990.9999999999864,-1971.0000000000116,,-3590.9999999999886
2020.05.11,109.99999999998789,-696.999999999992,-880.9999999999984,-1930.9999999999939,,-3398.9999999999964
2020.05.11,123.99999999999079,-515.9999999999832,-815.9999999999945,-1522.0000000000011,,-2729.999999999988
2020.05.12,107.99999999999699,-613.9999999999812,-828.9999999999909,-1659.9999999999948,,-2994.99999999997
