date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.08.31,-12.000000000000899,-53.00000000001415,-75.00000000000284,-118.00000000000921,-15.00000000000945,-68.99999999999685,-31.999999999998696,-202.9999999999976,-224.000000000002,-48.00000000000182,-2.999999999997449,-31.000000000003247,0.0,-42.0000000000087,-2.0000000000095497,-132.99999999998312,-141.99999999999767,-63.99999999999295,-43.999999999999595,-185.99999999999727,-117.00000000001154,-37.9999999999967,-94.0000000000083,-70.99999999999795,-16.0000000000049,-113.00000000000753,-99.00000000000463,,-2044.000000000055
2015.08.31,6.0000000000060005,2.999999999997449,-65.00000000000395,-70.00000000000739,25.999999999992696,-117.99999999999588,-12.999999999996348,-438.9999999999894,-322.00000000000006,-215.0000000000034,-52.99999999999194,-121.99999999999989,-46.00000000000159,36.999999999998145,33.999999999991815,-139.00000000002245,-168.99999999999693,-27.000000000015234,-21.999999999988695,-199.00000000001583,-108.00000000001918,-22.00000000000557,-106.00000000000875,-58.000000000006935,73.00000000000084,-90.0000000000012,-129.00000000000134,,-2353.000000000085
2015.08.31,104.99999999999955,-21.00000000000435,-14.999999999987246,-256.0000000000002,31.999999999987594,-119.00000000000244,-21.00000000000435,-184.99999999999073,-324.9999999999975,-162.9999999999967,-34.99999999999615,-98.0000000000092,-29.000000000001247,87.99999999999919,114.00000000000432,-78.99999999998464,-235.00000000002962,-21.000000000015007,53.999999999998494,-180.0000000000024,29.999999999996696,-1.0000000000047748,-105.00000000000398,-40.99999999999682,-92.00000000000318,-268.99999999999704,-248.00000000000378,,-2115.000000000046
2015.08.31,52.000000000007596,-53.999999999998494,65.00000000000395,-441.0000000000025,137.9999999999937,46.999999999997044,114.00000000000298,-129.00000000000134,-432.0000000000102,-39.99999999999204,36.0000000000027,115.99999999999389,159.9999999999935,118.99999999999133,340.0000000000034,175.99999999999838,472.9999999999901,-128.99999999999068,278.00000000000045,373.99999999998545,756.0000000000011,216.99999999999875,265.99999999999113,293.99999999999693,-68.00000000000139,-243.99999999999977,-263.99999999999756,,2219.9999999999577
2015.08.31,11.00000000000545,-66.00000000001049,202.00000000001327,-448.0000000000075,219.99999999999798,-7.9999999999968985,26.000000000003798,-170.00000000000347,-388.0000000000106,-48.99999999999238,147.00000000000824,137.9999999999937,100.00000000000009,191.99999999999218,411.00000000000136,295.99999999998516,300.9999999999735,-96.00000000000364,570.0000000000039,500.9999999999959,657.9999999999808,331.00000000000307,211.9999999999891,188.99999999999295,-18.0000000000069,-62.000000000006494,-129.00000000000134,,3070.999999999901
2015.08.31,-9.999999999998899,-49.99999999999449,266.0000000000107,-415.00000000000625,231.0000000000034,-14.999999999998348,-60.99999999999994,-194.99999999998963,-418.0000000000073,-76.99999999999818,178.00000000000037,134.99999999999625,19.00000000000235,252.99999999999213,373.9999999999952,340.00000000000693,279.9999999999692,-125.0,663.999999999998,478.999999999985,425.99999999999307,305.0000000000068,208.99999999998897,84.00000000000318,26.999999999999247,80.00000000000229,-53.999999999998494,,2929.9999999999613
2015.08.31,-39.999999999995595,-100.99999999999554,272.00000000000557,-451.9999999999982,171.99999999999437,34.99999999999615,-65.00000000000395,-219.99999999999798,-504.9999999999999,-126.00000000000477,164.00000000000858,212.99999999999653,39.00000000000014,263.99999999999756,344.99999999999886,288.0000000000216,476.9999999999719,-212.99999999999386,696.0000000000077,692.9999999999881,523.9999999999911,305.0000000000068,259.9999999999909,78.00000000000296,-77.00000000000485,95.00000000000064,126.99999999998823,,3247.9999999999727
2015.08.31,-157.99999999999147,-120.99999999999334,441.0000000000025,-560.0000000000023,192.99999999999872,102.00000000000209,2.999999999997449,-356.9999999999851,-504.9999999999999,-102.00000000000387,179.00000000000693,276.9999999999939,105.99999999999498,328.9999999999904,447.00000000000273,378.999999999996,753.0000000000036,-201.99999999999818,846.9999999999977,985.999999999998,869.999999999993,359.99999999999943,419.9999999999875,218.00000000000352,-102.00000000000209,-19.00000000000235,8.999999999992347,,4792.999999999982
2015.08.31,-135.99999999999167,-187.00000000000384,392.00000000001455,-481.00000000000875,180.0000000000024,-63.00000000000195,92.99999999999864,-323.99999999999096,-487.99999999999955,-102.99999999999443,156.00000000000057,101.99999999999099,339.0000000000004,271.9999999999945,295.99999999999227,429.00000000001273,307.999999999975,-217.00000000001296,771.0000000000106,564.9999999999933,1105.0000000000005,296.99999999999704,185.99999999999284,371.9999999999999,-40.00000000000669,-492.0000000000035,-683.0000000000114,,2648.99999999995
2015.08.31,-51.000000000001044,-202.00000000001327,380.00000000000256,-557.0000000000022,265.0000000000041,-7.9999999999968985,332.99999999999443,-99.99999999998899,-533.0000000000057,-3.0000000000001137,208.00000000000819,156.99999999999602,390.0000000000015,264.999999999993,354.99999999998977,559.9999999999827,495.000000000001,-183.9999999999975,832.0000000000105,651.9999999999859,1655.999999999991,400.99999999999625,272.99999999999613,615.9999999999997,34.99999999999615,-368.9999999999971,-612.0000000000125,,5253.999999999934
