date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.06.10,-65.99999999999939,-36.999999999998145,-40.0000000000178,-31.999999999996476,-82.00000000000429,-24.999999999997247,0.0,-26.000000000003798,-36.999999999998145,-222.99999999999542,-19.000000000005457,-19.999999999997797,-25.00000000000835,-49.99999999999716,-8.000000000008,-134.99999999999625,-18.000000000000682,-22.00000000000557,-52.00000000000671,-29.000000000001247,-66.00000000001049,-21.00000000000435,,-1033.0000000000528
2019.06.10,-73.99999999999629,22.999999999995246,-46.0000000000127,-39.99999999999204,-151.9999999999966,-0.999999999995449,46.999999999997044,-7.0000000000014495,-45.000000000006146,-236.99999999999832,12.999999999976808,73.99999999999629,140.0000000000068,-77.99999999998875,5.999999999994898,-226.99999999999943,-6.000000000000227,-20.000000000010232,-19.99999999999602,-4.999999999999449,-89.00000000000574,21.999999999988695,,-722.0000000000431
2019.06.10,-87.99999999999919,-4.000000000004,-77.00000000001594,-81.00000000000307,-235.00000000000742,12.000000000000899,87.99999999999919,47.9999999999925,-46.999999999997044,-256.99999999999613,19.99999999998181,279.00000000000705,246.99999999999721,-107.99999999998988,211.99999999998997,-296.9999999999917,50.00000000001137,3.0000000000001137,-49.000000000006594,63.00000000000195,-165.00000000000404,14.999999999987246,,-371.00000000004576
2019.06.10,-137.9999999999937,-31.000000000003247,-16.000000000016,-79.9999999999983,-293.0000000000099,55.000000000005045,106.99999999999044,32.999999999994145,-60.00000000000449,-258.0000000000027,-43.00000000000637,282.9999999999888,279.00000000000705,-114.99999999999488,222.99999999999542,-331.999999999999,55.00000000000682,15.000000000000568,-40.99999999999682,34.99999999999615,-158.0000000000026,-16.000000000016,,-496.0000000000596
2019.06.10,-188.9999999999947,-32.999999999994145,51.000000000001044,-1.9999999999953388,-293.0000000000099,90.0000000000012,147.99999999999258,9.999999999998899,-35.00000000000725,-231.99999999999886,-72.00000000000273,302.0000000000023,331.999999999999,45.000000000001705,207.00000000000162,-286.99999999999284,144.00000000000546,107.99999999998988,12.999999999991019,39.00000000000014,-163.00000000000205,-25.00000000000835,,157.99999999997857
2019.06.10,-186.99999999999272,-29.00000000001235,14.999999999987246,-6.999999999990791,-304.9999999999997,78.00000000000028,179.99999999998016,10.999999999994348,-12.000000000000899,-242.99999999999324,-82.99999999999841,323.99999999999096,319.0000000000026,30.000000000001137,254.999999999983,-305.9999999999841,144.00000000000546,99.99999999999432,9.000000000000341,55.000000000005045,-187.00000000000384,-28.000000000005798,,132.99999999996314
2019.06.10,-166.99999999999494,-24.000000000001798,-15.00000000000945,-27.999999999991587,-289.0000000000059,48.99999999999905,145.99999999997948,17.999999999995797,-45.000000000006146,-251.99999999999667,-135.00000000001933,313.00000000000773,293.99999999999426,-25.99999999999625,251.00000000000122,-333.0000000000055,103.9999999999992,57.999999999992724,-46.00000000000648,51.000000000001044,-229.00000000000142,-82.00000000000429,,-387.00000000006924
2019.06.10,-170.99999999999892,-48.000000000003595,-15.00000000000945,-22.999999999996135,-334.9999999999964,95.00000000000064,151.9999999999966,43.999999999999595,-82.00000000000429,-258.9999999999981,-134.00000000001455,340.00000000000693,381.99999999999346,0.0,279.99999999999136,-438.9999999999894,155.00000000000114,149.0000000000009,-13.999999999995794,-4.999999999999449,-221.00000000000452,-117.00000000001154,,-266.0000000000317
2019.06.10,-256.0000000000007,-117.99999999999588,59.99999999999339,-69.99999999999318,-355.0000000000164,158.0000000000026,159.99999999998238,-30.000000000007798,-95.00000000000064,-248.99999999999923,-88.99999999999864,221.00000000000452,462.0000000000068,23.000000000010346,190.00000000000128,-476.9999999999941,106.00000000000875,172.9999999999876,12.999999999991019,-85.99999999999719,-188.00000000001037,-110.00000000001009,,-557.0000000000354
2019.06.10,-246.00000000000176,-134.99999999999625,68.99999999998573,-72.00000000000273,-331.999999999999,197.99999999999818,140.99999999999113,-21.00000000000435,-117.00000000000044,-261.0000000000001,-100.99999999999909,224.000000000002,507.9999999999973,22.00000000000557,195.9999999999962,-519.9999999999872,106.99999999999932,190.9999999999883,48.00000000000182,-105.99999999999498,-93.00000000000975,-100.0000000000112,,-400.0000000000412
2019.06.10,-226.99999999999943,-87.00000000001484,73.99999999999629,-39.99999999999204,-324.0000000000132,201.00000000000674,186.99999999998164,-16.0000000000049,-109.00000000000354,-243.99999999999977,-105.00000000001819,246.99999999999721,537.9999999999941,43.00000000000637,198.99999999999363,-512.9999999999857,121.00000000000932,204.9999999999983,79.9999999999983,-105.99999999999498,-82.00000000000429,-80.00000000001339,,-38.000000000062286
2019.06.10,-227.99999999999488,-92.00000000000318,72.99999999998974,-45.000000000001705,-347.0000000000084,221.00000000000452,182.99999999999983,-13.00000000000745,-131.00000000000333,-232.99999999999432,-58.9999999999975,262.999999999991,605.0000000000111,30.000000000001137,197.99999999998707,-561.9999999999958,127.00000000000955,221.9999999999942,85.99999999999852,-127.99999999999478,-67.00000000000594,-80.99999999999774,,21.999999999981767
