date,USDCHF,GBPUSD,USDCAD,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,AUDCAD,empty,sum
2021.05.24,-41.9999999999976,170.00000000000347,53.00000000001415,186.9999999999976,-90.0000000000012,-122.99999999999534,-39.00000000000014,176.00000000001614,28.999999999996362,52.000000000007596,15.999999999993797,,389.00000000003485
2021.05.24,-10.999999999994348,107.99999999999699,43.999999999999595,222.99999999999898,-141.00000000000225,-163.00000000000205,-33.000000000005244,187.00000000001182,1.0000000000047748,50.0000000000167,2.999999999997449,,268.00000000002245
2021.05.24,-34.000000000000696,5.999999999994898,-80.99999999999774,349.9999999999943,-175.00000000000293,-200.00000000000017,-136.99999999999824,183.9999999999975,85.00000000000796,-87.99999999999919,-119.00000000000244,,-209.00000000000676
2021.05.24,-7.9999999999968985,2.999999999997449,-102.99999999998644,347.999999999999,-146.00000000000168,-234.99999999999633,-167.00000000000603,129.99999999999545,85.99999999998431,-158.99999999999804,-124.99999999999733,,-376.0000000000066
2021.05.24,12.999999999996348,25.00000000000835,-15.999999999993797,361.99999999999477,-172.00000000000549,-222.99999999999542,-163.99999999999747,133.00000000000978,96.00000000000364,-75.99999999998718,-114.00000000000298,,-135.99999999996945
2021.05.24,21.999999999999797,-11.00000000000545,-39.999999999995595,361.99999999999477,-112.99999999999643,-199.00000000000472,-187.00000000000384,72.00000000000273,75.9999999999934,-106.99999999999044,-70.0000000000034,,-195.00000000000915
2021.05.24,12.000000000000899,75.00000000000284,6.000000000017103,369.99999999999034,-185.00000000000182,-207.00000000000162,-152.00000000000767,189.99999999999773,121.99999999998568,-80.99999999999774,-114.99999999999844,,34.99999999998724
2021.05.24,-7.0000000000014495,5.999999999994898,-55.99999999998939,396.99999999999136,-146.00000000000168,-156.99999999999602,-175.00000000000293,177.99999999999727,151.9999999999868,-121.99999999999989,-94.00000000000519,,-24.00000000002622
2021.05.24,2.000000000002,-32.999999999994145,-92.00000000000318,369.99999999999034,-60.99999999999994,-141.00000000000225,-189.00000000000583,93.99999999999409,93.99999999999409,-154.99999999999403,-14.999999999998348,,-126.00000000001722
2021.05.24,19.999999999997797,9.999999999998899,-0.9999999999843467,361.99999999999477,-102.00000000000209,-180.99999999999784,-194.0000000000053,104.00000000001342,117.999999999995,-102.99999999998644,-21.00000000000435,,12.000000000019497
2021.05.24,-19.999999999997797,-2.999999999997449,-59.99999999999339,307.9999999999927,-117.00000000000044,-173.9999999999964,-185.00000000000182,87.99999999999386,80.99999999998886,-136.99999999998712,-41.9999999999976,,-260.99999999999653
