date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2018.09.02,4,2,1,-6,-4,16,-8,-20,-1,-3,12,-9,-8,-24,-2,10,12,10,-6,12,12,30,-24,-12,-24,-3,-3,4
2018.08.26,-24,-24,24,-1,-12,2,-12,-6,-12,-20,18,-20,-30,-20,-8,24,15,36,-6,3,30,20,-6,-24,-12,-16,-12,-12
2018.08.19,-20,-16,20,20,12,-4,1,9,-6,9,36,-15,-18,-8,12,30,24,24,24,20,25,24,12,18,18,-2,6,-9
2018.08.12,-8,4,2,6,18,-16,3,9,4,12,20,24,6,12,9,18,-16,-3,12,-8,5,-6,24,6,24,-5,2,-6
2018.08.05,12,4,-30,-12,-18,16,-8,-25,-20,-12,-18,-6,-8,-16,18,-36,-16,-24,-18,-2,2,30,-24,-18,-30,-2,-12,24
2018.07.29,-16,1,-12,-8,24,-6,-2,-6,-12,-16,36,3,1,-6,2,-6,-15,-8,-6,-10,-8,-1,24,30,-6,-6,-12,6
2018.07.22,-6,6,-1,-12,-24,-6,-2,3,6,-8,-18,12,1,5,-12,-18,-8,12,-30,-20,-6,-20,6,-18,-12,-9,-6,-2
2018.07.15,5,-12,-12,2,-6,-1,1,6,-25,-12,36,-12,-12,-1,16,-18,-12,-16,-6,4,6,-9,-12,-12,9,-2,12,-15
2018.07.08,-1,16,-12,-9,36,12,-2,-12,8,20,36,12,12,1,6,18,-3,-16,36,3,-3,16,36,36,30,4,-6,24
2018.07.01,1,-1,4,3,-6,-3,2,3,20,9,4,6,2,3,-3,18,6,24,6,2,9,-2,18,6,6,-2,2,-2
2018.06.24,3,8,-12,1,18,-8,-12,-20,-2,9,12,12,-4,-20,12,6,-15,6,12,-8,20,36,18,6,-30,-20,-25,25
2018.06.17,-20,-12,1,6,-30,20,1,-3,-12,-8,6,-16,-12,-12,15,-36,12,3,-24,25,16,20,-30,-36,-24,6,6,3
2018.06.10,-12,20,-16,-15,36,20,-16,-9,6,-1,-5,-1,-6,5,-2,24,8,10,-6,2,12,-3,-6,-6,36,-6,9,-12
2018.06.03,5,-8,9,24,18,-1,12,18,4,18,36,-2,3,8,15,36,9,1,36,24,8,6,18,30,36,12,18,-1
2018.05.27,8,-4,2,-6,-30,-2,1,12,-3,-12,6,-2,-3,6,-4,6,2,4,-30,-9,-6,-20,-24,-36,6,1,18,-15
2018.05.20,6,-9,-20,-12,-18,4,8,2,-20,-20,-12,-8,-2,-6,8,-30,-12,-20,-18,-10,-25,-15,-12,-6,-12,20,6,15
2018.05.13,-6,-1,-6,-15,30,16,-6,-8,-8,-20,36,-9,-12,-12,-12,36,6,-1,-12,-12,-12,-4,30,24,12,6,2,15
2018.05.06,-12,3,2,-4,18,-3,1,-12,4,-4,12,4,-3,-9,-5,18,-3,5,6,-9,-1,12,12,6,-18,-8,-12,8
2018.04.29,-9,24,-25,-25,15,3,-10,-12,-6,-3,-24,24,6,2,2,-24,-25,-10,-24,-20,-12,-6,-6,-30,-24,-10,-20,6
2018.04.22,2,24,-20,-20,36,24,-20,-24,-2,1,-6,9,1,-12,3,-6,-10,-3,24,-8,12,24,24,10,-30,-9,-16,24
2018.04.15,-12,12,-10,-3,6,15,-12,-16,-2,24,-18,4,4,-6,16,-18,-6,-3,-6,12,20,30,-24,-18,-30,2,-12,18
2018.04.08,-6,6,24,12,18,-12,16,24,30,24,12,20,16,24,-9,36,-4,-1,30,-12,-12,-16,30,30,36,-3,3,1
2018.04.01,24,18,6,-8,18,-12,-1,9,30,10,6,24,6,20,-15,24,-9,16,6,-20,-2,-12,18,12,18,-16,-9,-9
2018.03.25,20,9,-8,-2,36,1,-2,2,-1,18,36,9,4,18,9,36,-4,-4,36,-2,-1,-6,36,36,36,-1,3,-8
2018.03.18,18,-6,25,9,-12,-25,-1,1,20,-2,-6,12,-6,-6,-18,18,-3,30,-6,-20,12,9,18,-12,-12,-30,-16,-3
2018.03.11,-6,1,20,-2,-18,30,-12,-6,12,-4,-6,-24,-16,-9,-15,-6,36,30,-12,30,20,12,-30,-18,-12,18,24,-12
2018.03.04,-9,30,12,-2,30,-3,12,9,25,20,-6,20,25,20,-6,24,-1,-4,18,-4,-15,-4,18,24,24,18,5,9
2018.02.25,20,8,-15,2,-18,30,-9,-6,-12,9,-24,-16,-9,-4,20,-36,12,-9,-24,36,20,12,-36,-30,-30,24,20,-4
2018.02.18,-4,24,-12,-16,24,12,-12,-9,12,3,-12,2,2,-2,-9,24,6,8,-6,-3,-1,4,-12,-6,-6,-4,-3,2
2018.02.11,-2,-20,30,30,-36,-4,16,24,6,3,-18,-12,-2,9,-1,-24,30,4,-18,30,6,-8,-30,-18,-24,20,20,-8
2018.02.04,9,12,-20,-20,-36,16,-12,-4,-15,-12,-36,-6,-6,2,6,-36,-8,-8,-36,-3,-2,-20,-36,-30,-30,-1,12,-9
2018.01.28,2,-4,-2,4,24,12,-25,-2,-2,1,24,-6,-20,-3,2,12,8,24,18,15,24,8,18,-12,12,-16,3,-20
2018.01.21,-3,-25,25,16,-18,-20,16,18,-4,-30,30,-16,-16,-12,-18,36,20,15,-12,-1,-1,3,-6,-12,-6,1,-1,3
2018.01.14,-12,-18,24,8,-18,2,24,12,6,-6,24,-12,9,1,-9,18,25,-3,-5,6,-16,-6,-12,30,-6,24,12,12
2018.01.07,1,-3,8,10,-30,12,6,20,9,6,-36,-8,-1,-1,4,-30,25,8,-30,15,8,3,-30,-30,-18,12,24,-18
2017.12.31,-1,2,12,10,12,-16,18,12,12,8,18,20,4,4,-1,24,-6,-2,18,-8,-6,-4,24,24,18,-4,-4,4
2017.12.24,4,-16,16,16,-24,-24,20,12,-6,-9,24,-2,-2,-6,1,18,-12,-10,18,-5,-4,3,36,30,18,-2,-8,10
2017.12.17,-6,-3,18,24,18,-12,18,2,12,16,18,12,9,1,9,24,-4,-4,30,-1,8,20,24,24,18,-4,-12,12
2017.12.10,1,-12,-6,-1,-24,1,24,24,-12,-12,-12,-4,20,24,6,-24,-6,-24,-24,2,-30,-30,-18,36,36,30,30,-8
2017.12.03,24,20,-4,-16,12,12,-8,-2,20,15,-24,5,-1,15,-6,12,12,8,-24,3,3,-12,-18,-12,6,1,12,-12
2017.11.26,15,-2,12,-6,18,-2,-3,2,16,-6,12,-2,-2,-1,-16,18,30,15,12,-3,-2,-6,6,12,18,-2,-1,-3
2017.11.19,-1,-8,16,12,-12,-6,9,12,-1,2,18,-6,-2,-1,2,18,12,6,12,8,4,3,-12,12,18,3,12,-12
2017.11.12,-1,-9,3,20,-18,24,-16,-16,-6,18,-6,-16,-16,-20,18,-24,15,15,-6,30,30,36,-24,-30,-24,-9,-12,6
2017.11.05,-20,-6,20,6,-12,-6,3,6,9,1,-12,4,-1,-1,-18,18,9,16,6,-6,3,2,18,-6,-6,-6,-2,-2
2017.10.29,-1,6,-2,4,6,-6,-2,4,4,18,6,6,-1,6,2,-6,-4,2,18,-3,6,-3,12,-5,12,-3,-1,-6
2017.10.22,6,20,-6,-12,-12,30,-20,-9,24,-1,-30,-3,-12,1,-8,-6,30,30,-24,10,15,-3,-30,-36,-18,-8,-2,-12
2017.10.15,1,20,-20,-4,30,16,-15,-20,2,9,24,-1,2,-12,12,12,-8,1,24,12,16,18,12,18,-12,2,-12,15
2017.10.08,-12,-9,30,20,-18,-9,16,24,20,15,-6,-2,9,9,-3,24,16,-1,30,6,-4,-10,-6,24,24,9,12,-6
2017.10.01,9,24,-25,-12,24,9,-9,-20,-20,9,-18,18,5,-6,20,-24,-25,-20,-18,-8,2,15,-12,-12,-24,-6,-20,24
2017.09.24,-6,-4,-8,-16,12,20,-16,-16,-8,-12,12,-12,-12,-12,-3,-12,6,20,-18,3,12,12,-12,-18,-24,-9,-3,-2
2017.09.17,-12,16,-6,4,36,20,-2,8,9,24,-6,-6,6,16,18,24,16,-1,36,25,8,-12,-12,24,36,12,30,-24
2017.09.10,16,24,30,-15,36,4,-18,1,36,24,24,24,18,16,-30,36,24,36,36,-10,1,-12,36,36,30,-12,6,-12
2017.09.03,16,-16,20,24,-24,-25,24,24,4,-2,-12,12,-2,-1,-6,12,12,3,-6,-12,-3,-9,18,-6,-6,-9,-6,-6
2017.08.27,-1,8,4,-3,12,-4,4,-8,8,6,9,8,12,-2,-8,18,-3,-4,12,-10,-10,16,12,12,-6,-1,-8,30
2017.08.20,-2,-6,1,20,5,-12,1,-12,-8,8,18,-1,-9,-16,16,6,-8,2,18,12,25,30,12,6,-24,-9,-12,20
2017.08.13,-16,8,-16,-15,6,-8,2,-3,-3,-4,-6,15,12,6,4,-12,-20,-15,-12,-20,-16,-12,36,30,24,-4,-6,4
2017.08.06,6,-12,-6,3,-30,3,-6,-20,-12,-12,-12,-16,-16,-20,12,-24,-2,2,-24,12,16,30,-24,-24,-30,-1,-24,24
2017.07.30,-20,4,-4,8,6,30,-6,-12,-2,12,-6,-16,-2,-12,12,-6,30,-1,18,30,20,25,-24,-18,-24,18,12,9
2017.07.23,-12,30,24,12,-6,-12,12,16,36,36,-30,30,30,30,-8,30,18,-4,12,-1,-8,1,18,30,18,3,2,6
2017.07.16,30,-20,-16,20,-18,-12,16,8,-30,-2,24,-12,-3,-8,30,-30,-20,-30,18,20,3,10,-12,-6,6,8,6,-3
2017.07.09,-8,-1,15,9,-18,-15,30,6,15,15,-18,12,30,6,-4,6,-4,-25,-12,-10,-24,-3,12,36,-18,12,-12,25
2017.07.02,6,15,-16,-8,36,-12,-16,-9,-2,6,36,20,-2,-2,9,36,-20,3,36,-16,12,9,36,18,36,-20,-16,-6
2017.06.25,-2,-12,25,25,36,-30,24,9,12,24,36,16,4,-4,-2,36,-2,8,36,-3,6,15,36,36,36,-6,-12,24
2017.06.18,-4,-2,-12,-5,24,12,-12,4,-12,-12,30,-6,-12,2,2,-12,-2,3,6,6,6,-6,-4,-6,36,-6,12,-16
2017.06.11,2,9,6,-1,6,-30,20,6,12,10,-18,30,20,9,-6,12,-20,-12,6,-25,-20,-8,24,18,18,-15,-20,9
2017.06.04,9,9,-8,-12,-18,-4,24,12,-2,-2,-18,12,24,24,1,-12,20,-20,-24,-16,-30,-20,6,36,24,24,16,10
2017.05.28,24,-12,16,12,-12,10,-2,20,-3,-2,12,-12,-12,-1,2,10,16,20,12,20,12,-3,-18,-18,12,4,24,-12
2017.05.21,-1,2,-20,-2,24,-12,-1,20,-20,-2,30,12,-1,20,16,-12,-30,-20,30,-8,-4,-30,24,24,36,-6,20,-25
2017.05.14,20,-25,20,30,-24,-20,15,18,-20,-6,18,-12,-12,-12,20,-12,-3,4,12,15,20,15,-18,-18,-12,-6,-3,-2
2017.05.07,-12,24,-24,-24,18,15,-8,-4,18,9,-36,18,18,12,-12,-6,-6,-8,-36,-18,-20,-18,-5,-6,-6,-3,-4,2
2017.04.30,12,-9,3,9,36,5,-6,8,-12,2,36,-12,-8,-1,8,36,9,10,36,20,15,1,30,18,36,-4,18,-15
2017.04.23,-1,15,12,-2,12,20,-20,-30,30,6,6,-6,-9,-12,-12,12,24,36,6,15,12,24,-18,-24,-36,4,-16,12
2017.04.16,-12,-9,30,24,12,20,-9,4,30,-1,18,-25,-16,-2,-12,24,36,36,24,36,30,12,-18,-12,24,9,30,-16
2017.04.09,-2,-6,24,8,-24,-12,16,12,16,-2,-24,10,9,4,-15,-12,8,-1,-24,-12,-8,-8,-18,-18,-18,3,1,2
2017.04.02,4,15,-25,-9,-24,24,-20,-6,-20,3,-18,-4,-16,-2,15,-30,-8,12,-24,-1,24,15,-30,-30,-24,-8,-2,-9
2017.03.26,-2,12,6,-15,12,-4,-1,-6,15,-4,-18,8,6,9,-15,12,2,6,-24,-15,-10,-15,12,12,-12,-3,-12,6
2017.03.19,9,-9,9,12,-24,2,-6,-1,-2,-1,-18,-12,-12,-6,-2,-18,12,15,-12,16,15,6,-24,-24,-18,-12,4,-24
2017.03.05,-6,5,-16,6,24,24,-6,-16,-20,15,12,-6,-2,-12,24,-18,-9,-9,18,25,15,30,-6,12,-18,3,-9,20
2017.02.26,-12,-1,-30,6,24,30,-16,-20,-30,10,30,-30,-12,-25,24,5,8,-12,30,36,20,36,-24,24,-6,24,-2,12
2017.02.19,-25,15,18,-12,-12,-1,-1,-1,24,-2,-18,12,5,8,-24,-6,18,12,-18,-8,-9,-12,-12,-6,-12,-2,-1,-1
2017.02.12,8,-1,-6,-6,-6,1,-4,-6,-6,-2,-12,-2,-2,-2,4,-12,-3,-3,-12,-4,-2,2,-6,-6,-12,-4,-4,3
2017.02.05,-2,24,-2,-24,12,15,4,-8,16,-12,-18,4,16,-3,-24,12,12,-1,-30,-12,-20,1,4,6,-24,18,-4,8
2017.01.29,-3,-6,-8,6,-30,-16,16,6,-16,-6,-36,3,9,1,12,-30,-20,-18,-36,-2,-8,2,-30,-30,-30,6,-9,12
2017.01.22,1,-3,30,-1,6,-25,-1,24,24,-4,12,18,-4,18,-20,24,6,30,6,-20,4,-25,18,6,24,-16,2,-20
2017.01.15,18,-12,36,16,6,15,12,12,30,3,18,-20,4,-1,-20,24,36,30,18,30,-6,1,-24,24,24,25,25,2
2017.01.08,-1,-8,-9,12,-24,-12,30,25,-20,4,-24,-1,24,16,24,-30,-20,-36,-18,2,-30,-15,-24,24,-12,24,20,12
2017.01.01,16,-1,-6,1,12,-20,12,9,-1,-1,12,24,16,10,6,-6,-20,-10,6,-20,-12,-9,30,24,24,-4,-12,8
2016.12.25,10,-9,2,6,-12,-16,1,6,-15,-1,18,-4,-4,-2,2,6,-12,1,6,-3,3,-8,6,6,6,-8,3,-18
2016.12.18,-2,-1,-25,2,-24,25,-12,-12,-25,-4,-36,-20,-16,-12,24,-36,-3,-4,-24,20,25,24,-36,-36,-36,2,1,-3
2016.12.11,-12,6,-8,-8,24,20,-8,-10,2,-2,36,-9,-6,-8,-1,36,16,15,36,20,12,15,18,36,-6,-3,-4,4
2016.12.04,-8,6,-8,-3,24,-8,-2,6,-4,-2,18,16,4,6,3,18,-15,-8,18,-5,-4,-4,24,24,18,-12,-4,3
2016.11.27,6,-2,15,6,12,-20,1,20,20,10,12,20,2,24,-8,18,4,18,12,-12,9,-16,18,12,18,-15,-2,-12
2016.11.20,24,6,16,-2,12,1,16,12,20,10,30,-1,20,18,-8,12,15,-8,12,1,-20,-24,36,36,36,16,12,6
2016.11.13,18,30,-25,-30,36,-2,-20,-24,6,-1,36,20,-3,-1,-2,36,-24,5,30,-30,3,-8,36,30,18,-20,-25,-8
2016.11.06,-1,4,12,-5,12,15,-8,-15,10,-12,18,-6,-6,-12,-15,18,18,12,12,-3,-2,12,6,6,-12,-2,-10,12
2016.10.30,-12,-20,30,12,-18,-2,12,20,3,-12,18,-20,-6,1,-16,18,24,15,-12,15,3,-12,-18,-6,12,15,20,-8
2016.10.23,1,-6,-9,12,36,9,-1,-2,-8,2,36,-12,-3,-9,12,24,2,-6,36,20,8,20,30,30,24,3,2,-2
2016.10.16,-9,4,15,-8,-36,15,-1,15,16,-6,-30,-4,3,15,-12,18,36,12,-24,8,-12,-25,-18,-12,24,20,30,-16
2016.10.09,15,20,-20,-25,18,-12,1,-24,-4,-8,-12,24,24,-3,-1,-24,-24,-15,-18,-24,-20,-4,24,18,-30,-12,-25,20
2016.10.02,-3,12,-36,-8,36,20,-9,-16,-20,12,30,-3,-2,-6,30,-30,-36,-36,36,20,8,12,36,30,-6,4,-2,12
2016.09.25,-6,4,2,1,12,-2,12,6,4,2,12,4,9,9,1,12,-2,-6,6,-2,-9,-9,6,12,18,10,6,3
2016.09.18,9,-16,-2,9,-18,-15,24,-1,-8,-6,-12,-3,18,-8,9,-18,-16,-36,-18,2,-30,8,-12,18,-12,24,-4,20
2016.09.11,-8,6,-15,-6,-12,25,-9,-6,-20,-1,-12,-12,-5,-3,12,-24,-4,-10,-12,20,-1,-1,-30,-30,-18,9,12,1
2016.09.04,-3,-15,-2,15,-36,3,-2,6,-8,-4,-30,-8,-4,-1,9,-36,2,2,-36,8,8,-5,-24,-18,-18,-1,20,-12
2016.08.28,-1,3,15,-2,24,-1,-2,12,20,-3,24,-3,2,15,-16,30,25,15,24,-3,-3,-15,24,18,30,-1,18,-20
2016.08.21,15,25,18,-12,12,12,-3,-2,30,9,-30,9,12,24,-24,24,30,20,-24,-2,-24,-16,6,12,18,8,15,-6
2016.08.14,24,-16,16,20,-24,-12,-2,16,-6,-2,18,-9,-16,-4,6,6,8,15,12,16,25,2,-6,-18,18,-12,8,-16
2016.08.07,-4,-6,-16,20,-12,-30,10,12,-15,10,12,24,6,4,30,-18,-36,-20,24,-16,3,-3,36,-6,24,-8,-4,-4
2016.07.31,4,12,-8,-12,-18,16,2,-6,3,6,-18,1,8,2,6,-18,-1,-10,-18,9,-8,6,-24,-12,-18,12,3,8
2016.07.24,2,-15,8,20,-24,-4,12,20,-8,3,-18,-16,3,12,20,-24,-1,-15,-18,30,-2,-15,-24,-18,-12,24,25,-12
2016.07.17,12,18,-3,-9,36,30,-20,-20,-1,-1,24,-9,-12,-16,-2,20,20,30,-6,24,20,30,-6,-12,-18,-6,-12,8
2016.07.10,-16,2,20,-2,36,-6,3,-20,25,-2,36,6,-1,-15,-20,36,25,25,36,-4,-6,36,36,36,36,-3,-25,30
2016.07.03,-15,16,-20,-6,-30,12,12,8,-16,2,-24,-1,30,20,16,-30,-20,-36,-30,6,-36,-24,-24,-12,-18,30,25,-2
2016.06.26,20,-1,-15,16,36,-8,3,8,-4,30,18,12,6,9,25,-12,-24,-24,24,6,5,-2,24,18,18,1,2,-6
2016.06.19,9,12,-18,-20,-12,4,9,6,-12,-6,-18,8,16,24,15,-18,-18,-24,-12,-12,-24,-36,-18,-6,-12,20,25,-9
2016.06.12,24,-4,4,2,-36,20,-2,-6,2,-3,-36,-12,-4,-6,-3,-36,10,3,-36,20,-1,9,-36,-36,-36,20,9,3
2016.06.05,-6,-20,-10,-8,24,-16,3,16,-24,-25,36,3,-12,4,3,-6,-24,-10,-6,-25,-8,-18,30,18,30,-20,2,-8
2016.05.29,4,-25,-8,20,-18,-4,20,30,-24,6,-12,-24,12,20,20,-18,-10,-24,-12,30,-12,-20,-18,-6,36,30,30,-12
2016.05.22,20,6,16,-12,6,-12,-4,-6,25,-6,-12,16,-2,-6,-16,12,12,25,-24,-15,-2,9,12,-24,-18,-12,-15,9
2016.05.15,-6,24,24,-12,30,15,-2,-2,36,12,-5,6,24,18,-25,36,30,20,24,6,-18,-16,18,36,30,24,20,-3
2016.05.08,18,4,-3,-12,36,-3,-12,-12,-1,-12,36,3,-8,-9,-6,36,-8,20,36,-12,6,4,36,36,36,-16,-20,-2
2016.05.01,-9,8,-5,-3,12,24,-15,-12,1,20,-6,-16,-8,-9,9,-6,30,18,24,36,18,20,-18,-12,-12,-2,12,-12
2016.04.24,-9,-30,12,30,-36,-12,-8,16,-12,2,-18,-24,-25,-4,16,-24,6,24,-18,25,36,4,-24,-36,-18,-15,8,-24
2016.04.17,-4,12,20,-4,30,-25,15,-2,30,12,24,30,24,12,-20,24,-20,4,24,-30,-20,-9,30,30,30,-12,-15,12
2016.04.10,12,16,20,-12,24,-20,25,20,30,15,-12,30,30,30,-24,30,-8,-15,-6,-30,-30,-30,24,30,24,12,6,12
2016.04.03,30,-6,-12,-2,-36,-3,-24,-16,-8,-4,-36,-8,-20,-16,9,-24,-10,30,-36,-3,25,25,-36,-36,-30,-25,-16,-3
2016.03.27,-16,-25,24,30,-18,-30,25,30,-10,-1,36,-1,3,18,8,-6,-15,-10,36,2,-2,-30,36,30,36,2,20,-20
2016.03.20,18,12,-36,-16,24,30,-12,-24,-30,-6,18,-12,-3,-9,24,-30,-16,-25,6,12,-2,12,-12,18,-18,18,1,6
2016.03.13,-9,-12,4,12,-30,-10,3,3,-12,-6,-30,2,-6,-6,10,-36,-20,-4,-30,-8,9,3,-30,-24,-30,-12,-12,-2
2016.03.06,-6,-4,15,8,-18,-8,24,-8,6,15,6,-1,12,-12,4,6,6,-20,6,8,-8,30,6,12,-30,24,-16,30
2016.02.28,-12,-6,36,8,-18,-15,30,25,30,2,6,12,30,25,-16,18,20,-18,6,-12,-30,-24,12,18,18,25,16,12
2016.02.21,25,12,-30,-25,6,-15,-2,-1,-20,-16,6,20,12,6,20,-24,-30,-24,-24,-36,-20,-20,18,12,12,-10,-15,-2
2016.02.14,6,20,-16,-20,-6,-12,9,2,8,18,-24,24,24,24,-1,-12,-25,-25,-18,-25,-25,-15,-5,-6,-6,2,-4,15
2016.02.07,24,-16,1,16,-24,-3,2,-1,-20,-9,-18,-16,-12,-12,15,-24,-6,-3,-24,16,12,16,-24,-24,-24,1,-2,1
2016.01.31,-12,-25,30,36,-36,-9,-1,16,-5,-1,-24,-20,-20,-3,8,-12,30,36,-18,36,36,8,-30,-30,-12,-6,20,-20
2016.01.24,-3,9,-1,18,18,-10,8,-2,8,24,24,8,8,2,15,18,-10,-10,36,-4,-4,16,12,18,12,-1,-12,16
2016.01.17,2,20,1,-12,18,-24,30,12,10,3,12,24,30,12,-8,12,-36,-36,6,-24,-24,-18,24,24,18,-4,-15,16
2016.01.10,12,9,-15,-2,-6,18,-8,-6,-10,15,-12,-8,-3,-6,12,-12,12,-16,-6,18,10,4,-18,-12,-12,16,12,-2
2016.01.03,-6,-3,-15,3,-30,36,-36,-30,-15,-2,-36,-25,-36,-36,12,-36,30,36,-36,24,36,36,-36,-36,-36,-15,-12,-6
2015.12.27,-36,24,-20,-8,24,5,2,5,6,12,-18,16,16,24,8,-18,-10,-15,-12,-4,-8,-8,12,24,24,6,6,1
2015.12.20,24,-6,3,24,-18,-8,16,24,-6,12,-6,2,12,18,18,-18,-6,-15,36,9,-3,-12,-12,18,36,12,24,-6
2015.12.13,18,12,-36,-12,15,20,-4,8,-25,-2,-12,-3,3,12,18,-36,-20,-24,-18,8,-12,-25,-18,-6,24,12,20,-12
2015.12.06,12,-12,4,12,-30,36,-24,-6,-12,-4,-12,-36,-30,-24,6,-30,36,36,-24,36,36,30,-36,-36,-36,9,15,-15
2015.11.29,-24,-36,3,20,12,-2,20,25,-24,-9,36,-25,-4,2,16,18,4,-25,30,24,4,-8,18,30,30,30,25,-12
2015.11.22,2,12,-16,-6,-12,9,-4,-4,1,9,-18,6,2,6,8,-24,-12,-8,-18,-4,1,-1,-12,-18,-18,-4,2,-1
2015.11.15,6,24,-2,-16,36,6,12,1,16,9,-6,12,20,8,-9,36,6,-18,-6,-9,-24,-10,36,30,18,20,3,24
2015.11.08,8,1,30,4,-18,2,20,8,20,9,-6,-1,20,6,-9,36,25,-6,-6,6,-20,-2,-12,24,-6,16,4,16
2015.11.01,6,25,-30,-25,36,20,-3,-20,-8,-9,12,4,18,-12,-2,-6,-15,-36,-24,-12,-30,8,24,36,-12,18,-12,20
2015.10.25,-12,16,12,-2,-36,-4,-9,2,25,24,-36,16,-1,12,-6,6,2,18,-30,-4,12,-3,5,-24,-24,-15,-4,-12
2015.10.18,12,30,-8,-30,30,30,-4,-6,30,-3,-18,3,16,12,-16,18,30,-3,-18,-4,-18,-18,-24,18,12,24,12,2
2015.10.11,12,-9,8,-1,-36,-2,-6,12,2,-12,12,-6,-12,6,-6,6,8,18,-18,-3,12,-18,-18,-18,12,-8,16,-20
2015.10.04,6,-12,12,12,12,-25,30,25,-2,6,24,15,30,25,4,24,-12,-30,30,-12,-30,-30,30,36,30,25,30,2
2015.09.27,25,-9,-2,3,-36,-10,2,8,-8,-9,6,3,-6,3,3,-30,-15,-4,-24,-10,-2,-5,6,-24,6,-8,-1,-16
2015.09.20,3,12,-30,-12,12,16,-24,-5,-20,2,-18,1,-20,3,12,-24,-25,-1,-18,1,20,-4,-18,-36,6,-20,3,-15
2015.09.13,3,-3,12,-2,-18,-8,20,20,12,-9,-12,3,12,16,-9,12,4,-20,-12,-9,-20,-24,-6,24,18,16,16,4
2015.09.06,16,-1,30,20,36,1,30,3,30,24,36,-1,20,4,1,36,36,-10,36,15,-16,5,30,36,24,25,6,20
2015.08.30,4,12,-25,-2,-36,6,-30,-30,-12,24,-36,6,-25,-16,24,-36,-15,36,-24,6,36,36,-24,-36,-36,-25,-25,-3
2015.08.23,-16,10,-15,-5,-36,4,-24,-30,-6,-1,-30,4,-4,-24,6,-36,-12,-1,-30,-5,6,30,-36,-36,-36,-30,-25,24
2015.08.16,-24,-20,2,15,-24,8,-12,24,-24,-18,36,-20,-25,-3,12,-24,10,15,6,18,24,1,-24,-30,24,-3,30,-36
2015.08.09,-3,-6,16,16,18,-6,-8,-16,9,24,24,-2,-16,-16,6,36,15,30,36,15,30,36,30,-18,-18,-15,-16,8
2015.08.02,-16,30,-20,-4,36,9,12,1,16,25,-18,12,20,16,6,-12,-8,-24,6,3,-15,-3,-6,18,6,20,3,16
2015.07.26,16,4,20,2,12,3,6,8,10,12,-6,-1,9,12,-6,18,15,6,24,6,-3,-9,-6,12,36,6,9,-3
2015.07.19,12,1,-8,16,-12,9,-8,18,-9,24,-6,-6,-9,15,24,-18,-1,5,36,30,36,3,-18,-18,36,-6,24,-30
2015.07.12,15,20,12,-15,36,25,-2,-20,30,-2,-6,2,24,-4,-20,36,36,15,-6,-2,-20,6,-12,36,-12,24,-6,30
2015.07.05,-4,-6,-6,15,6,12,-4,9,-12,20,6,-16,-6,4,24,6,12,3,24,30,30,8,5,6,18,-1,20,-16
2015.06.28,4,1,-8,16,12,25,-4,-12,-8,20,-6,-12,-4,-12,16,-18,25,4,18,24,18,24,-24,-12,-18,8,-1,15
2015.06.21,-12,30,-16,-20,18,9,-16,-9,16,5,-24,16,10,12,-6,-18,-9,8,-18,-15,-9,-12,12,-12,-6,-8,-2,-6
2015.06.14,12,-8,24,20,-6,-9,4,-9,16,-1,18,-6,-6,-12,-9,36,36,24,36,24,16,36,-6,-5,-18,-3,-12,25
2015.06.07,-12,-20,20,25,-36,-16,16,-3,3,4,-12,-4,-2,-12,-2,6,8,4,-6,9,3,24,-36,-24,-24,9,-10,15
2015.05.31,-12,-2,-2,16,24,-1,-2,-3,-4,16,18,1,-2,-3,16,12,-3,2,24,20,10,15,18,30,36,-1,-3,4
2015.05.24,-3,-2,-20,-6,36,24,-25,-30,-15,-18,30,-16,-20,-20,6,30,3,20,24,12,15,24,24,-6,-6,-12,-12,3
2015.05.17,-20,30,-30,-36,36,30,-25,-24,20,-16,-24,9,6,12,-25,12,16,15,-24,-20,-20,-20,-18,-24,-12,-2,2,-6
2015.05.10,12,-16,20,15,-12,-9,16,1,3,6,30,-12,-2,-24,2,30,30,6,24,15,4,30,24,30,-12,20,-15,24
2015.05.03,-24,-3,20,2,-24,-12,16,-6,5,-4,-6,2,8,-12,-8,18,15,4,-12,-6,-16,12,12,24,-24,6,-16,20
2015.04.26,-12,-20,-2,30,18,-5,10,-3,-12,15,30,-10,-4,-10,25,36,-3,-12,36,24,18,24,36,36,30,3,-6,16
2015.04.19,-10,5,15,3,18,-9,2,-12,25,9,-12,12,9,-3,-15,24,15,30,12,1,2,10,24,6,-6,-4,-16,15
2015.04.12,-3,-15,24,15,-18,-20,8,8,-8,-16,18,-1,-16,-15,-6,18,-6,24,6,-16,9,-1,24,6,6,-24,-12,-9
2015.04.05,-15,30,-20,-30,30,6,6,-15,24,-6,-24,30,30,25,-16,-6,-15,-18,-24,-24,-30,-18,30,30,12,12,-2,30
2015.03.29,25,-4,2,4,-6,-8,-20,3,-8,-8,18,-2,-30,-8,3,12,-8,20,6,-8,25,2,12,-30,6,-25,-3,-20
