date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2021.06.06,-1,-3,-9,-6,6,20,-2,-6,-12,-12,24,-6,-1,-3,-1,-18,12,6,-6,18,6,16,-24,-6,-12,8,-1,20
2021.05.30,-3,2,-2,-4,-6,2,4,-6,-2,-2,-12,-2,9,-4,-1,-12,-2,-6,-18,-2,-8,24,-12,18,-18,6,-9,24
2021.05.23,-4,4,6,2,18,3,-1,24,6,8,36,4,6,24,-1,30,20,8,36,10,12,-8,18,30,36,-1,24,-16
2021.05.16,24,-4,15,18,-18,-6,-4,-6,6,-1,12,3,-6,-9,3,18,4,30,24,3,24,30,12,-18,-18,-9,-12,18
2021.05.09,-9,4,20,-4,24,-1,-12,-8,24,2,24,10,-9,-3,-15,36,24,30,18,-8,16,15,24,-12,6,-16,-12,-2
2021.05.02,-3,-12,30,12,-18,-12,12,12,6,-1,24,4,6,4,-6,36,6,-2,18,-2,-6,-2,18,18,12,6,4,2
2021.04.25,4,-4,-3,-6,24,-25,-2,-2,-3,-6,30,24,-2,-2,-3,36,-15,-2,30,-25,-10,-4,36,36,36,-15,-20,1
2021.04.18,-2,-9,15,16,-30,-2,6,18,-2,12,-12,-2,-1,12,6,-6,18,12,12,24,16,2,-30,-12,18,3,18,-18
2021.04.11,12,-9,16,16,-24,-2,16,20,6,6,-18,-3,9,12,-1,6,24,-6,6,24,-8,-6,-12,18,24,24,24,2
2021.04.04,12,-25,-8,20,-30,-4,4,3,-24,-12,36,-16,-12,-12,20,-24,-15,-12,12,20,20,25,-24,-18,-18,-1,-1,12
